Date,EM (EMERGING MARKETS) MOMENTUM
1994-06-30,964.18477179
1994-07-29,1019.4479615
1994-08-31,1127.67840599
1994-09-30,1137.21168669
1994-10-31,1152.07104425
1994-11-30,1081.29315433
1994-12-30,1009.71771738
1995-01-31,926.48998389
1995-02-28,913.26437505
1995-03-31,878.89656988
1995-04-28,925.91174496
1995-05-31,1000.0
1995-06-30,1000.4666851626298
1995-07-31,1022.2053026261829
1995-08-31,980.2491619186001
1995-09-29,960.6377288471111
1995-10-31,940.1239600210629
1995-11-30,915.0547022623111
1995-12-29,959.8682935760247
1996-01-31,1025.2016239445995
1996-02-29,994.2107936513387
1996-03-29,989.3988023758418
1996-04-30,1010.9276586795676
1996-05-31,1020.2891188250362
1996-06-28,1033.673230960994
1996-07-31,967.4134193176975
1996-08-30,1011.3755946211634
1996-09-30,1027.1712520622314
1996-10-31,1004.9577264595134
1996-11-29,1021.8911948999341
1996-12-31,1041.6086570645928
1997-01-01,1041.6086570645928
1997-01-02,1041.7645210498981
1997-01-03,1047.223474007251
1997-01-06,1054.4045792892055
1997-01-07,1064.5129805665695
1997-01-08,1077.7247913163792
1997-01-09,1077.6076078664867
1997-01-10,1079.0810473467818
1997-01-13,1080.3099531239995
1997-01-14,1078.7940374452132
1997-01-15,1083.8171168504566
1997-01-16,1082.039280089096
1997-01-17,1085.1691658586303
1997-01-20,1092.0478972583799
1997-01-21,1089.5543759571208
1997-01-22,1094.1167221932842
1997-01-23,1098.473622974826
1997-01-24,1096.9304586994513
1997-01-27,1097.7350516007084
1997-01-28,1095.3184045712292
1997-01-29,1089.1555478009209
1997-01-30,1092.2537235528762
1997-01-31,1100.0439431635891
1997-02-03,1102.5719040109373
1997-02-04,1102.9837804077606
1997-02-05,1111.5216781669735
1997-02-06,1113.806608251405
1997-02-07,1117.016639829806
1997-02-10,1120.1693456548714
1997-02-11,1120.9350529685019
1997-02-12,1130.5363918610087
1997-02-13,1138.2230726426383
1997-02-14,1134.6479002605695
1997-02-17,1142.7107858514255
1997-02-18,1141.4393281223697
1997-02-19,1144.5276350580239
1997-02-20,1145.7307873896639
1997-02-21,1147.5087803488634
1997-02-24,1156.3742115415969
1997-02-25,1157.8985782421516
1997-02-26,1149.3469495601641
1997-02-27,1143.4716264342283
1997-02-28,1142.8884531663716
1997-03-03,1138.8788108669182
1997-03-04,1136.968988396587
1997-03-05,1136.977180615785
1997-03-06,1138.6611521826826
1997-03-07,1140.8096715858258
1997-03-10,1141.8637905588362
1997-03-11,1146.8103390821825
1997-03-12,1140.988564541112
1997-03-13,1140.7466296157388
1997-03-14,1139.3809585325344
1997-03-17,1140.7057283645602
1997-03-18,1137.4364960975533
1997-03-19,1137.4089222778598
1997-03-20,1135.3652316439827
1997-03-21,1125.6818961484464
1997-03-24,1120.0023228535383
1997-03-25,1119.518286862649
1997-03-26,1122.9222775177873
1997-03-27,1126.5951271455497
1997-03-28,1124.4545102130226
1997-03-31,1110.02477483862
1997-04-01,1105.6081182881135
1997-04-02,1105.0246642542793
1997-04-03,1097.2866972079796
1997-04-04,1097.9704223586755
1997-04-07,1098.8870175266889
1997-04-08,1101.3323596992755
1997-04-09,1111.2360433474714
1997-04-10,1103.7747303901822
1997-04-11,1096.4711943685122
1997-04-14,1085.710846766857
1997-04-15,1083.6278964068713
1997-04-16,1087.338344959629
1997-04-17,1086.0973552893633
1997-04-18,1084.9977154337707
1997-04-21,1096.506574364074
1997-04-22,1095.6209400627447
1997-04-23,1101.3326095909777
1997-04-24,1096.6829735231968
1997-04-25,1094.1159973749084
1997-04-28,1089.367235014811
1997-04-29,1082.359054563734
1997-04-30,1086.9283593047537
1997-05-01,1086.5197606576116
1997-05-02,1089.9747683141152
1997-05-05,1093.6258707192515
1997-05-06,1098.057026115093
1997-05-07,1106.9712483053677
1997-05-08,1108.1881633486228
1997-05-09,1109.2917110932603
1997-05-12,1097.3956269041632
1997-05-13,1094.4417312151784
1997-05-14,1093.5389020475202
1997-05-15,1081.1477226869986
1997-05-16,1087.4896352874705
1997-05-19,1083.8042831540856
1997-05-20,1087.1822918821583
1997-05-21,1089.6864304733897
1997-05-22,1097.7276518338535
1997-05-23,1101.7744647395407
1997-05-26,1107.047908841419
1997-05-27,1108.1497309475444
1997-05-28,1115.864618340327
1997-05-29,1121.3068519951591
1997-05-30,1123.8258872698843
1997-06-02,1138.6843285297073
1997-06-03,1145.1776950707115
1997-06-04,1145.8285814125697
1997-06-05,1147.4801616236632
1997-06-06,1153.2742336510667
1997-06-09,1162.429420200932
1997-06-10,1164.7183848812783
1997-06-11,1170.1815028302083
1997-06-12,1185.2113510599397
1997-06-13,1187.4206006529373
1997-06-16,1202.0053576376802
1997-06-17,1206.1781846713025
1997-06-18,1211.886222210194
1997-06-19,1209.55756113169
1997-06-20,1214.3113110226138
1997-06-23,1222.6188809941964
1997-06-24,1229.8371237232573
1997-06-25,1246.094535553569
1997-06-26,1241.197194148644
1997-06-27,1237.5177294965604
1997-06-30,1239.4759950406758
1997-07-01,1252.7080143616886
1997-07-02,1253.2546752852054
1997-07-03,1258.9367277260992
1997-07-04,1271.2312285318367
1997-07-07,1285.8070991097945
1997-07-08,1292.1376974296152
1997-07-09,1301.80133579669
1997-07-10,1305.9009069122128
1997-07-11,1296.852903602896
1997-07-14,1287.7045244241758
1997-07-15,1255.7859133405218
1997-07-16,1277.5465182088296
1997-07-17,1257.3383721972223
1997-07-18,1242.61384888611
1997-07-21,1228.0975667944078
1997-07-22,1242.8439215771439
1997-07-23,1254.2127760375236
1997-07-24,1270.6521266912296
1997-07-25,1282.618204524349
1997-07-28,1290.3400576595382
1997-07-29,1288.745948418009
1997-07-30,1292.052517622148
1997-07-31,1297.788609139165
1997-08-01,1277.3356190605514
1997-08-04,1290.1148425143745
1997-08-05,1287.20765030882
1997-08-06,1302.413111719185
1997-08-07,1288.7074796127781
1997-08-08,1289.494331095515
1997-08-11,1273.7546710107952
1997-08-12,1267.8361534160756
1997-08-13,1257.244609094513
1997-08-14,1257.5077348986676
1997-08-15,1253.6757469976412
1997-08-18,1241.3095878617337
1997-08-19,1240.351214123394
1997-08-20,1247.9215709008527
1997-08-21,1257.6143610685754
1997-08-22,1249.553621119907
1997-08-25,1255.9656371148967
1997-08-26,1259.783516244122
1997-08-27,1255.8058312409287
1997-08-28,1226.506097405887
1997-08-29,1196.251689932717
1997-09-01,1169.4761756645482
1997-09-02,1179.5793322498819
1997-09-03,1209.2850890374605
1997-09-04,1202.6034711569307
1997-09-05,1219.8165118182349
1997-09-08,1213.8204109369772
1997-09-09,1211.7660243404098
1997-09-10,1203.9768159063135
1997-09-11,1187.7484074079073
1997-09-12,1200.364228505344
1997-09-15,1181.258038989618
1997-09-16,1187.3987689384116
1997-09-17,1208.8383810722482
1997-09-18,1214.624132791505
1997-09-19,1216.0118693044285
1997-09-22,1210.8366701057791
1997-09-23,1202.1502179300664
1997-09-24,1202.2652472657605
1997-09-25,1196.7974012988827
1997-09-26,1200.0579267734256
1997-09-29,1211.3999568466688
1997-09-30,1215.9393980740085
1997-10-01,1228.1690918572629
1997-10-02,1231.4146092829678
1997-10-03,1236.6650410550765
1997-10-06,1228.4796262934447
1997-10-07,1223.417751672317
