Date,EM LATAM ex BR MOMENTUM
1999-05-31,1000.0
1999-06-01,987.6887859727944
1999-06-02,990.6620053725468
1999-06-03,988.0970051948744
1999-06-04,995.0778000185398
1999-06-07,1000.5633122413925
1999-06-08,1003.5127300580677
1999-06-09,994.4539362948071
1999-06-10,992.3649818718648
1999-06-11,983.0897492286359
1999-06-14,976.1979273263339
1999-06-15,989.3624266584221
1999-06-16,1024.4300453103222
1999-06-17,1029.3729564458913
1999-06-18,1035.2165843440316
1999-06-21,1044.6117544525853
1999-06-22,1046.0919162590776
1999-06-23,1033.9805949184358
1999-06-24,1018.0704490834569
1999-06-25,1005.1512402113037
1999-06-28,1013.0077554926974
1999-06-29,1019.6945872050181
1999-06-30,1050.8042330239343
1999-07-01,1060.8611164879344
1999-07-02,1073.3814844905087
1999-07-05,1081.9446954956575
1999-07-06,1078.2312412100537
1999-07-07,1081.3951480216735
1999-07-08,1075.311299194758
1999-07-09,1071.1745716790808
1999-07-12,1047.50665212661
1999-07-13,1052.112943928586
1999-07-14,1059.3418993385953
1999-07-15,1063.5630694243343
1999-07-16,1065.9336435994435
1999-07-19,1064.8351141714477
1999-07-20,1044.6212500296072
1999-07-21,1050.5915332489594
1999-07-22,1042.9469288553828
1999-07-23,1013.8441408936294
1999-07-26,986.8476750058603
1999-07-27,983.293295466975
1999-07-28,997.7781527823928
1999-07-29,973.8713634508368
1999-07-30,975.243740950784
1999-08-02,952.5830957586297
1999-08-03,960.4126599260079
1999-08-04,961.0328283520792
1999-08-05,962.1946706822774
1999-08-06,946.8858560245104
1999-08-09,954.0537247208368
1999-08-10,947.6422001783819
1999-08-11,962.6085901595519
1999-08-12,970.6633681256291
1999-08-13,990.1525590477848
1999-08-16,987.695777164299
1999-08-17,985.0198911384958
1999-08-18,961.1558942208313
1999-08-19,955.2725713637
1999-08-20,951.6303781665805
1999-08-23,959.4382319250859
1999-08-24,962.4606825863506
1999-08-25,982.6287444951267
1999-08-26,983.6704749200661
1999-08-27,967.7724893656399
1999-08-30,962.4453394694389
1999-08-31,950.6420236408653
1999-09-01,950.7255020367862
1999-09-02,945.9491969588406
1999-09-03,950.3521946580423
1999-09-06,950.5049006634126
1999-09-07,933.9314845613553
1999-09-08,930.5836818494561
1999-09-09,927.5038489856395
1999-09-10,945.3184962989634
1999-09-13,952.7509901030973
1999-09-14,956.8276529340317
1999-09-15,959.5366604140376
1999-09-16,955.6370200587511
1999-09-17,956.041629454248
1999-09-20,968.1533497170753
1999-09-21,952.2500369949317
1999-09-22,962.4550045306642
1999-09-23,962.9779703708899
1999-09-24,965.6816085471343
1999-09-27,972.2735373149646
1999-09-28,971.5676649505804
1999-09-29,969.5171424113308
1999-09-30,965.3134945747777
1999-10-01,962.1903719770972
1999-10-04,966.6881088928855
1999-10-05,964.014647355587
1999-10-06,976.6147015256548
1999-10-07,976.3748089717693
1999-10-08,985.4151634131325
1999-10-11,988.1918151118621
1999-10-12,974.1214234722964
1999-10-13,949.5198536047973
1999-10-14,938.4696101225508
1999-10-15,898.3309217646137
1999-10-18,898.0505891188276
1999-10-19,917.5216652014475
1999-10-20,931.7861223766286
1999-10-21,932.5908377326507
1999-10-22,945.6174161424418
1999-10-25,942.6929416242593
1999-10-26,940.4223892815289
1999-10-27,936.8634866665536
1999-10-28,956.4940042818017
1999-10-29,982.5361822596535
1999-11-01,980.7113432144719
1999-11-02,985.0781546065183
1999-11-03,1033.1169317110061
1999-11-04,1032.0252715317015
1999-11-05,1040.3009386425126
1999-11-08,1050.3163854886495
1999-11-09,1047.7852457107201
1999-11-10,1062.7282719310201
1999-11-11,1078.358643957568
1999-11-12,1076.1367111493885
1999-11-15,1086.3007785236377
1999-11-16,1087.023163113047
1999-11-17,1078.949381124871
1999-11-18,1090.371808719718
1999-11-19,1108.11334291241
1999-11-22,1083.2192932528828
1999-11-23,1085.9574710147415
1999-11-24,1091.1230193137803
1999-11-25,1104.5290641173665
1999-11-26,1102.341444852998
1999-11-29,1098.9539386712613
1999-11-30,1086.824715108905
1999-12-01,1095.556194617612
1999-12-02,1117.1432047478893
1999-12-03,1151.6013820468943
1999-12-06,1143.6437045427904
1999-12-07,1133.8750919049771
1999-12-08,1175.1910960347159
1999-12-09,1178.6479892636835
1999-12-10,1186.7700675899998
1999-12-13,1188.6249929820333
1999-12-14,1189.9478338683293
1999-12-15,1210.0486287374915
1999-12-16,1228.7481757332675
1999-12-17,1248.6374805275432
1999-12-20,1253.0196110462334
1999-12-21,1251.887555782134
1999-12-22,1233.1931305883022
1999-12-23,1242.057282962305
1999-12-24,1244.4742138226106
1999-12-27,1233.1937009766182
1999-12-28,1245.0457602339081
1999-12-29,1263.1891773784191
1999-12-30,1272.5039421234699
1999-12-31,1272.5039421234699
2000-01-03,1276.7327170140509
2000-01-04,1206.098979763085
2000-01-05,1218.8424439433377
2000-01-06,1210.2305178287886
2000-01-07,1240.526076093434
