Date,ACWI ex JAPAN SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1009.2665949258989
2007-06-04,1007.6253709231349
2007-06-05,1002.5731593986768
2007-06-06,991.9107748490387
2007-06-07,977.9430444168581
2007-06-08,987.2917619650766
2007-06-11,991.0633169231537
2007-06-12,984.9293295326786
2007-06-13,993.062645707909
2007-06-14,1002.9694593298505
2007-06-15,1010.4681780985553
2007-06-18,1009.5906870217393
2007-06-19,1009.8572147638073
2007-06-20,1004.2669524890531
2007-06-21,1005.6778349105375
2007-06-22,1000.1282922642666
2007-06-25,991.5356662212706
2007-06-26,986.5099469793648
2007-06-27,993.0281316598611
2007-06-28,997.7214898552176
2007-06-29,997.3803049097006
2007-07-02,1000.5600943894128
2007-07-03,1009.0302077270769
2007-07-04,1011.1937209642301
2007-07-05,1014.6330976429126
2007-07-06,1018.5835820701317
2007-07-09,1022.9407626952416
2007-07-10,1007.087332896278
2007-07-11,1005.0308440954461
2007-07-12,1019.7835842157232
2007-07-13,1022.9843988019838
2007-07-16,1017.945646614086
2007-07-17,1016.6142195946987
2007-07-18,1012.6383271679367
2007-07-19,1018.7574926044474
2007-07-20,1011.8395080691844
2007-07-23,1013.5996586440094
2007-07-24,996.4796548348809
2007-07-25,997.6192169619509
2007-07-26,973.977027725688
2007-07-27,961.0261977045069
2007-07-30,966.1409505814869
2007-07-31,969.6708583977324
2007-08-01,960.74869074575
2007-08-02,968.196329999042
2007-08-03,946.2746156075148
2007-08-06,940.0836135511629
2007-08-07,948.6827794891663
2007-08-08,965.7795165023497
2007-08-09,956.5133946154206
2007-08-10,944.6083128658832
2007-08-13,950.3809309646177
2007-08-14,936.5853679194727
2007-08-15,922.952858973714
2007-08-16,903.5011452128199
2007-08-17,909.7667048705057
2007-08-20,924.6436624401356
2007-08-21,924.2490592090156
2007-08-22,941.0137157597264
2007-08-23,939.1707085151769
2007-08-24,946.3139739753664
2007-08-27,945.0026225614265
2007-08-28,926.4497333260405
2007-08-29,938.1749454931163
2007-08-30,942.0319945954711
2007-08-31,957.7928321498015
2007-09-03,962.1578394297587
2007-09-04,972.1429901381715
2007-09-05,959.5043651166092
2007-09-06,961.6115699826263
2007-09-07,944.4063427724775
