Date,AC AMERICAS SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1010.4138933739888
2007-06-04,1009.383500494062
2007-06-05,1001.9004116973275
2007-06-06,992.7100992494296
2007-06-07,975.0505985570693
2007-06-08,992.3294483393004
2007-06-11,993.4837065985198
2007-06-12,983.94153125387
2007-06-13,997.5444084099139
2007-06-14,1005.8437038266907
2007-06-15,1013.1134257689623
2007-06-18,1009.6537013676004
2007-06-19,1010.9806776392231
2007-06-20,999.3702647561457
2007-06-21,1005.9756433062945
2007-06-22,996.6932793717267
2007-06-25,986.3087015286369
2007-06-26,981.0457064771863
2007-06-27,996.0260859864734
2007-06-28,996.1254581564024
2007-06-29,992.0595199340685
2007-07-02,995.6092686937947
2007-07-03,1002.2255960923701
2007-07-04,1002.1336223044525
2007-07-05,1007.307207034956
2007-07-06,1011.932856970573
2007-07-09,1015.4599488066818
2007-07-10,994.1676406313248
2007-07-11,994.2503902489594
2007-07-12,1011.2573823452212
2007-07-13,1013.4577589939921
2007-07-16,1006.1950977577164
2007-07-17,1005.4802987798687
2007-07-18,1002.3512003857911
2007-07-19,1007.477473593525
2007-07-20,995.3457457591925
2007-07-23,995.88054747202
2007-07-24,972.0907790053778
2007-07-25,977.8049449898599
2007-07-26,952.9805696750154
2007-07-27,944.3306468545375
2007-07-30,952.3301667867702
2007-07-31,944.1553155583334
2007-08-01,943.4531764660298
2007-08-02,953.3650062121555
2007-08-03,920.6688498528733
2007-08-06,925.0964749458136
2007-08-07,935.5133770112869
2007-08-08,951.1080146436259
2007-08-09,938.6531103314934
2007-08-10,937.9276426667485
2007-08-13,941.6985503627798
2007-08-14,923.9935047947565
2007-08-15,911.2404632369683
2007-08-16,911.7742933562536
2007-08-17,924.0779775621727
2007-08-20,932.9623425154064
2007-08-21,934.4472857046696
2007-08-22,950.2153527549535
2007-08-23,939.7877132141716
2007-08-24,950.8712109758895
2007-08-27,942.7490654308116
2007-08-28,917.9427186913565
2007-08-29,938.2032742439142
2007-08-30,937.5195685899001
2007-08-31,953.1432392951331
2007-09-03,955.2029080594527
2007-09-04,968.1941290689691
2007-09-05,955.3884242157578
2007-09-06,957.4963804793364
2007-09-07,935.700652596916
2007-09-10,925.9842041995937
2007-09-11,937.9554350204465
2007-09-12,933.9204369689667
2007-09-13,938.0302511363647
2007-09-14,941.7725222995688
2007-09-17,934.186366503404
2007-09-18,963.559544674737
2007-09-19,965.3350136932798
2007-09-20,952.500795076365
2007-09-21,955.9932599438878
2007-09-24,950.6727827546614
2007-09-25,949.1720087551753
2007-09-26,956.0801837968855
2007-09-27,961.0688247418121
2007-09-28,952.4819301941003
2007-10-01,967.5226090805818
2007-10-02,979.1189351360689
2007-10-03,975.7830997158474
2007-10-04,977.6981081922047
2007-10-05,995.8610921130592
2007-10-08,999.0913044273458
2007-10-09,1006.1855893255743
2007-10-10,1003.0605196817214
2007-10-11,987.847673921835
2007-10-12,1000.3043635500981
2007-10-15,988.7663977440842
2007-10-16,986.1268264854791
2007-10-17,986.3862806782565
2007-10-18,984.9511255332617
2007-10-19,962.0085026517436
2007-10-22,973.846600410959
2007-10-23,980.7461001538154
2007-10-24,976.7279652546398
2007-10-25,964.33054298059
2007-10-26,973.6820916321207
2007-10-29,979.1512395749063
2007-10-30,970.5324323661644
2007-10-31,984.9964412674306
2007-11-01,960.1096416556247
2007-11-02,961.1301117501167
2007-11-05,953.2645162894117
2007-11-06,962.1324986139991
2007-11-07,930.6761470839548
2007-11-08,924.90593276793
2007-11-09,907.9974489055311
2007-11-12,897.3547447492232
2007-11-13,915.1378084263316
2007-11-14,908.8978298895828
2007-11-15,898.1399479957794
2007-11-16,898.2883262379639
2007-11-19,875.0921885189096
2007-11-20,866.6953778310983
2007-11-21,850.3909235248545
2007-11-22,849.7781518855487
2007-11-23,866.8168509514969
2007-11-26,850.4540084861592
