Date,AC ASIA ex JAPAN SMALL GROWTH
1998-12-31,568.8933877199413
1999-01-01,568.947015083099
1999-01-04,577.2894056430639
1999-01-05,581.2841971348709
1999-01-06,599.9302697562545
1999-01-07,614.7030109824718
1999-01-08,622.4799144004984
1999-01-11,632.1355817732885
1999-01-12,628.788376741425
1999-01-13,609.2776586834876
1999-01-14,590.9644647671049
1999-01-15,604.1456900622669
1999-01-18,610.9296000062342
1999-01-19,605.4579691783294
1999-01-20,601.9365769848906
1999-01-21,590.4986042033455
1999-01-22,577.1947308123142
1999-01-25,560.5360658806528
1999-01-26,559.8223123515701
1999-01-27,577.741596846832
1999-01-28,575.584712270789
1999-01-29,579.7155732656196
1999-02-01,584.7263032047745
1999-02-02,576.5476969683469
1999-02-03,571.8036640414932
1999-02-04,569.213558435125
1999-02-05,565.2894655380937
1999-02-08,566.0339975602932
1999-02-09,556.9200833271244
1999-02-10,558.7842041297846
1999-02-11,567.2937310593722
1999-02-12,578.0895607580923
1999-02-15,583.8794506186634
1999-02-16,588.7415460840479
1999-02-17,586.478299467486
1999-02-18,582.9839758296216
1999-02-19,581.9864567694568
1999-02-22,576.9360649460984
1999-02-23,574.8217207270342
1999-02-24,572.8945705613775
1999-02-25,566.7825473133563
1999-02-26,578.8283201920843
1999-03-01,595.7374329735276
1999-03-02,595.6494210544491
1999-03-03,597.4067047263134
1999-03-04,600.0219440526537
1999-03-05,602.1226477466242
1999-03-08,611.4666470434388
1999-03-09,611.5873529354835
1999-03-10,611.1896282347858
1999-03-11,619.9804266284962
1999-03-12,618.6700087201765
1999-03-15,624.6497444815134
1999-03-16,627.9616744297642
1999-03-17,622.0978011652898
1999-03-18,619.3746230252098
1999-03-19,633.1663769027382
1999-03-22,640.2655094745802
1999-03-23,643.4638335293463
1999-03-24,634.3086018190188
1999-03-25,640.0537444938176
1999-03-26,646.0345233081779
1999-03-29,642.8070385130898
1999-03-30,645.727164314208
1999-03-31,647.1324193782131
1999-04-01,654.2709178129754
1999-04-02,659.0620078645637
1999-04-05,657.6099485685912
1999-04-06,663.122668360198
1999-04-07,664.6394736770914
1999-04-08,669.4012725326503
1999-04-09,679.3017793068665
1999-04-12,674.0645022082826
1999-04-13,681.9425521749205
1999-04-14,686.8419363886878
1999-04-15,701.9894785648771
1999-04-16,717.5542852241912
1999-04-19,736.0841831843715
1999-04-20,735.0637510561569
1999-04-21,742.5682549680209
1999-04-22,744.9307952002114
1999-04-23,741.7811850308349
1999-04-26,751.7800839273795
1999-04-27,754.8847290020362
1999-04-28,757.0679349235361
1999-04-29,756.2180399825135
1999-04-30,773.3267157794605
1999-05-03,787.4695116331085
1999-05-04,802.0392503253656
1999-05-05,804.3300043830486
1999-05-06,806.4258375673651
1999-05-07,798.7670176654502
1999-05-10,806.2207217562826
1999-05-11,803.5542466632551
1999-05-12,795.4129275602394
1999-05-13,790.22715159498
1999-05-14,782.9092126069389
1999-05-17,768.5266289173397
1999-05-18,773.4111505128903
1999-05-19,774.8080481673837
1999-05-20,766.0637666581596
1999-05-21,773.0262871405318
1999-05-24,776.9241341598745
1999-05-25,774.108841137155
1999-05-26,788.4300075023613
1999-05-27,789.7135707155602
1999-05-28,784.1222067548683
1999-05-31,790.9875329877035
1999-06-01,782.8086372723675
1999-06-02,798.2482421937395
1999-06-03,798.9717864686028
1999-06-04,804.8293164733311
1999-06-07,817.1326127014839
1999-06-08,825.6922172826131
1999-06-09,822.912813300561
1999-06-10,829.4923123517133
1999-06-11,834.7124900880384
1999-06-14,837.4069195931534
1999-06-15,824.4791925244554
1999-06-16,837.9022436376204
1999-06-17,844.9332242131611
1999-06-18,840.0259891353702
1999-06-21,865.1154715380233
1999-06-22,880.5325251884263
1999-06-23,885.7019907212667
1999-06-24,885.5752969402182
1999-06-25,872.380480449692
1999-06-28,883.8332234948842
1999-06-29,890.5984025249826
1999-06-30,887.5621539577522
1999-07-01,901.6956817807528
1999-07-02,918.9191068496172
1999-07-05,932.2162750579305
1999-07-06,925.5070157513696
1999-07-07,918.384310689963
1999-07-08,928.1538201911383
1999-07-09,935.3466884959122
1999-07-12,936.8452036508668
1999-07-13,919.4007447216773
1999-07-14,901.6606398685223
1999-07-15,894.6020325544492
1999-07-16,885.1516182598181
1999-07-19,886.8682041336203
1999-07-20,878.9536887913407
1999-07-21,862.9001876207534
1999-07-22,860.3011750553227
1999-07-23,841.9370772884669
1999-07-26,803.0048782008936
1999-07-27,813.4613582685023
1999-07-28,835.2391840364147
1999-07-29,832.5638626444968
1999-07-30,831.6316800868523
1999-08-02,834.4778685963325
1999-08-03,837.3538392391494
1999-08-04,830.1329841538671
1999-08-05,808.2466776882674
1999-08-06,811.0067796177868
1999-08-09,817.930691262459
1999-08-10,803.4307293439572
1999-08-11,795.9890007012449
1999-08-12,807.9547920971448
1999-08-13,805.8871735466231
1999-08-16,816.9447229689905
1999-08-17,812.5602712128432
1999-08-18,820.2234557194478
1999-08-19,821.751669651726
1999-08-20,831.8183193208985
1999-08-23,853.8390609201762
1999-08-24,854.8687075827156
1999-08-25,862.5572196140934
1999-08-26,862.889591728527
1999-08-27,858.0910064495107
1999-08-30,855.8765359748668
1999-08-31,841.0443136906148
1999-09-01,828.7318111738165
1999-09-02,810.6648471929259
1999-09-03,812.6440933076445
1999-09-06,819.980972845905
1999-09-07,816.8803863612325
1999-09-08,807.6960995754523
1999-09-09,819.1147055111819
1999-09-10,837.8147545892166
1999-09-13,853.7881857757486
1999-09-14,850.0117655763156
1999-09-15,846.2223240558584
1999-09-16,834.4571603752612
1999-09-17,837.998421352517
1999-09-20,840.0119364840964
1999-09-21,831.0762061909319
1999-09-22,821.8527814797272
1999-09-23,827.6641097909582
1999-09-24,819.1189541025662
1999-09-27,806.2572094471514
1999-09-28,801.1236363245945
1999-09-29,795.936618751895
1999-09-30,792.1506386654422
1999-10-01,786.6006618915272
1999-10-04,785.5150127672248
1999-10-05,785.2284407849778
1999-10-06,793.5114028143329
1999-10-07,807.3072497802189
1999-10-08,814.3904909658379
1999-10-11,816.3127318512549
1999-10-12,811.6738333459527
1999-10-13,802.916467767844
1999-10-14,803.7164191945269
1999-10-15,786.5907121009184
1999-10-18,778.0879612889065
1999-10-19,774.7906379083278
1999-10-20,789.7207884520566
1999-10-21,788.2370799897037
1999-10-22,798.3204223005937
1999-10-25,792.8441280570312
1999-10-26,796.698543333303
1999-10-27,796.8212007619721
1999-10-28,797.4362746495807
1999-10-29,801.7684297992765
1999-11-01,811.9359467582708
1999-11-02,816.5388544034045
1999-11-03,816.345273187716
1999-11-04,826.9801712815773
1999-11-05,838.3080771745844
