Date,AC FAR EAST ex JAPAN SMALL GROWTH
1998-12-31,645.9305225662062
1999-01-01,646.0017252330778
1999-01-04,655.0978513179128
1999-01-05,659.0062965349181
1999-01-06,682.552881935558
1999-01-07,701.3944151817091
1999-01-08,707.5216335673025
1999-01-11,717.6555232779359
1999-01-12,715.4865383187962
1999-01-13,690.4785048028015
1999-01-14,667.1503727841769
1999-01-15,685.1607255672675
1999-01-18,691.6801104198289
1999-01-19,685.4524681400075
1999-01-20,680.4122846494449
1999-01-21,661.8524806665165
1999-01-22,644.2811247047684
1999-01-25,621.4375025086383
1999-01-26,620.648077322756
1999-01-27,640.7533769508523
1999-01-28,639.2105140924439
1999-01-29,643.8398949659779
1999-02-01,650.5595000401541
1999-02-02,642.128815236988
1999-02-03,633.880133182715
1999-02-04,631.0628259090618
1999-02-05,626.3993328532049
1999-02-08,627.0857162661054
1999-02-09,614.4186695549945
1999-02-10,614.956308424303
1999-02-11,624.0520436606942
1999-02-12,636.2795251158377
1999-02-15,641.7574118746583
1999-02-16,644.1565911075025
1999-02-17,639.4018360878914
1999-02-18,635.1354044092485
1999-02-19,634.1813592445485
1999-02-22,629.9406175700123
1999-02-23,627.3362374063742
1999-02-24,625.3359429628003
1999-02-25,618.968910204963
1999-02-26,636.7890275152507
1999-03-01,642.5035312276666
1999-03-02,642.1141879343669
1999-03-03,640.8450451235348
1999-03-04,646.4582083593092
1999-03-05,647.3314575521873
1999-03-08,657.6910638544005
1999-03-09,656.4968243625897
1999-03-10,653.8674999126458
1999-03-11,667.2282647705072
1999-03-12,665.4743495189676
1999-03-15,668.9031678318723
1999-03-16,673.2226680557665
1999-03-17,667.9828874770818
1999-03-18,663.8822462210558
1999-03-19,680.9988394986864
1999-03-22,684.4017376105719
1999-03-23,688.0560872898594
1999-03-24,681.1297030172384
1999-03-25,688.1230658954031
1999-03-26,698.4102579933314
1999-03-29,693.8627472733787
1999-03-30,695.6944513674123
1999-03-31,693.6170676062445
1999-04-01,704.3611794142446
1999-04-02,710.41520850254
