Date,AC ASIA PACIFIC ex JAPAN SMALL GROWTH
1998-12-31,399.81301282874267
1999-01-01,399.8392205613789
1999-01-04,404.4498185345146
1999-01-05,406.9676848983845
1999-01-06,419.0569529848311
1999-01-07,429.5720818740773
1999-01-08,434.33545538065374
1999-01-11,441.58262512223166
1999-01-12,439.9762008716633
1999-01-13,426.0851909867321
1999-01-14,416.6271274999262
1999-01-15,424.62576564442384
1999-01-18,428.78295889179304
1999-01-19,427.8117692161323
1999-01-20,428.0071921997659
1999-01-21,422.5750988611794
1999-01-22,414.4181186531974
1999-01-25,405.5984334321104
1999-01-26,404.9115175323157
1999-01-27,415.39997096213074
1999-01-28,415.1993211915206
1999-01-29,419.84428476203925
1999-02-01,424.7441708646999
1999-02-02,421.4192504085788
1999-02-03,419.71334283594325
1999-02-04,421.4491352200512
1999-02-05,420.56160517818734
1999-02-08,421.682325006079
1999-02-09,415.6827829974952
1999-02-10,414.72554808739574
1999-02-11,420.98077876928755
1999-02-12,426.1834234164294
1999-02-15,429.96087911924025
1999-02-16,431.59248790343065
1999-02-17,429.9004127200624
1999-02-18,429.57938405586725
1999-02-19,432.77775745553157
1999-02-22,431.75560665450325
1999-02-23,431.334754890526
1999-02-24,429.39431163374627
1999-02-25,422.1376446098401
1999-02-26,428.0825878393998
1999-03-01,436.72261668099566
1999-03-02,437.6952920515211
1999-03-03,439.66763227372127
1999-03-04,440.88718785777627
1999-03-05,443.60958592524884
1999-03-08,448.4437199695842
1999-03-09,449.25562297332664
1999-03-10,448.4857441923409
1999-03-11,454.8419532194428
1999-03-12,454.01027981318265
1999-03-15,456.95070160334944
1999-03-16,457.3660753823622
1999-03-17,453.30242011886946
1999-03-18,453.7108499097686
1999-03-19,461.62045861754984
1999-03-22,466.63767822779585
1999-03-23,470.1236139273821
1999-03-24,464.61973652425866
1999-03-25,467.3869037602799
1999-03-26,472.1625453755959
1999-03-29,471.45953457579975
1999-03-30,471.50390910985834
1999-03-31,472.84036856550887
1999-04-01,476.8941875607814
1999-04-02,478.76665674832725
1999-04-05,478.6441713109358
1999-04-06,479.9961748908828
1999-04-07,480.1548425569428
1999-04-08,481.845699088315
1999-04-09,489.6294366367417
1999-04-12,486.5645583630569
1999-04-13,492.3468518337336
1999-04-14,494.9082115632241
1999-04-15,503.3857101890927
1999-04-16,514.3843480363739
1999-04-19,527.5259998267182
1999-04-20,525.0586134646992
1999-04-21,528.1398578651098
1999-04-22,531.992985832937
1999-04-23,530.2790968672282
1999-04-26,534.8802247842939
1999-04-27,536.1651151370497
1999-04-28,538.2734292121122
1999-04-29,539.9920621031057
1999-04-30,549.651072499949
1999-05-03,556.7265576010965
1999-05-04,563.252141985786
1999-05-05,561.7947631029255
1999-05-06,563.9916600056949
1999-05-07,558.6870942175449
1999-05-10,561.0673759438846
1999-05-11,561.1997203152899
1999-05-12,557.7941712403778
1999-05-13,556.2083118871537
1999-05-14,552.5154722540402
1999-05-17,544.121882545035
1999-05-18,548.4574992739575
1999-05-19,546.7225123030438
1999-05-20,541.7360424560129
1999-05-21,546.3178704108254
1999-05-24,548.0616037476595
1999-05-25,544.0952393642601
1999-05-26,549.8931541573752
