Date,KUKJE (ACWI ex KOREA) SMALL GROWTH
2002-05-31,1000.0
2002-06-03,979.9771345835485
2002-06-04,968.4683865302337
2002-06-05,975.0364454814282
2002-06-06,958.0915482902974
2002-06-07,957.1704986985485
2002-06-10,958.0671418660678
2002-06-11,949.2913232272014
2002-06-12,939.5975639388612
2002-06-13,930.601918927994
2002-06-14,923.4823940660413
2002-06-17,943.0431214869358
2002-06-18,938.6838296865146
2002-06-19,919.5147805520535
2002-06-20,901.4942325913325
2002-06-21,891.7286955024831
2002-06-24,879.5496108944624
2002-06-25,875.9198743845337
2002-06-26,854.7488196306492
2002-06-27,869.5214788125596
2002-06-28,876.3297283546979
2002-07-01,860.7709164088144
2002-07-02,839.1324583457226
2002-07-03,838.7304824411873
2002-07-04,840.6207406492658
2002-07-05,867.4975092488518
2002-07-08,851.8735906071759
2002-07-09,838.2920487074956
2002-07-10,826.4868861013346
2002-07-11,817.2856127352828
2002-07-12,818.3772886921545
2002-07-15,797.1097741522772
2002-07-16,789.4475474403916
2002-07-17,796.2206717173402
2002-07-18,788.9093857253449
2002-07-19,769.1409554085028
2002-07-22,753.8539885164649
2002-07-23,746.0176351088593
2002-07-24,755.8179330258129
2002-07-25,749.6579702733831
2002-07-26,754.5331310252365
2002-07-29,790.9001887071533
2002-07-30,790.5439111958117
2002-07-31,789.2013624509029
2002-08-01,775.8707650340718
2002-08-02,757.6995544085584
2002-08-05,736.3879565192906
2002-08-06,761.0403779158024
2002-08-07,762.8397829496275
2002-08-08,776.1679498360608
2002-08-09,778.1667083513103
2002-08-12,771.7286893967953
2002-08-13,760.9797539186058
2002-08-14,768.8614779029162
2002-08-15,784.2583486802756
2002-08-16,786.9739590938078
2002-08-19,801.6254065248942
2002-08-20,797.8282205572738
2002-08-21,805.4335675414326
2002-08-22,819.2042845043092
2002-08-23,807.029534182256
2002-08-26,813.6857571599586
2002-08-27,798.3162772181112
2002-08-28,782.9871449046444
2002-08-29,783.8856836157239
2002-08-30,782.6695014171869
2002-09-02,778.418541451612
2002-09-03,750.3690298335715
2002-09-04,758.5483351629578
2002-09-05,749.5673933695734
2002-09-06,765.8785129163006
2002-09-09,770.9078414809245
2002-09-10,781.2580343886377
