Date,KOKUSAI INDEX (WORLD ex JP)
1998-12-31,100.0
1999-01-29,105.81349948560128
1999-02-26,106.48222517561331
1999-03-31,111.61712352673703
1999-04-30,118.34185149336346
1999-05-31,115.93886171567812
1999-06-30,122.02804731398365
1999-07-30,115.71260423246092
1999-08-31,117.10441556414249
1999-09-30,113.80328351577971
1999-10-29,121.45102202518922
1999-11-30,130.02976833703684
1999-12-31,141.56428405283776
2000-01-31,136.3992528535565
2000-02-29,139.59121464536645
2000-03-31,149.84544674742935
2000-04-28,151.4824647598306
2000-05-31,145.62600039506933
2000-06-30,144.9152109936018
2000-07-31,147.595015657203
2000-08-31,158.15436097065313
2000-09-29,150.7677428156736
2000-10-31,155.18348768164302
2000-11-30,141.535651591838
2000-12-29,134.65076067346254
2001-01-01,134.65076067346254
2001-01-02,131.10327048720987
2001-01-03,134.46247547481104
2001-01-04,134.75108716419393
2001-01-05,131.77368979718585
2001-01-08,131.4785201003085
2001-01-09,132.27063777782294
2001-01-10,132.67539734136435
2001-01-11,133.1322523141995
2001-01-12,133.13927974760946
2001-01-15,133.93200170702363
2001-01-16,133.93236106770127
2001-01-17,136.1807292600728
2001-01-18,135.728748556015
2001-01-19,136.45197897125723
2001-01-22,136.40801157621618
2001-01-23,136.94058916437186
2001-01-24,139.32360252925795
2001-01-25,139.31491208253655
2001-01-26,138.8833081414076
2001-01-29,139.88417828886256
2001-01-30,139.85456175441374
2001-01-31,139.06228639785635
2001-02-01,138.03467665758157
2001-02-02,136.88405682968025
2001-02-05,136.43514731210746
2001-02-06,137.4722322190123
2001-02-07,135.99550413339813
2001-02-08,136.8026659862326
2001-02-09,134.28668503504912
2001-02-12,135.16892346305025
2001-02-13,135.2737378423832
2001-02-14,134.74499545703273
2001-02-15,137.436060670927
2001-02-16,133.68652293494742
2001-02-19,133.0775047452818
2001-02-20,132.43745201752154
2001-02-21,130.2510924179396
2001-02-22,130.27047736499424
2001-02-23,128.9852916767904
