Date,EASEA INDEX (EAFE ex JAPAN)
1998-12-31,100.0
1999-01-29,102.82604949584386
1999-02-26,103.7871989465057
1999-03-31,107.20392444268894
1999-04-30,113.79030661094446
1999-05-31,109.66583420025117
1999-06-30,113.38030989502194
1999-07-30,110.08625818809112
1999-08-31,112.36042067375811
1999-09-30,110.48322795459772
1999-10-29,115.89419736173657
1999-11-30,124.78563357640952
1999-12-31,137.96598009709416
2000-01-31,131.28621139450306
2000-02-29,139.75976853869264
2000-03-31,143.83714152307746
2000-04-28,144.4073595317047
2000-05-31,139.81066045994442
2000-06-30,139.1394778686805
2000-07-31,141.7672603193003
2000-08-31,146.30627050077797
2000-09-29,140.26896956931935
2000-10-31,144.3756009873857
2000-11-30,135.50051252938488
2000-12-29,134.13176148372258
2001-01-01,134.13176148372258
2001-01-02,132.39579023158836
2001-01-03,130.91822076124743
2001-01-04,133.5634432508331
2001-01-05,132.9498207189116
2001-01-08,132.28231302239894
2001-01-09,131.4194633292479
2001-01-10,130.66399844907994
2001-01-11,131.64298059376762
2001-01-12,132.54272262973996
2001-01-15,133.06732118778308
2001-01-16,131.4632804630899
2001-01-17,134.4707684843245
2001-01-18,133.7809801201389
2001-01-19,133.8950388726029
2001-01-22,133.99411435377368
2001-01-23,133.6349782950434
2001-01-24,135.0452410071647
2001-01-25,135.59562887807382
2001-01-26,135.32565352708116
2001-01-29,135.62552005957355
2001-01-30,135.37251352567466
2001-01-31,135.79456238042937
2001-02-01,134.48049166029966
2001-02-02,133.85242369416895
2001-02-05,133.35845914024162
2001-02-06,134.23737955184683
2001-02-07,132.67562267462827
2001-02-08,132.95366754369343
2001-02-09,131.1057628794231
2001-02-12,132.04929485868354
2001-02-13,132.30232545544794
2001-02-14,130.96945874443242
2001-02-15,132.60041545826104
2001-02-16,129.82756609753406
2001-02-19,129.33279449507725
2001-02-20,128.6972070663097
2001-02-21,127.63924434966226
2001-02-22,127.12524688320946
2001-02-23,125.22668583488444
2001-02-26,126.05409784060252
2001-02-27,126.08415620669886
2001-02-28,125.84447965904593
2001-03-01,124.57252755884205
2001-03-02,124.43935632812568
2001-03-05,125.86960290863222
2001-03-06,127.34509387921526
2001-03-07,127.41208538535035
2001-03-08,126.61787180734393
2001-03-09,125.30173376486499
2001-03-12,122.54812830258872
2001-03-13,121.31567449265438
2001-03-14,119.76623501155146
2001-03-15,121.71483410963822
2001-03-16,119.00614266018962
2001-03-19,118.23180308883789
2001-03-20,119.74215364401908
2001-03-21,117.67179696118727
2001-03-22,113.24728144137732
2001-03-23,115.45722867947318
