Date,EUROPE & MIDDLE EAST
2010-05-26,1000.0
2010-05-27,1029.5374463585874
2010-05-28,1026.4068129434365
2010-05-31,1030.3910616739097
2010-06-01,1031.959624639825
2010-06-02,1033.2625466773425
2010-06-03,1048.0356626087691
2010-06-04,1030.110139954513
2010-06-07,1022.3882892674524
2010-06-08,1011.2690691125425
2010-06-09,1029.759898930503
2010-06-10,1045.5293282468606
2010-06-11,1049.7278704075593
2010-06-14,1062.5808319762104
2010-06-15,1069.7175586623841
2010-06-16,1071.011879152568
2010-06-17,1072.826331925066
2010-06-18,1074.592725366815
2010-06-21,1086.3627523268683
2010-06-22,1080.8401351451296
2010-06-23,1070.5406024097572
2010-06-24,1050.9063000215235
2010-06-25,1044.8414868340988
2010-06-28,1057.5262721868507
2010-06-29,1026.3264907597288
2010-06-30,1024.4462276709232
2010-07-01,998.9076615684431
2010-07-02,998.4299746361082
2010-07-05,996.2001573372532
2010-07-06,1021.3354447176661
2010-07-07,1034.9170562706377
2010-07-08,1045.6092255730803
2010-07-09,1052.0272341231034
2010-07-12,1056.971255787213
2010-07-13,1077.01140986888
2010-07-14,1076.8876778569954
2010-07-15,1064.6454398372039
2010-07-16,1044.4245159608893
2010-07-19,1036.3337335477895
2010-07-20,1037.3055810011472
2010-07-21,1049.3477194823415
2010-07-22,1070.7730462159504
2010-07-23,1077.1264766665852
2010-07-26,1081.0982320473784
2010-07-27,1085.4365921332765
2010-07-28,1081.7186132034415
2010-07-29,1077.394050192157
2010-07-30,1073.7095346470892
2010-08-02,1102.298289505981
2010-08-03,1102.4480553755413
2010-08-04,1103.8334733158272
2010-08-05,1100.348578577487
2010-08-06,1088.694678070172
2010-08-09,1103.8744253268742
2010-08-10,1094.548685364202
2010-08-11,1073.5623092730104
2010-08-12,1075.1357088472544
2010-08-13,1077.722017607901
2010-08-16,1077.9497877880694
2010-08-17,1089.887004818774
2010-08-18,1086.6353229075296
2010-08-19,1070.7131916506303
2010-08-20,1063.839713172741
2010-08-23,1070.7730309354524
2010-08-24,1052.7269461722922
2010-08-25,1044.7793673715203
2010-08-26,1053.717476154806
2010-08-27,1060.3166846629597
2010-08-30,1060.314874813703
2010-08-31,1060.9391028654552
2010-09-01,1089.7619073371052
2010-09-02,1089.468297807279
2010-09-03,1098.764597317204
2010-09-06,1101.1787610778272
2010-09-07,1096.425593932388
2010-09-08,1107.698245743588
2010-09-09,1119.1662443954276
2010-09-10,1117.4493212922055
2010-09-13,1124.828962767398
2010-09-14,1124.406936633479
2010-09-15,1120.8547079839277
2010-09-16,1112.172169998689
2010-09-17,1109.3009485850066
2010-09-20,1124.1425648019706
2010-09-21,1118.9643311444963
2010-09-22,1103.0280379212113
2010-09-23,1102.6707464563403
2010-09-24,1114.6251635211925
2010-09-27,1109.67962067688
2010-09-28,1107.104675251938
2010-09-29,1101.5131633684734
2010-09-30,1096.0833793123074
2010-10-01,1093.5766635371144
