Date,EM LATIN AMERICA ex BRAZIL SMALL CAP
1996-05-31,1000.0
1996-06-28,986.6539070501499
1996-07-31,946.6278024204896
1996-08-30,941.1073164630947
1996-09-30,966.7657019594775
1996-10-31,919.4236032740511
1996-11-29,920.6878732332173
1996-12-31,916.0677639506508
1997-01-01,916.0987307216326
1997-01-02,910.1985727221413
1997-01-03,918.3720709069178
1997-01-06,925.3633516720533
1997-01-07,926.5957210730426
1997-01-08,931.8706881087801
1997-01-09,933.0598795125519
1997-01-10,934.150427562379
1997-01-13,937.4990451303457
1997-01-14,948.4951596611832
1997-01-15,952.516742742671
1997-01-16,953.3363796233857
1997-01-17,962.3422594815289
1997-01-20,963.657607619984
1997-01-21,966.6268239234192
1997-01-22,964.2732931515427
1997-01-23,966.194587333281
1997-01-24,960.1786661696434
1997-01-27,953.2316320310083
1997-01-28,958.5765320995172
1997-01-29,957.4201720970103
1997-01-30,965.6961012032442
1997-01-31,966.7887241972634
1997-02-03,968.8843087225139
1997-02-04,973.046315791332
1997-02-05,974.0517683273864
1997-02-06,975.8702796452884
1997-02-07,979.4645465575976
1997-02-10,980.591418455655
1997-02-11,983.8758622754095
1997-02-12,990.1334781884512
1997-02-13,990.5844537316393
1997-02-14,993.3121552871703
1997-02-17,998.5634886637903
1997-02-18,1000.424359767225
1997-02-19,1005.8782168436163
1997-02-20,1006.8198633062929
1997-02-21,1015.4684744653306
1997-02-24,1022.9492346053792
1997-02-25,1024.361785857851
1997-02-26,1020.1514169002136
1997-02-27,1006.1104397058652
1997-02-28,1001.0149890742985
1997-03-03,994.4426275590703
1997-03-04,992.431698707146
1997-03-05,989.0799694124188
1997-03-06,988.3472606373539
1997-03-07,993.9967383126886
1997-03-10,1002.161520104341
1997-03-11,997.9404475739833
1997-03-12,993.4985877122961
1997-03-13,987.2378658760091
1997-03-14,989.0893593900607
1997-03-17,985.3315916993483
1997-03-18,985.2274811026602
1997-03-19,988.5989161982018
1997-03-20,989.0784062967157
1997-03-21,989.0182226089756
1997-03-24,991.5298065159619
1997-03-25,992.8098899291234
