Date,EM LATIN AMERICA SMALL CAP
1996-05-31,196.507931711275
1996-06-28,196.4375837160623
1996-07-31,189.57663408203643
1996-08-30,187.7194438675054
1996-09-30,193.45717414454455
1996-10-31,187.3077638438427
1996-11-29,187.5254981449103
1996-12-31,186.4486241099229
1997-01-01,186.3380434900896
1997-01-02,185.5346709146197
1997-01-03,186.48989702441597
1997-01-06,187.13114882730017
1997-01-07,187.8170708327427
1997-01-08,188.14384342257247
1997-01-09,188.5661429848226
1997-01-10,188.7819262702695
1997-01-13,189.5472850315806
1997-01-14,191.6024492201496
1997-01-15,193.0661169128972
1997-01-16,193.647285568737
1997-01-17,195.18270307740585
1997-01-20,195.83161095613997
1997-01-21,196.76757082715298
1997-01-22,196.3639157207204
1997-01-23,197.0619771766936
1997-01-24,196.79006689972715
1997-01-27,195.3696620110567
1997-01-28,196.82947264559445
1997-01-29,196.19818123926206
1997-01-30,197.33734826295654
1997-01-31,198.04745854171128
1997-02-03,198.3775461800148
1997-02-04,199.14197929603938
1997-02-05,199.74861743451441
1997-02-06,200.27658187431535
1997-02-07,201.55214465926286
1997-02-10,201.70801142079756
1997-02-11,202.22088713189962
1997-02-12,204.58376390558857
1997-02-13,204.626937080557
1997-02-14,205.62480607855963
1997-02-17,206.61435873731014
1997-02-18,206.97359529668609
1997-02-19,207.90883054054333
1997-02-20,207.48222461507925
1997-02-21,209.48949760200637
1997-02-24,211.16389263981165
1997-02-25,212.22435808205722
1997-02-26,211.45828499016963
1997-02-27,209.08593748450826
1997-02-28,208.9540969101072
1997-03-03,208.20230988553666
1997-03-04,207.83861062342532
1997-03-05,207.44971894150243
1997-03-06,207.54968618274148
1997-03-07,208.8724487323254
1997-03-10,210.87203665184094
1997-03-11,210.48155912680994
1997-03-12,209.04896160093054
1997-03-13,207.7045655286839
1997-03-14,208.2950599772089
1997-03-17,207.19997239301406
1997-03-18,206.7996373549776
1997-03-19,206.929784499256
1997-03-20,207.09001354577987
1997-03-21,207.00208807713372
1997-03-24,207.36617047902067
1997-03-25,207.88783880506497
1997-03-26,208.35062922202346
1997-03-27,208.53265241999887
1997-03-28,208.51246958598966
1997-03-31,206.31738185192293
1997-04-01,206.23509401061372
1997-04-02,205.91831784642508
1997-04-03,206.323022898627
1997-04-04,206.86142315377282
1997-04-07,207.64122356033394
1997-04-08,207.4803258076872
1997-04-09,207.2016314919511
1997-04-10,206.91255749551092
1997-04-11,206.11962955633427
1997-04-14,204.74258326933236
1997-04-15,205.1535769361636
1997-04-16,205.35269234869642
1997-04-17,204.8701514768956
1997-04-18,205.1541674787757
1997-04-21,204.71901110055572
1997-04-22,204.95898531670196
1997-04-23,206.37331613195545
1997-04-24,206.9077850871774
1997-04-25,207.21749224394
1997-04-28,206.9904287709318
1997-04-29,208.09526141223836
1997-04-30,208.4823891459041
1997-05-01,208.52645879990095
1997-05-02,209.49068068307432
1997-05-05,208.88489669841044
1997-05-06,209.2188553556743
1997-05-07,209.0173187257514
1997-05-08,210.53612901209829
1997-05-09,211.61613982182615
1997-05-12,212.83083302564197
1997-05-13,213.76710189264034
1997-05-14,213.44661106953316
1997-05-15,214.43311356551143
1997-05-16,214.5599774282532
1997-05-19,214.2252027122374
1997-05-20,215.42073978218687
1997-05-21,216.06238911405916
1997-05-22,216.19499386719428
1997-05-23,216.34452370341418
1997-05-26,217.63513490781736
1997-05-27,217.61064208742468
1997-05-28,217.94215151558572
1997-05-29,218.0524851767185
1997-05-30,219.73945281873046
