Date,EFM CEEC ex RU SMALL CAP
2010-11-30,1000.0
2010-12-01,1018.7798049074055
2010-12-02,1037.0085254923438
2010-12-03,1062.6428020857545
2010-12-06,1051.5491956049657
2010-12-07,1053.8525752351595
2010-12-08,1040.6173911079002
2010-12-09,1038.3647075239312
2010-12-10,1040.0102638630528
2010-12-13,1069.5887050608271
2010-12-14,1066.4722512357039
2010-12-15,1070.0896697053877
2010-12-16,1051.3407087030607
2010-12-17,1052.4059078274468
2010-12-20,1040.3583551730749
2010-12-21,1044.3218929057768
2010-12-22,1038.6632748704496
2010-12-23,1046.6573172296642
2010-12-24,1049.5363269833838
2010-12-27,1044.576472159442
2010-12-28,1040.9558538169065
2010-12-29,1052.1664039145055
2010-12-30,1064.9470414839989
2010-12-31,1073.726196291197
2011-01-03,1088.7686941362172
2011-01-04,1096.08152507242
2011-01-05,1092.8565830106043
2011-01-06,1090.8427785790816
2011-01-07,1086.2657019445378
2011-01-10,1073.0580756987226
2011-01-11,1088.3971156189705
2011-01-12,1109.6673544823773
2011-01-13,1127.351872112618
2011-01-14,1134.8492687715866
2011-01-17,1136.8431666216577
2011-01-18,1149.4116723978657
2011-01-19,1153.330288837705
2011-01-20,1131.8703965867182
2011-01-21,1155.4817767049124
2011-01-24,1155.4374532293093
2011-01-25,1159.4148845782079
2011-01-26,1164.6966481856343
2011-01-27,1157.9322595851695
2011-01-28,1130.2548042300223
2011-01-31,1133.1960445677412
2011-02-01,1171.2957490205056
2011-02-02,1167.7431697226957
2011-02-03,1150.0258530581
2011-02-04,1147.6600576161868
2011-02-07,1156.1196202056467
2011-02-08,1167.3588655914446
2011-02-09,1158.315780602125
2011-02-10,1133.946596924905
2011-02-11,1132.5612094713447
2011-02-14,1122.0550901816061
2011-02-15,1127.08045852408
2011-02-16,1137.912838976637
2011-02-17,1140.0435482073485
2011-02-18,1141.200324416439
2011-02-21,1139.4554439994997
2011-02-22,1123.36706300885
2011-02-23,1132.1732642077302
2011-02-24,1123.3104201528213
2011-02-25,1131.6223830724682
2011-02-28,1151.207083315091
2011-03-01,1146.929278257981
2011-03-02,1150.6653436048362
2011-03-03,1167.6461166386641
2011-03-04,1176.036254518755
2011-03-07,1173.0290884175129
2011-03-08,1165.1833513570707
2011-03-09,1164.991044010786
2011-03-10,1139.9849762788765
2011-03-11,1132.7746034069414
2011-03-14,1131.680004234476
2011-03-15,1112.5747778764676
2011-03-16,1110.1028492089308
2011-03-17,1129.8897897784937
2011-03-18,1138.3017409813276
2011-03-21,1162.255100088908
2011-03-22,1158.0002185791377
2011-03-23,1151.23617474388
2011-03-24,1163.2571216818221
2011-03-25,1169.7205762306405
2011-03-28,1164.3540505669118
2011-03-29,1165.1872099248426
2011-03-30,1167.291136226625
2011-03-31,1174.0252980884466
2011-04-01,1175.3598647060958
2011-04-04,1187.3851422938928
2011-04-05,1196.122614981531
2011-04-06,1226.4918379144865
2011-04-07,1234.9990105289405
2011-04-08,1240.0760479174694
2011-04-11,1234.8100004318787
2011-04-12,1226.8624785006114
2011-04-13,1243.3411225452023
2011-04-14,1231.1976420190206
2011-04-15,1233.7850499009144
2011-04-18,1190.7897834619905
2011-04-19,1208.2068114303027
2011-04-20,1229.9414592815428
2011-04-21,1238.0428885536703
2011-04-22,1238.4343569944867
2011-04-25,1237.859447826004
2011-04-26,1242.9505481835258
2011-04-27,1245.6474075889348
2011-04-28,1260.6751947494317
2011-04-29,1272.1822537718153
2011-05-02,1285.8631996425324
2011-05-03,1273.1184043585145
2011-05-04,1261.0581484961929
2011-05-05,1232.7701332323
2011-05-06,1220.2271091128055
2011-05-09,1195.0675632688751
2011-05-10,1206.2768163812839
2011-05-11,1197.176963424929
2011-05-12,1171.0128540945045
2011-05-13,1171.922444770018
2011-05-16,1166.3437804902885
2011-05-17,1146.2010253208537
2011-05-18,1155.1153688409026
2011-05-19,1169.127799110598
2011-05-20,1159.5168968837334
2011-05-23,1130.4054593271892
2011-05-24,1144.021668705918
2011-05-25,1142.5616867881242
2011-05-26,1149.7290602586527
2011-05-27,1171.444664801872
2011-05-30,1169.234296338614
2011-05-31,1194.7610053373444
2011-06-01,1188.536047216327
2011-06-02,1184.499106413755
2011-06-03,1192.1783669100678
2011-06-06,1191.9178405613263
2011-06-07,1203.5018600282406
2011-06-08,1194.3805606571693
2011-06-09,1190.7538774950071
2011-06-10,1173.9489694387855
2011-06-13,1173.8073575295755
2011-06-14,1187.7391217442162
2011-06-15,1166.0285308375878
2011-06-16,1133.3719850585396
2011-06-17,1150.8197951763887
2011-06-20,1142.1635616687352
2011-06-21,1144.1702067986205
2011-06-22,1149.2845512498707
2011-06-23,1117.211754683274
2011-06-24,1126.401181694489
2011-06-27,1120.5291947553847
2011-06-28,1123.7492049749997
2011-06-29,1137.9747352960921
2011-06-30,1152.3085359541788
2011-07-01,1159.1780987785405
2011-07-04,1163.0054157841428
2011-07-05,1158.7698290566625
2011-07-06,1135.3618979482214
2011-07-07,1163.1579797843006
2011-07-08,1146.6003370316919
2011-07-11,1103.8889767367257
2011-07-12,1086.6130953169616
2011-07-13,1107.987466354588
2011-07-14,1097.3029061578409
2011-07-15,1092.9564111743932
2011-07-18,1066.5207942779273
2011-07-19,1068.9449598933697
2011-07-20,1075.913866587336
2011-07-21,1090.723806495591
2011-07-22,1097.0292393394277
2011-07-25,1086.9839620314651
2011-07-26,1094.4405884983341
2011-07-27,1079.3240203823193
2011-07-28,1074.7720497252346
2011-07-29,1074.3287031299305
2011-08-01,1057.729363131527
2011-08-02,1044.7946613473002
2011-08-03,1008.4983226114142
2011-08-04,963.59047587403
2011-08-05,932.9243261374803
2011-08-08,883.5588115595262
2011-08-09,847.9889039473439
2011-08-10,830.9532458903207
2011-08-11,844.3387059472733
2011-08-12,875.870016447194
2011-08-15,896.9999964822174
2011-08-16,912.3165545527348
2011-08-17,926.3216990488195
2011-08-18,867.5459414629312
2011-08-19,864.6457648980969
2011-08-22,870.8316610756368
2011-08-23,875.3461749261451
2011-08-24,878.776990098996
2011-08-25,870.4234732430998
2011-08-26,871.0110252024523
2011-08-29,904.1679778574224
2011-08-30,903.6099842890868
2011-08-31,919.6905398039494
2011-09-01,902.8044547643658
2011-09-02,874.5982513095469
2011-09-05,836.9141593421539
2011-09-06,828.8694943221012
2011-09-07,845.4717789919855
2011-09-08,838.6083105975406
2011-09-09,799.4441265109563
2011-09-12,756.1537179471028
2011-09-13,760.3584802223075
2011-09-14,755.1157651457025
2011-09-15,778.2692915932832
2011-09-16,786.9947920823042
2011-09-19,754.3598333436933
2011-09-20,769.2970267111458
2011-09-21,765.5424671733418
2011-09-22,715.9325289748301
2011-09-23,719.564212062622
2011-09-26,720.2339458188194
2011-09-27,741.5838566463881
2011-09-28,730.1887691341722
2011-09-29,738.1598043955
2011-09-30,719.6959439767189
2011-10-03,706.9455404141368
2011-10-04,694.3968082379804
2011-10-05,711.8769051872592
2011-10-06,720.8478628083773
2011-10-07,729.4694342149654
2011-10-10,761.517856291224
2011-10-11,762.6448330253137
2011-10-12,790.1454509169082
2011-10-13,777.2967974450684
2011-10-14,794.8763187554775
2011-10-17,783.2162755317756
2011-10-18,769.7911379870433
2011-10-19,786.047412042608
2011-10-20,756.9962162020014
2011-10-21,783.3384341000565
2011-10-24,803.9490977278764
2011-10-25,800.1672948166716
2011-10-26,792.461158813558
