Date,EM (EMERGING MARKETS) SMALL CAP
1994-05-31,429.35113278835695
1994-06-30,432.90896176308314
1994-07-29,448.47394225846534
1994-08-31,513.6460367894618
1994-09-30,543.2431941701568
1994-10-31,543.5619973497435
1994-11-30,520.2859277417978
1994-12-30,504.1568766937174
1995-01-31,449.59446399335366
1995-02-28,461.6334686733458
1995-03-31,470.167566394009
1995-04-28,466.90209954310296
1995-05-31,490.30222016039977
1995-06-30,493.9097749575212
1995-07-31,505.8341603428729
1995-08-31,490.37138727934206
1995-09-29,484.0579226136756
1995-10-31,464.24839039318874
1995-11-30,453.50159087144397
1995-12-29,467.240194008569
1996-01-31,500.9267133006334
1996-02-29,503.0687623466335
1996-03-29,501.6752135385309
1996-04-30,523.9733422016157
1996-05-31,501.5970382393004
1996-06-28,507.5264063501345
1996-07-31,476.58298902142934
1996-08-30,482.6859069628827
1996-09-30,492.10579252443944
1996-10-31,482.0280141177878
1996-11-29,482.953533995998
1996-12-31,477.0389945991111
1997-01-01,477.0510061670371
1997-01-02,478.54339170451385
1997-01-03,480.2327122966783
1997-01-06,483.06963507279744
1997-01-07,484.98495521893557
1997-01-08,487.8049325494467
1997-01-09,489.29247660814883
1997-01-10,491.5794280973266
1997-01-13,495.88776729356744
1997-01-14,496.8376926796876
1997-01-15,500.38275878574984
1997-01-16,502.62950191429184
1997-01-17,504.3852425926147
1997-01-20,508.0074952861453
1997-01-21,506.8736180013791
1997-01-22,507.2417045255989
1997-01-23,505.7141183490905
1997-01-24,507.222006905696
1997-01-27,510.44951838835027
1997-01-28,508.652313597784
1997-01-29,507.89332206918806
1997-01-30,510.89604244598087
1997-01-31,511.5691102103609
1997-02-03,511.8320728438076
1997-02-04,511.7368322364802
1997-02-05,515.8585282119203
1997-02-06,517.497781478584
1997-02-07,518.331869980274
1997-02-10,521.5649144657468
1997-02-11,522.2386394829463
1997-02-12,525.7838766519452
1997-02-13,527.7358687167194
1997-02-14,527.9981780420017
1997-02-17,532.0301283647727
1997-02-18,532.0531625895079
1997-02-19,536.3359252278369
1997-02-20,538.4208818076128
1997-02-21,541.2074235759618
1997-02-24,544.4681412878263
1997-02-25,547.2163879884041
1997-02-26,544.9904637548694
1997-02-27,541.7302748122985
1997-02-28,544.5703566487349
1997-03-03,543.6220799412832
1997-03-04,541.5018018172783
1997-03-05,542.1188849234098
1997-03-06,541.9705048409569
1997-03-07,543.4259319254758
1997-03-10,544.0566789235903
1997-03-11,546.5281198626757
1997-03-12,544.6486720195973
1997-03-13,543.9274887559451
1997-03-14,540.9494826861259
1997-03-17,542.7458293448774
1997-03-18,542.7373579242587
1997-03-19,541.4544968683647
1997-03-20,540.9036062260619
1997-03-21,536.6493728214974
1997-03-24,532.2246524221383
1997-03-25,534.3000592645889
1997-03-26,539.5159066945341
1997-03-27,539.418794406185
1997-03-28,540.0569655248307
1997-03-31,534.4716746855081
1997-04-01,531.6653061769846
1997-04-02,530.134454698453
1997-04-03,526.1040070640338
1997-04-04,524.3488057214114
1997-04-07,522.8412895525992
1997-04-08,525.4128547055203
1997-04-09,526.2313439469489
1997-04-10,521.7065214462111
1997-04-11,520.4986974357108
1997-04-14,513.7618572865606
1997-04-15,509.1151938284175
1997-04-16,510.5282436262633
1997-04-17,513.2403975629142
1997-04-18,512.5344893740302
1997-04-21,517.4771821127214
1997-04-22,514.0951172508113
1997-04-23,516.1560286756986
1997-04-24,513.4702814468648
1997-04-25,514.4562706273024
1997-04-28,511.07020899436145
1997-04-29,508.4388723916392
1997-04-30,510.5980212475019
1997-05-01,511.30508981196607
1997-05-02,509.3818000189166
1997-05-05,509.98309045542845
1997-05-06,510.28021159866915
1997-05-07,509.32213771335466
1997-05-08,508.57701968700127
1997-05-09,507.4940341722779
1997-05-12,501.4373386559034
1997-05-13,500.24827666202583
1997-05-14,498.7514834997334
1997-05-15,496.10078211067156
1997-05-16,498.2060924237781
1997-05-19,501.55724527688034
1997-05-20,503.2889004676637
1997-05-21,503.5613127990451
1997-05-22,505.7451863247449
1997-05-23,508.10159551788144
1997-05-26,507.5684613868359
1997-05-27,506.89774231634823
1997-05-28,507.0283652706269
1997-05-29,504.98212550979133
1997-05-30,505.9926117117286
1997-06-02,508.6041752185716
1997-06-03,508.85730922370317
1997-06-04,507.56754202716405
1997-06-05,508.52310967448284
1997-06-06,508.89803182941654
1997-06-09,510.1744312186608
1997-06-10,509.62087174968286
1997-06-11,509.55522740785847
1997-06-12,510.1143881702655
1997-06-13,509.3366522439944
1997-06-16,511.0973783006537
1997-06-17,510.8208874904906
1997-06-18,511.33812903135316
1997-06-19,511.32803374339215
1997-06-20,512.3840340976607
1997-06-23,512.4328639863007
1997-06-24,511.67569430517005
1997-06-25,511.9507717712453
1997-06-26,511.04852623181773
1997-06-27,510.8822462884837
1997-06-30,513.4761202994772
1997-07-01,514.7425814163827
1997-07-02,517.47865356684
1997-07-03,518.9925438287319
1997-07-04,520.6244179577291
1997-07-07,521.5883293554766
1997-07-08,521.2814780826609
1997-07-09,520.6285762930918
1997-07-10,519.8303177253479
1997-07-11,518.5981258302508
