Date,EM EUROPE & MIDDLE EAST SMALL CAP
2007-05-31,1000.0
2007-06-01,1003.9698455030594
2007-06-04,1002.2821129697156
2007-06-05,1001.4297272013745
2007-06-06,989.056111168271
2007-06-07,977.18488628176
2007-06-08,968.8186867314485
2007-06-11,974.9426379794414
2007-06-12,967.2804853758585
2007-06-13,969.3745517020322
2007-06-14,979.8383141346542
2007-06-15,993.4251554565287
2007-06-18,999.2249672898922
2007-06-19,1005.1541436275858
2007-06-20,1006.3457185675961
2007-06-21,1001.0708007074718
2007-06-22,1004.4656221582094
2007-06-25,1004.2460389147983
2007-06-26,1007.9438406571992
2007-06-27,1001.1566355183102
2007-06-28,1011.56806512173
2007-06-29,1020.0024711122624
2007-07-02,1030.4025850610735
2007-07-03,1043.0235297800937
2007-07-04,1051.1135390506658
2007-07-05,1047.489734146473
2007-07-06,1049.8978833962383
2007-07-09,1057.2954664639133
2007-07-10,1047.7109960524824
2007-07-11,1044.2954747162144
2007-07-12,1053.840079580714
2007-07-13,1058.883603006455
2007-07-16,1046.7489045487412
2007-07-17,1046.6831755775972
2007-07-18,1042.079222747182
2007-07-19,1055.7839073741468
2007-07-20,1047.6579264965303
2007-07-23,1057.5933235845773
2007-07-24,1054.1692113780832
2007-07-25,1038.73339059284
2007-07-26,1013.0722132736994
2007-07-27,996.7697083370115
2007-07-30,992.9376383426421
2007-07-31,1010.0173261027367
2007-08-01,984.226207981843
2007-08-02,994.7753261810229
2007-08-03,991.9623016170831
2007-08-06,977.705178543484
2007-08-07,987.2598006968102
2007-08-08,1009.1483870287085
2007-08-09,980.1879538960081
2007-08-10,966.9007768555451
2007-08-13,982.0467449116223
2007-08-14,967.9292552169677
2007-08-15,946.3627674348261
2007-08-16,889.1135081180827
2007-08-17,909.1946061494247
2007-08-20,915.986051442307
2007-08-21,901.2920370166228
2007-08-22,925.6501766399957
2007-08-23,932.5743539173275
2007-08-24,935.7208406181966
2007-08-27,948.7894956916059
2007-08-28,944.3384554120735
2007-08-29,948.5416290347849
2007-08-30,944.4533837036751
2007-08-31,961.7181199480391
2007-09-03,965.2218993175521
2007-09-04,968.5294053364023
2007-09-05,962.3461115944526
2007-09-06,959.8449405322579
2007-09-07,956.3778482295918
2007-09-10,947.8792481876607
2007-09-11,959.8141381571926
2007-09-12,962.5664514691796
2007-09-13,971.3743690410568
2007-09-14,972.251319444976
2007-09-17,969.5520449095739
2007-09-18,973.5629620219373
2007-09-19,1000.7942528983847
2007-09-20,1005.2495546225598
2007-09-21,1011.0605523319243
2007-09-24,1014.6220435626478
2007-09-25,1012.4117133738928
2007-09-26,1020.1162347720366
2007-09-27,1029.325568513716
2007-09-28,1028.1638839781633
2007-10-01,1031.5918057414883
2007-10-02,1034.168437337192
2007-10-03,1034.4693616380569
2007-10-04,1039.3935679839958
2007-10-05,1049.1228907910402
2007-10-08,1050.510065474943
2007-10-09,1062.6040625295523
2007-10-10,1065.2702569374414
2007-10-11,1075.4707264998785
2007-10-12,1070.6097123218294
2007-10-15,1063.2255032168905
2007-10-16,1055.3004931553191
2007-10-17,1071.8803243731818
2007-10-18,1067.5890505471687
2007-10-19,1061.266079698415
2007-10-22,1043.4475744757171
2007-10-23,1060.7803408884276
2007-10-24,1049.9674048303332
2007-10-25,1063.624489160416
2007-10-26,1075.6152145770075
2007-10-29,1075.399482013699
2007-10-30,1071.918360063176
2007-10-31,1078.4788461867945
2007-11-01,1067.032505032123
2007-11-02,1063.598496267041
2007-11-05,1056.2916211442787
2007-11-06,1069.0420701256464
2007-11-07,1057.854014878133
2007-11-08,1049.510502275492
2007-11-09,1035.7457966512625
2007-11-12,1020.8141876095037
2007-11-13,1030.3120145206244
2007-11-14,1039.5983513018841
2007-11-15,1017.7740860199735
2007-11-16,1009.2780249929612
2007-11-19,1004.0164279259949
2007-11-20,1008.5588802531279
2007-11-21,978.6207786226697
2007-11-22,990.5969420239875
2007-11-23,992.9643509883305
2007-11-26,993.2944128811305
2007-11-27,978.7730443381473
2007-11-28,1001.0037727592177
2007-11-29,1007.6852068164144
2007-11-30,1015.6168775975822
2007-12-03,1015.6217336398728
2007-12-04,1014.7627161464716
2007-12-05,1030.7787024221968
2007-12-06,1034.49854548986
2007-12-07,1043.3780422367008
2007-12-10,1052.41462176762
2007-12-11,1046.9089863335148
2007-12-12,1051.4302051208929
2007-12-13,1035.7004511631528
2007-12-14,1023.3787114436097
2007-12-17,997.4889777620355
2007-12-18,1006.0954874902086
2007-12-19,1003.3415415864793
2007-12-20,1001.4783345030609
2007-12-21,1008.2024516228819
2007-12-24,1017.865627849322
2007-12-25,1020.4004506529752
2007-12-26,1023.1157676978655
2007-12-27,1029.3271424388024
2007-12-28,1036.3226196179232
2007-12-31,1036.2644940376938
2008-01-01,1037.9743892492493
2008-01-02,1037.0290168815936
2008-01-03,1029.0241665915419
2008-01-04,1021.0712166245751
2008-01-07,1010.5215360413376
2008-01-08,1018.4272200109788
2008-01-09,1001.919790256614
2008-01-10,995.8044827576483
2008-01-11,994.6358287888651
2008-01-14,997.7601414546588
2008-01-15,979.6494727490864
2008-01-16,946.3020320005479
2008-01-17,940.6770552225616
2008-01-18,934.6658742086897
2008-01-21,887.1009269284782
2008-01-22,877.973998112514
2008-01-23,864.2773963494144
2008-01-24,899.7404534594638
2008-01-25,909.9169894261681
2008-01-28,903.7503654514227
2008-01-29,922.2982846540081
2008-01-30,924.8328138942562
2008-01-31,913.8492205039619
2008-02-01,931.8393032722126
2008-02-04,945.0692163569098
2008-02-05,921.7308174832065
2008-02-06,911.5317074451532
2008-02-07,890.3200111341841
2008-02-08,890.3432850453669
2008-02-11,889.047244390855
2008-02-12,911.191215494379
2008-02-13,923.628013809556
2008-02-14,928.9524253094863
2008-02-15,922.664360032407
2008-02-18,928.1444826881202
2008-02-19,930.8827836255233
2008-02-20,916.2675339944623
2008-02-21,931.0842806043335
2008-02-22,929.0541170569682
2008-02-25,935.1047102099225
2008-02-26,936.8344113707134
2008-02-27,945.6735237098977
2008-02-28,945.6792415663241
2008-02-29,928.1401485182191
2008-03-03,908.0052347783769
2008-03-04,905.2578434109141
2008-03-05,915.2680133738907
2008-03-06,906.1378449474545
2008-03-07,891.8005156461219
2008-03-10,881.3888627566699
2008-03-11,896.2872125527583
2008-03-12,912.3180297968374
2008-03-13,902.2263805371641
2008-03-14,902.5530401623735
2008-03-17,869.44551900601
