Date,EFM EUROPE + CIS (E+C) ex RU SMALL CAP
2010-11-30,1000.0
2010-12-01,1021.9172411549429
2010-12-02,1040.498520588928
2010-12-03,1059.138241281587
2010-12-06,1060.2755123104753
2010-12-07,1068.4464464669795
2010-12-08,1056.0034232779142
2010-12-09,1043.3269703788621
2010-12-10,1042.8320691565502
2010-12-13,1067.341635056431
2010-12-14,1063.3167255775613
2010-12-15,1065.6901716587765
2010-12-16,1051.6568452580518
2010-12-17,1036.1489295148115
2010-12-20,1022.9590877978654
2010-12-21,1038.123270544068
2010-12-22,1043.0109708185282
2010-12-23,1052.7689504007362
2010-12-24,1056.2149082065928
2010-12-27,1054.4995350715699
2010-12-28,1051.273884897049
2010-12-29,1059.0086332612236
2010-12-30,1068.8394151614582
2010-12-31,1076.0289150674166
2011-01-03,1086.6154024141513
2011-01-04,1102.1608348604211
2011-01-05,1103.7316800382523
2011-01-06,1106.9655304808066
2011-01-07,1097.8963562899112
2011-01-10,1083.909061844592
2011-01-11,1091.6972203837697
2011-01-12,1112.2509011811499
2011-01-13,1128.8896639197344
2011-01-14,1130.8299896620617
2011-01-17,1135.8990765625576
2011-01-18,1147.2975930851203
2011-01-19,1140.7298715430175
2011-01-20,1109.1767974988531
2011-01-21,1129.9793514284884
2011-01-24,1131.6722209505642
2011-01-25,1130.6000475964026
2011-01-26,1130.7024805962635
2011-01-27,1116.8348269423807
2011-01-28,1072.4713304932873
2011-01-31,1073.2968797940543
2011-02-01,1108.394990979369
2011-02-02,1111.997046540685
2011-02-03,1084.4740396341306
2011-02-04,1095.0681753903855
2011-02-07,1104.7986662236947
2011-02-08,1118.5846673811823
2011-02-09,1111.2238428662747
2011-02-10,1095.4673833947143
2011-02-11,1097.7915208542524
2011-02-14,1084.2218910320246
2011-02-15,1090.2780550226898
2011-02-16,1103.738662188547
2011-02-17,1103.295399769879
2011-02-18,1106.3634359392383
2011-02-21,1094.232674455664
2011-02-22,1080.9049033867623
2011-02-23,1062.7311919725869
2011-02-24,1033.5805637915787
2011-02-25,1051.846679009822
2011-02-28,1062.8392219464658
2011-03-01,1036.299489322293
2011-03-02,1034.3654364046565
2011-03-03,1065.0140424433064
2011-03-04,1071.5738328086375
2011-03-07,1066.3919278050896
2011-03-08,1075.3445352814806
2011-03-09,1084.576897608598
2011-03-10,1075.2954212477202
2011-03-11,1072.0759368003182
2011-03-14,1083.156503301859
2011-03-15,1065.8795061874503
2011-03-16,1058.6418337103953
2011-03-17,1074.817665924672
2011-03-18,1083.6410792168263
2011-03-21,1097.5081997603395
2011-03-22,1103.9824416504603
2011-03-23,1101.706926943984
2011-03-24,1117.5196873858931
2011-03-25,1119.2971685811478
2011-03-28,1116.2680605615867
2011-03-29,1116.5912086558128
2011-03-30,1125.562103788921
2011-03-31,1138.85690980134
2011-04-01,1149.2936720639018
2011-04-04,1163.0234289037492
2011-04-05,1168.674410465861
2011-04-06,1196.6050069697114
2011-04-07,1206.4841948651979
2011-04-08,1201.0992945245196
2011-04-11,1197.8002558468459
2011-04-12,1189.0905460493689
2011-04-13,1201.7574299295215
2011-04-14,1192.893725900079
2011-04-15,1200.4382003922865
2011-04-18,1150.7248838227922
2011-04-19,1176.724130527507
2011-04-20,1196.3782997431824
2011-04-21,1205.997349995489
2011-04-22,1212.2727930390515
2011-04-25,1214.3353563317746
2011-04-26,1214.24194915294
2011-04-27,1212.7769866578847
2011-04-28,1230.6516543616378
2011-04-29,1239.3809883098252
2011-05-02,1248.4452829838754
2011-05-03,1238.851817847911
2011-05-04,1228.2293007647402
2011-05-05,1214.2530211170654
2011-05-06,1206.1830415383174
2011-05-09,1187.5572468444157
2011-05-10,1182.3489972558434
2011-05-11,1161.0727620432588
2011-05-12,1153.051503240493
2011-05-13,1130.428033322875
2011-05-16,1123.950148219417
2011-05-17,1112.256593752844
2011-05-18,1112.2160472519122
2011-05-19,1117.6171936834942
2011-05-20,1104.6332186299044
2011-05-23,1080.442467054795
2011-05-24,1101.3306919842782
2011-05-25,1095.4078177777985
2011-05-26,1100.8835796557082
2011-05-27,1099.1379235443621
2011-05-30,1094.38420290463
2011-05-31,1116.6578919683138
2011-06-01,1118.2494563747891
2011-06-02,1114.7861349773277
2011-06-03,1122.7049161097377
2011-06-06,1122.9677404486554
2011-06-07,1134.5468774915098
2011-06-08,1125.6535975671325
2011-06-09,1122.5574953649382
2011-06-10,1113.8958456518278
2011-06-13,1116.5816104451794
2011-06-14,1110.2165346391917
2011-06-15,1084.8868268384101
2011-06-16,1060.28265890142
2011-06-17,1083.1729389973125
2011-06-20,1070.25009874523
2011-06-21,1074.9288119460514
2011-06-22,1069.565068471147
2011-06-23,1044.630342335308
2011-06-24,1053.1132343669813
2011-06-27,1049.7976746820364
2011-06-28,1058.496019527257
2011-06-29,1073.1774347908636
2011-06-30,1086.4940574768218
2011-07-01,1094.3375994544383
2011-07-04,1097.0446657981188
2011-07-05,1090.7028811558582
2011-07-06,1074.2496201706667
2011-07-07,1096.6516791775505
2011-07-08,1081.5087021939148
2011-07-11,1051.580861739694
2011-07-12,1042.326048681537
2011-07-13,1056.9146779908795
2011-07-14,1048.229611346814
2011-07-15,1041.5781739938748
2011-07-18,1021.7060569631502
2011-07-19,1024.7785984459276
2011-07-20,1021.5298497312227
2011-07-21,1015.3305333120088
2011-07-22,1003.6083506258318
2011-07-25,992.6522000251515
2011-07-26,1004.8708193502348
2011-07-27,1002.4122274434314
2011-07-28,1013.4637728205744
2011-07-29,1009.7298064706097
2011-08-01,996.8249966354659
2011-08-02,980.7056672113297
2011-08-03,955.8108470525106
2011-08-04,912.5673300931878
2011-08-05,873.6145997833958
2011-08-08,810.3933126881285
2011-08-09,786.6658017375163
2011-08-10,764.3354075391615
2011-08-11,781.0950892174201
2011-08-12,801.5931031942273
2011-08-15,829.6333775945085
2011-08-16,836.0101489288352
2011-08-17,848.5867215986634
2011-08-18,795.9742373376575
2011-08-19,800.2380196871383
2011-08-22,802.9611767824564
2011-08-23,803.1863809465332
2011-08-24,808.1839424894978
2011-08-25,806.687393240281
2011-08-26,809.365270191713
2011-08-29,834.5778486233885
2011-08-30,834.1478443229491
2011-08-31,845.7296308622224
2011-09-01,835.0327183670984
2011-09-02,820.6502522035627
2011-09-05,792.9987345694748
2011-09-06,794.7573347954184
2011-09-07,808.640042493071
2011-09-08,813.3342461386098
2011-09-09,781.322674485437
2011-09-12,758.4826884891318
2011-09-13,772.2723904442689
2011-09-14,762.4649869165806
2011-09-15,779.1612430870978
2011-09-16,788.4800477171307
2011-09-19,763.3213218493678
2011-09-20,789.744586414212
2011-09-21,783.2694278263925
2011-09-22,735.4906728997089
2011-09-23,728.5583662628542
2011-09-26,728.6866578975926
2011-09-27,749.3948357470372
2011-09-28,742.6478717209463
2011-09-29,749.7039233346986
2011-09-30,736.7838352501509
2011-10-03,726.7580789339639
2011-10-04,707.6097077617445
2011-10-05,724.5147129037883
2011-10-06,735.6656479196898
2011-10-07,743.4909062708385
2011-10-10,764.7121927358223
2011-10-11,764.5917929899069
2011-10-12,786.6798450793585
2011-10-13,775.5845987047318
2011-10-14,787.411212287212
2011-10-17,772.6096057070123
2011-10-18,766.2871064876848
2011-10-19,772.7447563065809
2011-10-20,751.6461643015515
2011-10-21,774.5605149474746
2011-10-24,790.7628690451672
2011-10-25,791.3998473509902
2011-10-26,788.4061215245855
2011-10-27,823.5409967229544
2011-10-28,824.7347243032551
2011-10-31,802.4106703909018
2011-11-01,770.3047061246945
2011-11-02,781.9752998455867
2011-11-03,790.9664183760865
2011-11-04,789.1017461526965
2011-11-07,784.9050780881634
2011-11-08,789.9387638817412
2011-11-09,771.6132315985408
2011-11-10,766.4701561954606
2011-11-11,780.2280671775237
2011-11-14,777.3865889715993
2011-11-15,768.4401623889471
2011-11-16,766.9290690432088
2011-11-17,757.5983903338996
2011-11-18,744.8961657319725
2011-11-21,712.9985888846525
2011-11-22,708.4013244662411
2011-11-23,687.7952328522277
2011-11-24,682.8421010812344
2011-11-25,677.910268586274
2011-11-28,697.4490901277384
2011-11-29,692.012052054806
2011-11-30,718.6348397986123
2011-12-01,714.1138924144554
2011-12-02,720.5356177845246
2011-12-05,727.7065658695772
