Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2007-05-31,1000.0
2007-06-01,1000.4972131367587
2007-06-04,990.2890065631711
2007-06-05,986.542975023469
2007-06-06,972.8182238850956
2007-06-07,970.2022223730327
2007-06-08,958.1024468932835
2007-06-11,972.3595996367758
2007-06-12,969.9896732496031
2007-06-13,966.5517938873783
2007-06-14,976.2927464539927
2007-06-15,993.540086158611
2007-06-18,998.5369102336724
2007-06-19,1019.5092434270579
2007-06-20,1019.6387275547041
2007-06-21,1016.7939210336011
2007-06-22,1026.811370954057
2007-06-25,1035.631466454425
2007-06-26,1045.7332367491708
2007-06-27,1036.014135797646
2007-06-28,1048.6103005438551
2007-06-29,1054.5204493369827
2007-07-02,1058.9449485844011
2007-07-03,1064.005009397311
2007-07-04,1070.0268350493939
2007-07-05,1069.3212466035113
2007-07-06,1069.9503476199156
2007-07-09,1070.132175083422
2007-07-10,1054.1938341239627
2007-07-11,1049.9238300838006
2007-07-12,1050.460184022493
2007-07-13,1059.1222511644255
2007-07-16,1031.2019915751598
2007-07-17,1037.0516680973376
2007-07-18,1035.7449693035314
2007-07-19,1050.7319015084615
2007-07-20,1038.9337185184302
2007-07-23,1034.0322588750028
2007-07-24,1017.9867875861584
2007-07-25,998.4991157767053
2007-07-26,977.6936099356194
2007-07-27,960.0975608484144
2007-07-30,963.3272716407523
2007-07-31,973.1118019698102
2007-08-01,945.822698979321
2007-08-02,960.3990028472459
2007-08-03,956.1510888404794
2007-08-06,947.5932309308646
2007-08-07,952.0325977087601
2007-08-08,960.6989655320731
2007-08-09,935.0524418577365
2007-08-10,911.4873525808874
2007-08-13,928.4769316400536
2007-08-14,907.8205090559056
2007-08-15,896.4312418843037
2007-08-16,825.0991424878018
2007-08-17,850.3774030429195
2007-08-20,839.0414957511562
2007-08-21,821.9440793144787
2007-08-22,857.4585945182037
2007-08-23,869.4144057630286
2007-08-24,888.9860644990287
2007-08-27,904.4437738842959
2007-08-28,898.1639728584416
2007-08-29,901.1841547895164
2007-08-30,888.000288599767
2007-08-31,907.7813381874898
2007-09-03,911.2716416166775
2007-09-04,914.155168217155
2007-09-05,909.6566495680083
2007-09-06,908.0733637547512
2007-09-07,903.2792578645169
2007-09-10,890.9475586132015
2007-09-11,905.888896227433
2007-09-12,910.8783900053847
2007-09-13,923.9374265578433
2007-09-14,924.382670857924
2007-09-17,918.4829724977825
2007-09-18,924.4506629808477
2007-09-19,948.223776266936
2007-09-20,964.3765029229444
2007-09-21,968.4068850840406
2007-09-24,961.9951244698808
2007-09-25,959.4692746849914
2007-09-26,960.4803856421503
2007-09-27,959.0082580290945
2007-09-28,954.2723725697178
2007-10-01,942.0771942701361
2007-10-02,934.309460054593
2007-10-03,938.579926694153
2007-10-04,942.0588156027355
2007-10-05,948.5216215857979
2007-10-08,954.4679532003904
2007-10-09,973.3767612260947
2007-10-10,984.3716522318459
2007-10-11,1005.6517470208979
2007-10-12,1000.1768664240194
