Date,EFM AFRICA SMALL CAP
2010-11-30,1000.0
2010-12-01,1006.7380844958504
2010-12-02,1026.0287744269092
2010-12-03,1037.090643405533
2010-12-06,1041.993960496353
2010-12-07,1044.7102048664783
2010-12-08,1034.2717104180215
2010-12-09,1040.5054409445868
2010-12-10,1043.8460579321616
2010-12-13,1043.797827237767
2010-12-14,1046.3970181744621
2010-12-15,1046.9154979191835
2010-12-16,1043.2052077794447
2010-12-17,1039.5675879248424
2010-12-20,1041.896156942273
2010-12-21,1051.5078906097224
2010-12-22,1059.1924183587894
2010-12-23,1063.1490277440994
2010-12-24,1065.1336439441213
2010-12-27,1064.043527906173
2010-12-28,1071.1670732719713
2010-12-29,1077.290164316517
2010-12-30,1079.4460722480978
2010-12-31,1089.8600521674323
2011-01-03,1090.3295573299956
2011-01-04,1087.4650048162498
2011-01-05,1083.2169918559164
2011-01-06,1076.0616835940823
2011-01-07,1077.4001784191348
2011-01-10,1064.1790538293214
2011-01-11,1059.398494515017
2011-01-12,1068.8986307604437
2011-01-13,1071.439220901204
2011-01-14,1057.943645463796
2011-01-17,1057.5713925811133
2011-01-18,1043.5336551931284
2011-01-19,1033.9904980139597
2011-01-20,1012.4539796161969
2011-01-21,1018.7637616475407
2011-01-24,1022.6334902829622
2011-01-25,1012.8335285211722
2011-01-26,1010.2013075554038
2011-01-27,1010.0631530988145
2011-01-28,989.0385911649904
2011-01-31,980.1381422189106
2011-02-01,982.8270617266702
2011-02-02,984.031955226194
2011-02-03,966.8890981934182
2011-02-04,970.5261664887041
2011-02-07,969.6766603193252
2011-02-08,980.0267914359524
2011-02-09,978.1903599459997
2011-02-10,964.9763821988843
2011-02-11,962.2283225380728
2011-02-14,965.9068935920137
2011-02-15,968.9183107325989
2011-02-16,977.1856019255916
2011-02-17,980.4589857976368
2011-02-18,986.8693144546746
2011-02-21,988.0151416207024
2011-02-22,984.046061212509
2011-02-23,976.9883418884431
2011-02-24,973.4325562585283
2011-02-25,983.3064456970156
2011-02-28,999.8974133670018
2011-03-01,994.6209446062455
2011-03-02,997.3183590807832
2011-03-03,991.4567418367973
2011-03-04,993.8572533281274
2011-03-07,993.7337911527563
2011-03-08,981.9136029491682
2011-03-09,986.1315181263249
2011-03-10,970.5473195953831
2011-03-11,969.2586190635053
