Date,FRONTIER AND EMERGING MARKETS SELECT
2014-01-01,1188.7952367131338
2014-01-02,1204.8846301811443
2014-01-03,1211.2213928962192
2014-01-06,1213.097717081552
2014-01-07,1215.394377361126
2014-01-08,1214.7337111397937
2014-01-09,1223.087768486553
2014-01-10,1214.4936853221393
2014-01-13,1215.8200667664364
2014-01-14,1214.779930944263
2014-01-15,1226.4811611614482
2014-01-16,1231.393694694432
2014-01-17,1235.117189360343
2014-01-20,1234.644706550589
2014-01-21,1246.7286656875124
2014-01-22,1237.488538509714
2014-01-23,1232.7212153905327
2014-01-24,1228.1226790254395
2014-01-27,1217.2203818625464
2014-01-28,1216.241663341406
2014-01-29,1216.1253180181814
2014-01-30,1217.1270816979793
2014-01-31,1218.4005509109923
2014-02-03,1219.3664167022182
2014-02-04,1218.5580662697166
2014-02-05,1215.5992885846035
2014-02-06,1214.1877908763854
2014-02-07,1212.5882081691634
2014-02-10,1222.5500822567237
2014-02-11,1220.2021547091335
2014-02-12,1234.7413105729277
2014-02-13,1227.0265719906206
2014-02-14,1225.604608451148
2014-02-17,1233.410218731743
2014-02-18,1226.3536188618395
2014-02-19,1230.942591225497
2014-02-20,1231.2422370233835
2014-02-21,1226.7911440234707
2014-02-24,1231.4512849570317
2014-02-25,1234.971343133179
2014-02-26,1238.6959991217407
2014-02-27,1235.5371887757426
2014-02-28,1232.03423848817
2014-03-03,1222.6046414156062
2014-03-04,1223.1698768845724
2014-03-05,1219.4876098919024
2014-03-06,1222.9415980660106
2014-03-07,1220.4373650734644
2014-03-10,1221.200209968145
2014-03-11,1221.1609302461418
2014-03-12,1206.6429009966416
2014-03-13,1204.256238907134
2014-03-14,1200.942553280952
2014-03-17,1213.8634424445097
2014-03-18,1222.90665708978
2014-03-19,1228.825574890586
2014-03-20,1249.8254221094412
2014-03-21,1252.676607365919
2014-03-24,1246.2359329566527
2014-03-25,1254.8196981437409
2014-03-26,1260.490528326336
2014-03-27,1277.8925558596848
2014-03-28,1277.5333240147618
2014-03-31,1279.279804579789
2014-04-01,1296.11952024337
2014-04-02,1306.6356393465223
2014-04-03,1314.081419033016
2014-04-04,1316.492970917333
2014-04-07,1326.1992662435468
2014-04-08,1323.238526053941
2014-04-09,1332.1270650512995
2014-04-10,1334.735990963622
2014-04-11,1334.008624249775
2014-04-14,1326.5968942451289
2014-04-15,1331.6114542957919
2014-04-16,1340.8885640594258
2014-04-17,1341.4527583135286
2014-04-18,1339.7350969706185
2014-04-21,1350.7347796390334
2014-04-22,1359.5563441462514
2014-04-23,1363.5226504898878
2014-04-24,1364.2926021428918
2014-04-25,1358.6001774046367
2014-04-28,1347.682303886381
2014-04-29,1344.7597277785046
2014-04-30,1343.837509061583
2014-05-01,1347.4492675720985
2014-05-02,1350.9411630212232
2014-05-05,1363.2848681480941
2014-05-06,1353.7151115236777
2014-05-07,1358.4446501864554
2014-05-08,1364.443350383689
2014-05-09,1374.529553221592
2014-05-12,1371.2106760223946
2014-05-13,1388.7226914211892
2014-05-14,1396.5262246796283
2014-05-15,1383.8142754131272
2014-05-16,1384.770865031102
2014-05-19,1365.7507030838071
2014-05-20,1352.0427757032423
2014-05-21,1360.0524082349295
2014-05-22,1374.469907294598
2014-05-23,1378.976845918491
2014-05-26,1397.8418584086003
2014-05-27,1414.6628875004874
2014-05-28,1408.725022089626
2014-05-29,1446.9436364635196
2014-05-30,1451.985154576643
2014-06-02,1446.7548261218776
2014-06-03,1437.059184374441
2014-06-04,1432.6034362591563
2014-06-05,1438.3591703900684
2014-06-06,1437.3239630728053
2014-06-09,1427.8613273729104
2014-06-10,1432.8692756096768
2014-06-11,1426.578530635612
2014-06-12,1425.7353132366925
2014-06-13,1430.261747016249
2014-06-16,1393.5600926396078
2014-06-17,1380.1865585343871
2014-06-18,1384.2478057862008
2014-06-19,1373.6600982166776
2014-06-20,1384.461841836265
2014-06-23,1381.4875493277282
2014-06-24,1370.653445228315
2014-06-25,1375.4598896784748
2014-06-26,1367.2810505124191
2014-06-27,1364.1438577641916
2014-06-30,1348.6527642297149
2014-07-01,1368.8965188499621
2014-07-02,1394.8478082350434
2014-07-03,1393.2731645588
2014-07-04,1395.078516541906
2014-07-07,1397.2293596504037
2014-07-08,1401.6802031407149
2014-07-09,1409.835379081815
2014-07-10,1425.67593829684
2014-07-11,1425.5341652988473
2014-07-14,1429.562649534393
2014-07-15,1431.8131510840292
2014-07-16,1445.22764833287
2014-07-17,1442.6297467215559
2014-07-18,1449.1957503403005
2014-07-21,1436.221960814564
2014-07-22,1444.4436387466828
2014-07-23,1438.345797795945
2014-07-24,1438.8319407423146
2014-07-25,1439.4368761896096
2014-07-28,1433.904273455652
2014-07-29,1440.446597028767
2014-07-30,1454.8578731851694
2014-07-31,1448.9756259409044
2014-08-01,1441.3701060714627
