Date,FM ASIA INDEX IMI
2010-11-30,1000.0
2010-12-01,1006.5169469209671
2010-12-02,1012.0288688422926
2010-12-03,1001.2708113381918
2010-12-06,1005.0655784711724
2010-12-07,986.2044867569123
2010-12-08,987.6444852373153
2010-12-09,996.1642479713458
2010-12-10,998.1873911797848
2010-12-13,974.3881388083838
2010-12-14,979.4429061355961
2010-12-15,978.1266368159328
2010-12-16,983.106148298906
2010-12-17,990.530898018478
2010-12-20,976.2002608637687
2010-12-21,989.5407348115939
2010-12-22,993.6736786064076
2010-12-23,991.7404185735203
2010-12-24,988.1023678541112
2010-12-27,996.3595902528575
2010-12-28,1001.1975531581862
2010-12-29,1004.8049685058636
2010-12-30,1001.7770512446136
2010-12-31,993.8254479839885
2011-01-03,983.878642240634
2011-01-04,975.1725118310217
2011-01-05,986.9993487334491
2011-01-06,984.4223332893263
2011-01-07,989.9251864242277
2011-01-10,912.9099383882981
2011-01-11,977.9693726109806
2011-01-12,980.7928118344128
2011-01-13,960.530730688328
2011-01-14,961.6330384081054
2011-01-17,957.3096698169715
2011-01-18,935.0106699986495
2011-01-19,919.7962471478089
2011-01-20,876.2655928064701
2011-01-21,867.4792907542918
2011-01-24,857.6137551868228
2011-01-25,886.9578852529835
2011-01-26,916.7323805309429
2011-01-27,920.8334741354319
2011-01-28,931.1538526766494
2011-01-31,926.3160007539224
2011-02-01,909.1385017053126
2011-02-02,912.3533902155473
2011-02-03,916.4685040216729
2011-02-04,922.6319435236666
2011-02-07,880.9511853250335
2011-02-08,904.5207485921408
2011-02-09,892.1585138421706
2011-02-10,889.3551825985685
2011-02-11,878.7091120871933
2011-02-14,823.9188328964882
2011-02-15,846.0374067003543
2011-02-16,843.5151821109913
2011-02-17,837.0135586440755
2011-02-18,831.0218784370401
2011-02-21,834.2262548414884
2011-02-22,822.5412781857755
2011-02-23,808.8825910776164
2011-02-24,792.1087527811145
2011-02-25,791.9863346088933
2011-02-28,750.0106586995738
2011-03-01,781.6256312271977
2011-03-02,757.12621777417
2011-03-03,761.4441381356049
2011-03-04,766.0952214686571
2011-03-07,785.3885974915537
2011-03-08,807.8511408972751
2011-03-09,821.6232810656247
2011-03-10,852.6423821267316
2011-03-11,852.8561055095729
2011-03-14,823.373666003697
2011-03-15,803.0548638598102
2011-03-16,804.6137258652655
2011-03-17,803.1183992233199
2011-03-18,792.8422590448956
2011-03-21,793.7389247624121
2011-03-22,786.0178334742454
2011-03-23,783.2989734823841
2011-03-24,770.3270845651007
2011-03-25,773.8785000108222
2011-03-28,776.7608117548398
2011-03-29,779.4582473764037
2011-03-30,779.8306855670164
2011-03-31,781.0629718048175
2011-04-01,787.2321550803501
2011-04-04,789.8902915772097
2011-04-05,788.1277864032297
2011-04-06,782.0185583406004
2011-04-07,787.9425201682211
2011-04-08,782.2840923716562
2011-04-11,765.222971737418
2011-04-12,770.3449413582808
2011-04-13,766.3216382061258
2011-04-14,766.4200965296255
2011-04-15,769.318558458296
2011-04-18,775.750521977659
2011-04-19,762.4672613518569
2011-04-20,750.6822008036459
2011-04-21,751.1584598288249
2011-04-22,749.8811694910786
2011-04-25,734.5988455616335
2011-04-26,727.970175056582
2011-04-27,742.8506712433997
2011-04-28,732.930568226556
2011-04-29,734.1996417287886
2011-05-02,730.9774897767469
2011-05-03,725.0580321318437
2011-05-04,723.0475847148962
2011-05-05,736.2113717423216
2011-05-06,740.2266939214502
2011-05-09,742.8105386905511
2011-05-10,732.8661357254724
2011-05-11,733.4115576530601
2011-05-12,743.6094526540029
2011-05-13,741.9364015881199
2011-05-16,745.2717646045683
2011-05-17,745.5534833742703
2011-05-18,735.0505194227936
2011-05-19,730.0366129359109
2011-05-20,732.5947980100572
2011-05-23,717.4051881537197
2011-05-24,713.1342077944399
2011-05-25,701.8634360120724
2011-05-26,709.1790348620026
2011-05-27,705.4890611228681
2011-05-30,713.7803662978771
2011-05-31,719.7860152370652
2011-06-01,719.6005882880967
2011-06-02,726.7841350890923
2011-06-03,719.5124387727805
2011-06-06,720.357227436334
2011-06-07,729.0547932028278
2011-06-08,733.3560824688568
2011-06-09,743.3701920776892
2011-06-10,751.7942505386452
2011-06-13,744.7810499594631
2011-06-14,734.9735612265263
2011-06-15,744.2134572853539
2011-06-16,750.8757432292421
2011-06-17,738.9930863831058
2011-06-20,727.0284215716047
2011-06-21,733.5377225793735
2011-06-22,733.1699179581539
2011-06-23,749.4774832010996
2011-06-24,746.3300097434234
2011-06-27,745.176644182487
2011-06-28,737.3141824380419
2011-06-29,739.3158387719399
2011-06-30,736.1183524033072
2011-07-01,734.9747182202706
2011-07-04,735.5110692862478
2011-07-05,747.2738700702496
2011-07-06,759.5089615015924
2011-07-07,758.7239006473641
2011-07-08,763.0325363817083
2011-07-11,778.9979553425117
2011-07-12,779.9938716351429
2011-07-13,772.5854036016469
2011-07-14,773.6809849158589
2011-07-15,778.0012201167169
2011-07-18,778.1400554510592
2011-07-19,772.8060091697015
2011-07-20,776.3006034716509
2011-07-21,766.8915460246778
2011-07-22,765.7151335985021
