Date,FM CENTRAL & EASTERN EUROPE + CIS IMI
2010-11-30,1000.0
2010-12-01,1004.2398151171063
2010-12-02,1003.4892927226239
2010-12-03,1002.8078602270878
2010-12-06,1001.2698313370898
2010-12-07,1000.4617421034641
2010-12-08,1006.5066353352807
2010-12-09,1011.9145808985069
2010-12-10,1010.8482842840687
2010-12-13,1010.240463464449
2010-12-14,1029.3436539278396
2010-12-15,1034.9082626320796
2010-12-16,1031.325933313373
2010-12-17,1032.088596653668
2010-12-20,1042.6167927011218
2010-12-21,1040.0912221825538
2010-12-22,1043.2362518092202
2010-12-23,1044.9757018140456
2010-12-24,1053.7432238081058
2010-12-27,1051.016052291186
2010-12-28,1052.2710698302083
2010-12-29,1049.9684311657072
2010-12-30,1048.956488743898
2010-12-31,1048.2129773708548
2011-01-03,1055.3089448015307
2011-01-04,1062.2720767420906
2011-01-05,1067.3425217251033
2011-01-06,1076.335509526355
2011-01-07,1080.167925732474
2011-01-10,1079.7646313392488
2011-01-11,1085.5045975492012
2011-01-12,1091.6947666226447
2011-01-13,1106.067948416241
2011-01-14,1104.3759648426867
2011-01-17,1126.470291304893
2011-01-18,1128.3762408371886
2011-01-19,1128.4478482829775
2011-01-20,1117.6560228452215
2011-01-21,1113.8974383998527
2011-01-24,1108.3050521264986
2011-01-25,1109.2109951671766
2011-01-26,1109.4215039695302
2011-01-27,1112.7318564048355
2011-01-28,1118.7028624526554
2011-01-31,1101.5599447951913
2011-02-01,1104.3877315414697
2011-02-02,1113.62973158491
2011-02-03,1121.5892874675753
2011-02-04,1131.923195398445
2011-02-07,1137.9570512785629
2011-02-08,1139.3500114131734
2011-02-09,1138.1592571176802
2011-02-10,1133.191592158783
2011-02-11,1134.0748944444142
2011-02-14,1133.4306684877852
2011-02-15,1125.9297010552366
2011-02-16,1120.5024912641932
2011-02-17,1121.7812097129881
2011-02-18,1119.0605565933095
2011-02-21,1116.875304270466
2011-02-22,1112.4880043756987
2011-02-23,1111.5308657642606
2011-02-24,1109.6937788887335
2011-02-25,1110.5403320550538
2011-02-28,1115.0338853534229
2011-03-01,1113.8440595290604
2011-03-02,1108.2750678672935
2011-03-03,1108.074908204147
2011-03-04,1112.9330837104837
2011-03-07,1119.0861215407015
2011-03-08,1122.605552746292
2011-03-09,1119.3815716556765
2011-03-10,1120.630430252538
2011-03-11,1109.8701011265323
2011-03-14,1100.9051779823394
2011-03-15,1073.8452675063693
2011-03-16,1080.525708503544
2011-03-17,1092.3215945872867
2011-03-18,1094.2540126090375
2011-03-21,1099.3928351042834
2011-03-22,1108.8893741309957
2011-03-23,1114.8981053317962
2011-03-24,1117.3340933773327
2011-03-25,1128.693694628389
2011-03-28,1122.2328275219277
2011-03-29,1106.1453299490488
2011-03-30,1108.4694357081141
2011-03-31,1109.5584014387114
