Date,SELECT WAEMU COUNTRIES IMI
2016-10-06,1357.5616113783442
2016-10-07,1355.9340508122943
2016-10-10,1338.9147414617398
2016-10-11,1332.7908548312087
2016-10-12,1315.5511596085937
2016-10-13,1314.1324325231847
2016-10-14,1320.852542393755
2016-10-17,1312.5224488030046
2016-10-18,1285.8640589848012
2016-10-19,1311.949658107511
2016-10-20,1305.3282540726175
2016-10-21,1315.9068099983397
2016-10-24,1320.8954274776627
2016-10-25,1324.4609540499862
2016-10-26,1323.5156589760434
2016-10-27,1324.8107447923271
2016-10-28,1345.4294441708178
2016-10-31,1347.124395309494
2016-11-01,1347.1243387563393
2016-11-02,1345.8487822711738
2016-11-03,1351.9570467875437
2016-11-04,1349.9379877636225
2016-11-07,1355.087906820474
2016-11-08,1408.257483925388
2016-11-09,1392.3939701288105
2016-11-10,1393.3117911600007
2016-11-11,1410.9583462301084
2016-11-14,1382.1077122749505
2016-11-15,1382.1077013395716
2016-11-16,1403.5038603379671
2016-11-17,1399.447583007892
2016-11-18,1397.288620304587
2016-11-21,1397.9845220197042
2016-11-22,1400.3181406327378
2016-11-23,1408.1944306492362
2016-11-24,1386.9519178377102
2016-11-25,1388.0985650411603
2016-11-28,1380.4891697421397
2016-11-29,1388.564885808631
2016-11-30,1394.2955965895792
2016-12-01,1380.5003682372646
2016-12-02,1392.6493995184053
2016-12-05,1390.7624550577561
2016-12-06,1402.2124596458434
2016-12-07,1416.5292075668192
2016-12-08,1380.4626298939468
2016-12-09,1385.3542211713107
2016-12-12,1385.3542025702338
2016-12-13,1402.8611207926651
2016-12-14,1421.6467949550863
2016-12-15,1408.1139443385687
2016-12-16,1384.2752563100923
2016-12-19,1360.3243248881392
2016-12-20,1358.3719541570806
2016-12-21,1433.6762831014605
2016-12-22,1386.3343667045285
2016-12-23,1394.3478187459455
2016-12-26,1394.3478187459455
2016-12-27,1417.6523557609466
2016-12-28,1429.938796581492
2016-12-29,1423.1278356451842
2016-12-30,1453.0521461248613
2017-01-02,1416.3834076402215
2017-01-03,1403.8423760401975
2017-01-04,1398.9994076196904
2017-01-05,1401.4844830205495
2017-01-06,1390.1814969506615
2017-01-09,1393.0400733942317
2017-01-10,1384.977360879138
2017-01-11,1403.0214971721343
2017-01-12,1398.2830950987507
2017-01-13,1384.1519780203134
2017-01-16,1387.7599579517566
2017-01-17,1395.188418589246
2017-01-18,1386.5436350385355
2017-01-19,1395.446028329942
2017-01-20,1401.7502545652928
2017-01-23,1386.0256800562768
