Date,FM EMEA IMI
2010-11-30,1000.0
2010-12-01,993.5484185769004
2010-12-02,985.862305268374
2010-12-03,972.6899991352261
2010-12-06,992.7801737023256
2010-12-07,989.6543411371445
2010-12-08,1004.8040671583819
2010-12-09,1002.4036921987926
2010-12-10,998.3554384596813
2010-12-13,989.4930176996446
2010-12-14,993.9913640259492
2010-12-15,1004.5325047426262
2010-12-16,1012.5490196260465
2010-12-17,1014.3631454789383
2010-12-20,1015.6092505238263
2010-12-21,1013.5594378833906
2010-12-22,1020.8713547119717
2010-12-23,1027.1047380465336
2010-12-24,1023.826700503395
2010-12-27,1029.2806073654094
2010-12-28,1028.0785604945038
2010-12-29,1025.9876800296436
2010-12-30,1018.5611576951536
2010-12-31,1011.2861146573083
2011-01-03,1023.3132336512233
2011-01-04,1032.4114033759784
2011-01-05,1050.7902165343842
2011-01-06,1063.476563462684
2011-01-07,1065.245314571868
2011-01-10,1064.1231517628005
2011-01-11,1068.135697001363
2011-01-12,1059.9887467663468
2011-01-13,1043.3771716987046
2011-01-14,1043.9455612387128
2011-01-17,1045.8920440222423
2011-01-18,1043.1617164559977
2011-01-19,1037.942740369602
2011-01-20,1037.9473953492509
2011-01-21,1027.4162110499797
2011-01-24,1031.9237384294383
2011-01-25,1028.0350847216562
2011-01-26,1026.7103730212068
2011-01-27,1019.454718844768
2011-01-28,1025.6824107904292
2011-01-31,996.5141962639425
2011-02-01,984.7497200809739
2011-02-02,994.494515332493
2011-02-03,1005.0666549590612
2011-02-04,1010.3200123939216
2011-02-07,1014.2117303625005
2011-02-08,1007.7089510254574
2011-02-09,1003.8657647926507
2011-02-10,1010.3788094126753
2011-02-11,1013.6923301325126
2011-02-14,1010.8290171666697
2011-02-15,1005.3571303197305
2011-02-16,992.9055570886087
2011-02-17,988.1319619938768
2011-02-18,983.8949286281679
2011-02-21,957.8418961683275
2011-02-22,953.377815160457
2011-02-23,953.5882093779657
2011-02-24,950.3881433426492
2011-02-25,952.1083657285252
2011-02-28,935.5784710693285
2011-03-01,925.4611896336844
2011-03-02,894.2629018575547
2011-03-03,894.9614308392731
2011-03-04,891.5353836556004
2011-03-07,888.9696952162819
2011-03-08,905.6621742183258
2011-03-09,916.5718413241284
2011-03-10,931.9304081034966
2011-03-11,929.3522229710838
2011-03-14,929.9065355787446
2011-03-15,913.7290902776989
2011-03-16,903.6804538448039
2011-03-17,905.9386810052306
2011-03-18,900.171929257764
2011-03-21,905.1478573976952
2011-03-22,913.980552147871
2011-03-23,920.4946921940946
2011-03-24,916.0086138910442
2011-03-25,919.7905169392469
