Date,FM ex GCC IMI
2010-11-30,1000.0
2010-12-01,1004.9586468031059
2010-12-02,1006.7495608553629
2010-12-03,994.2016411863415
2010-12-06,999.1675841828758
2010-12-07,987.5051377089593
2010-12-08,993.4335211227003
2010-12-09,998.8324345865725
2010-12-10,997.6619106030448
2010-12-13,982.1047105574631
2010-12-14,986.9787662019738
2010-12-15,987.9264668669514
2010-12-16,993.0322760814494
2010-12-17,996.0430646181304
2010-12-20,994.6246719792122
2010-12-21,999.5509779597529
2010-12-22,1007.0704362410768
2010-12-23,1008.602576374129
2010-12-24,1005.6941536375097
2010-12-27,1005.7649314293482
2010-12-28,1007.5141121760448
2010-12-29,1009.6623039480247
2010-12-30,1006.6687499087308
2010-12-31,1002.3391273859075
2011-01-03,1005.7341754412373
2011-01-04,1008.6240850811727
2011-01-05,1026.4162322561465
2011-01-06,1039.051230686524
2011-01-07,1039.7532457753562
2011-01-10,1009.6423411323212
2011-01-11,1035.4486937695256
2011-01-12,1033.7055262094889
2011-01-13,1019.5215378059047
2011-01-14,1021.9782522545111
2011-01-17,1025.3012627644707
2011-01-18,1014.8413897598186
2011-01-19,1010.1938886726371
2011-01-20,996.9295381963188
2011-01-21,987.7302196008313
2011-01-24,980.0885802503727
2011-01-25,988.5197312987403
2011-01-26,1001.8271553499507
2011-01-27,998.9226846891061
2011-01-28,1002.4164100821606
2011-01-31,987.1764617777073
2011-02-01,977.5677692103733
2011-02-02,981.926310124088
2011-02-03,989.2108797980795
2011-02-04,994.9330079107626
2011-02-07,979.3740433077811
2011-02-08,985.3423866328775
2011-02-09,979.2566564353791
2011-02-10,976.4634473579647
2011-02-11,975.3787871088372
2011-02-14,957.8714424128153
2011-02-15,961.4129196479369
2011-02-16,957.9340835862395
2011-02-17,954.3079272869005
2011-02-18,949.2863658642013
2011-02-21,945.4612863997522
2011-02-22,938.8307832924748
2011-02-23,929.0686636321655
2011-02-24,916.6829605608447
2011-02-25,918.64347669547
2011-02-28,899.5314520411767
2011-03-01,908.6707845972096
2011-03-02,892.6805418961462
2011-03-03,892.8116541474091
2011-03-04,892.9443156936467
2011-03-07,899.6419844533634
2011-03-08,911.5609478007578
2011-03-09,914.7065568002521
2011-03-10,927.3928039760262
2011-03-11,925.6100567128725
2011-03-14,906.1776635445203
2011-03-15,888.4688165308304
2011-03-16,887.9204968993766
2011-03-17,886.3389573626886
2011-03-18,880.4518359660445
2011-03-21,883.049003169497
2011-03-22,887.4245853972308
2011-03-23,890.9550062365861
2011-03-24,882.9714593902806
2011-03-25,886.2368647396007
2011-03-28,885.5550676592279
2011-03-29,886.2676521201772
2011-03-30,886.9999565723997
2011-03-31,885.023257638019
2011-04-01,893.8184030490331
2011-04-04,893.6657431807821
2011-04-05,896.486906923033
2011-04-06,890.5179510347988
2011-04-07,894.827717603955
2011-04-08,890.254364291109
2011-04-11,879.764581622909
2011-04-12,876.0268591622792
2011-04-13,876.9357074775347
2011-04-14,876.2846335825102
2011-04-15,878.6159917763828
2011-04-18,884.512649168241
2011-04-19,876.1130082918694
2011-04-20,868.235719313902
2011-04-21,865.8300189608972
2011-04-22,866.4900013470713
2011-04-25,861.5368093192287
2011-04-26,856.8205749369506
2011-04-27,862.2363121426134
2011-04-28,853.2707660725822
2011-04-29,854.0795631637831
2011-05-02,850.4852198894615
2011-05-03,848.9231372650835
2011-05-04,846.7318337680117
2011-05-05,859.208008262149
2011-05-06,863.9721361108672
2011-05-09,874.0738954740458
2011-05-10,873.3760794151871
2011-05-11,871.9114961780168
2011-05-12,877.2798944733961
2011-05-13,877.6082894358952
2011-05-16,875.447479881964
2011-05-17,877.262362579725
2011-05-18,870.8402997854442
2011-05-19,869.8135269295707
2011-05-20,872.7981076276109
2011-05-23,864.9533708199303
2011-05-24,861.2505896100657
