Date,RUSSIA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.7286105056427
1999-01-05,1029.437865808382
1999-01-06,1093.5126987763415
1999-01-07,1096.7935303659208
1999-01-08,1110.3959125558233
1999-01-11,1102.6832302792607
1999-01-12,1066.6431185966605
1999-01-13,920.8127368894444
1999-01-14,963.0427670271376
1999-01-15,946.1851176995968
1999-01-18,957.7504014894171
1999-01-19,973.5490003773003
1999-01-20,991.0141289824686
1999-01-21,989.2793554584231
1999-01-22,952.6110513440851
1999-01-25,918.034909533048
1999-01-26,956.2803906861506
1999-01-27,958.8383464535774
1999-01-28,961.9641500142826
1999-01-29,964.1306681154359
1999-02-01,973.117151176972
1999-02-02,974.9871293569374
1999-02-03,987.415074726673
1999-02-04,1013.0343684199014
1999-02-05,1002.9146754178396
1999-02-08,1030.7244533897394
1999-02-09,1061.0702299860727
1999-02-10,1180.2816226530888
1999-02-11,1286.4311360663767
1999-02-12,1229.2187046525141
1999-02-15,1218.2550169841943
1999-02-16,1284.924261929009
1999-02-17,1294.9330269214063
1999-02-18,1315.1754551481667
1999-02-19,1426.6095031871298
1999-02-22,1593.013682102509
1999-02-23,1533.282927127654
1999-02-24,1592.5178054473192
1999-02-25,1404.6024872073858
1999-02-26,1422.7231463599412
1999-03-01,1531.1081181521686
1999-03-02,1604.366791699776
1999-03-03,1531.5888647527229
1999-03-04,1467.766199873464
1999-03-05,1524.2800075057976
1999-03-08,1520.1981349102273
1999-03-09,1545.6148309362145
1999-03-10,1620.7892309246115
1999-03-11,1743.2011842088787
1999-03-12,1751.714982740588
1999-03-15,1755.2494092495458
1999-03-16,1844.8716575543287
1999-03-17,1897.2844228474396
1999-03-18,1865.9821159209969
1999-03-19,1920.1628980341493
1999-03-22,1814.2602821113703
1999-03-23,1789.172630390157
1999-03-24,1647.289845287095
1999-03-25,1740.3849896833729
1999-03-26,1730.0146456013638
1999-03-29,1766.6164806244758
1999-03-30,1787.0039484093077
1999-03-31,1752.5716061855244
1999-04-01,1706.740357439022
1999-04-02,1733.698789231276
1999-04-05,1744.2861871446305
1999-04-06,1627.6489536558859
1999-04-07,1573.9546854222865
1999-04-08,1505.0825098695782
1999-04-09,1415.6212494985225
1999-04-12,1475.8846414128775
1999-04-13,1482.5020266278766
1999-04-14,1601.0300874564807
1999-04-15,1620.906498377888
1999-04-16,1718.4353394662444
1999-04-19,1765.3640298480009
1999-04-20,1658.9559089250793
1999-04-21,1659.693868328531
1999-04-22,1755.0393893489552
1999-04-23,1805.9228196725649
1999-04-26,1843.9143457466953
1999-04-27,1823.1991729442714
1999-04-28,1773.853197283748
1999-04-29,1878.1433807770204
1999-04-30,2010.7804089315323
1999-05-03,2013.0637649672242
1999-05-04,2018.7224859115336
1999-05-05,2268.2202266961167
1999-05-06,2312.641169723546
1999-05-07,2179.110220675961
1999-05-10,2171.1356801202683
1999-05-11,2096.179043709549
1999-05-12,1699.266040630547
1999-05-13,1821.7797041333404
1999-05-14,1774.4969040967296
1999-05-17,2050.2487031323412
1999-05-18,2238.5679204242447
1999-05-19,2137.8103964170664
1999-05-20,2114.6567997697716
1999-05-21,2194.1288438861325
1999-05-24,2277.6928043718317
1999-05-25,2204.9033453441775
1999-05-26,2252.8465644004555
1999-05-27,2265.8179540003084
1999-05-28,2229.8786459748208
1999-05-31,2201.941334268285
1999-06-01,2185.433891140643
1999-06-02,2164.842526283355
1999-06-03,2283.1574296443837
1999-06-04,2315.1492886994542
1999-06-07,2385.268977264907
1999-06-08,2439.3095426082145
1999-06-09,2488.133380447024
1999-06-10,2528.190433100421
1999-06-11,2664.0327583941285
1999-06-14,2680.3211749846864
1999-06-15,2631.185134345553
1999-06-16,2788.3302534978848
1999-06-17,2787.6340708620623
1999-06-18,2876.622227453745
1999-06-21,3091.3030742164565
1999-06-22,3012.6689537202415
1999-06-23,2954.733320194267
1999-06-24,2973.3549227639883
1999-06-25,2899.2415280924984
1999-06-28,2928.3779812390853
1999-06-29,2982.7638080360284
1999-06-30,3023.5762575079384
1999-07-01,3194.9379976858672
1999-07-02,3266.4485580669575
1999-07-05,3412.2580421073803
1999-07-06,3601.30293986586
1999-07-07,3556.240182804604
1999-07-08,3610.8025738331676
1999-07-09,3567.3577253672033
1999-07-12,3547.0034753992354
1999-07-13,3379.474148918835
1999-07-14,3538.500855723264
1999-07-15,3479.366811502479
1999-07-16,3446.05885591451
1999-07-19,3358.464346943966
1999-07-20,3194.4597821846583
1999-07-21,3089.952520997235
1999-07-22,3160.128373621385
1999-07-23,3086.4776879378255
1999-07-26,3050.9814526366213
1999-07-27,2977.5926711106617
1999-07-28,2983.7894009923425
1999-07-29,2713.1188834542204
1999-07-30,2808.037292683833
1999-08-02,2793.196865844717
1999-08-03,2771.8107732212516
1999-08-04,2542.5961456564523
