Date,FRONTIER MARKETS 100
2007-11-30,1672.3730902455295
2007-12-03,1678.3593152845108
2007-12-04,1681.513894613651
2007-12-05,1703.131354633439
2007-12-06,1725.5244484969228
2007-12-07,1725.7988588540966
2007-12-10,1731.0649699925923
2007-12-11,1732.7073667184134
2007-12-12,1725.9933761480402
2007-12-13,1738.5311773813737
2007-12-14,1756.1032972526066
2007-12-17,1767.886006223892
2007-12-18,1768.492766571464
2007-12-19,1773.2561716600173
2007-12-20,1777.4855874033258
2007-12-21,1778.2254707263687
2007-12-24,1799.3729521182354
2007-12-25,1803.8984619644186
2007-12-26,1789.2286278423378
2007-12-27,1787.329625008065
2007-12-28,1776.7813837868343
2007-12-31,1781.1060231429499
2008-01-01,1781.57013345679
2008-01-02,1786.357023161489
2008-01-03,1801.4984941858722
2008-01-04,1797.1818074689838
2008-01-07,1838.853536934534
2008-01-08,1846.6738965939044
2008-01-09,1851.3916084095854
2008-01-10,1844.6132474741955
2008-01-11,1840.045328157996
2008-01-14,1856.2599887266897
2008-01-15,1881.079535270206
2008-01-16,1887.859776712262
2008-01-17,1872.9074671949147
2008-01-18,1872.874797347602
2008-01-21,1806.2803857582362
2008-01-22,1712.8381835067912
2008-01-23,1776.4589884200534
2008-01-24,1754.371053897842
2008-01-25,1762.6435453834329
2008-01-28,1741.1616693321282
2008-01-29,1744.1521666202812
2008-01-30,1750.1666913697206
2008-01-31,1747.6437998265571
2008-02-01,1746.44364696448
2008-02-04,1801.7886625539472
2008-02-05,1821.7605920943834
2008-02-06,1798.6558763321511
2008-02-07,1821.4188148021517
2008-02-08,1819.6809208886284
2008-02-11,1786.4156930030008
2008-02-12,1773.985812868725
2008-02-13,1779.088165344125
2008-02-14,1782.4680625255257
2008-02-15,1774.93063041604
2008-02-18,1777.3875804143747
2008-02-19,1773.697070104141
2008-02-20,1803.3486220299033
2008-02-21,1797.237653920963
2008-02-22,1792.5598331988256
2008-02-25,1795.5439215801898
2008-02-26,1794.9744877113394
2008-02-27,1782.096447685321
2008-02-28,1781.2055274378563
2008-02-29,1779.4151565769714
2008-03-03,1759.050055104661
2008-03-04,1767.8479135431426
2008-03-05,1764.8464760276718
2008-03-06,1766.915174113047
2008-03-07,1764.6130361966073
2008-03-10,1751.4511971822444
2008-03-11,1764.3065808804768
2008-03-12,1750.2320959846722
2008-03-13,1740.6876524629208
2008-03-14,1740.8535524516676
2008-03-17,1688.8598998214661
2008-03-18,1682.9146155337198
2008-03-19,1711.6455586671573
2008-03-20,1719.4944683021763
2008-03-21,1716.9152749398372
2008-03-24,1691.6632219371854
2008-03-25,1659.4769718509733
2008-03-26,1632.7434592137124
2008-03-27,1632.2814230036079
2008-03-28,1639.7163871048326
2008-03-31,1603.614679583699
2008-04-01,1634.1141051192012
2008-04-02,1648.2742350951958
2008-04-03,1662.8025450064922
2008-04-04,1651.442599593775
2008-04-07,1655.1091012238985
2008-04-08,1662.2839299460773
2008-04-09,1661.1316086676807
2008-04-10,1674.3788377990377
2008-04-11,1670.580597899621
2008-04-14,1658.291101566708
2008-04-15,1665.3256556968079
2008-04-16,1666.0202016491962
2008-04-17,1685.0846280342694
2008-04-18,1703.4049166457428
2008-04-21,1695.7106600383834
2008-04-22,1690.0645713376416
2008-04-23,1697.4962835553774
2008-04-24,1704.3463843047039
2008-04-25,1709.1904456673906
2008-04-28,1698.4774070624906
2008-04-29,1714.8610326712264
2008-04-30,1712.045294448584
2008-05-01,1731.1916887593609
2008-05-02,1735.8978728665006
2008-05-05,1742.1336048635146
2008-05-06,1748.1187994889262
2008-05-07,1762.4979035951098
2008-05-08,1757.0334644996922
2008-05-09,1755.8370389103518
2008-05-12,1743.1242031590493
2008-05-13,1735.1881541257671
2008-05-14,1737.9462002770179
2008-05-15,1736.004828126054
2008-05-16,1733.3157124473062
2008-05-19,1741.2366953470948
2008-05-20,1731.4442145347082
2008-05-21,1715.7814325949582
2008-05-22,1721.1011337823488
2008-05-23,1712.800348342931
2008-05-26,1704.3466388011539
2008-05-27,1699.664294690659
2008-05-28,1701.7342885471128
2008-05-29,1718.1545983333335
2008-05-30,1721.8870345820276
2008-06-02,1761.1458118744251
2008-06-03,1771.5093868886197
2008-06-04,1767.8543982349424
2008-06-05,1759.7566561339427
2008-06-06,1740.172046474499
2008-06-09,1732.4451681226994
2008-06-10,1749.34995569908
2008-06-11,1754.3797231728893
2008-06-12,1757.556512990921
2008-06-13,1764.933861789618
2008-06-16,1750.5672935443051
