Date,FM GCC COUNTRIES DOMESTIC
2014-05-30,1000.0
2014-06-02,999.7293749509394
2014-06-03,1003.9679670923042
2014-06-04,1003.2020764676195
2014-06-05,1002.258321635995
2014-06-06,1000.6384970580038
2014-06-09,993.9334570571135
2014-06-10,1000.1643760571563
2014-06-11,999.8586549431125
2014-06-12,995.3525032153992
2014-06-13,996.615316464088
2014-06-16,982.5917260972881
2014-06-17,976.4719375744548
2014-06-18,969.2070875074512
2014-06-19,964.6914141616406
2014-06-20,967.7395821603784
2014-06-23,962.4500862839473
2014-06-24,958.3299129385922
2014-06-25,969.7539473995072
2014-06-26,960.0183586159786
2014-06-27,956.9744135671824
2014-06-30,953.5912992192826
2014-07-01,957.9172613077353
2014-07-02,977.0077502397066
2014-07-03,973.1048712335182
2014-07-04,974.6086759502671
2014-07-07,964.5478066149394
2014-07-08,972.3027682219838
2014-07-09,972.3098529512705
2014-07-10,983.7846538435474
2014-07-11,983.7895299130355
2014-07-14,989.4425013216966
2014-07-15,986.0438632126635
2014-07-16,992.0882758074308
2014-07-17,985.4897681647599
2014-07-18,986.10982538593
2014-07-21,990.5793618311068
2014-07-22,998.4151315432738
2014-07-23,994.5901423954705
2014-07-24,995.5446956484511
2014-07-25,997.6466059926462
2014-07-28,996.0275443034957
2014-07-29,997.2945565428425
2014-07-30,998.8673270049461
2014-07-31,999.2782899712504
2014-08-01,995.9146401178775
2014-08-04,1010.9848582599673
2014-08-05,1018.0832635996114
2014-08-06,1015.1345268346729
2014-08-07,1025.998445003438
2014-08-08,1021.7578062500236
2014-08-11,1016.3938454664622
2014-08-12,1019.5241234339571
2014-08-13,1023.699108749899
2014-08-14,1024.8629694066742
2014-08-15,1024.6715207461705
2014-08-18,1023.0713320763131
2014-08-19,1030.2836323197816
2014-08-20,1039.5361057102107
2014-08-21,1036.1781601827968
2014-08-22,1040.0679871787054
2014-08-25,1029.085818942889
2014-08-26,1031.1811369831921
2014-08-27,1032.2622989059946
2014-08-28,1029.9724053791333
2014-08-29,1030.2460846547808
2014-09-01,1034.284147821419
2014-09-02,1039.8232241341695
2014-09-03,1042.3721201525436
2014-09-04,1054.0213514290256
2014-09-05,1054.6720572060392
2014-09-08,1052.652222079592
2014-09-09,1057.6029093288694
2014-09-10,1058.99987040926
2014-09-11,1052.420335944903
2014-09-12,1052.3709981104837
2014-09-15,1054.788505311595
2014-09-16,1057.5295094437156
2014-09-17,1061.3475349529763
2014-09-18,1062.2370481124938
2014-09-19,1067.7887523325783
2014-09-22,1071.7448959088001
2014-09-23,1065.1430626082229
2014-09-24,1068.3302304213862
2014-09-25,1075.0345340975769
2014-09-26,1078.646027980147
2014-09-29,1072.640467224932
2014-09-30,1075.097420023467
2014-10-01,1083.287835515461
2014-10-02,1086.6784669910035
2014-10-03,1095.9735045075813
2014-10-06,1092.015856541073
2014-10-07,1088.4846603375972
2014-10-08,1083.595031383085
2014-10-09,1080.2740957531942
2014-10-10,1086.318053291558
2014-10-13,1060.8197025006768
2014-10-14,1060.2958960778353
2014-10-15,1049.1371638506057
2014-10-16,1043.6898135643376
2014-10-17,1045.0452126866867
2014-10-20,1034.485361708913
2014-10-21,1030.8915374428982
2014-10-22,1030.0092784846909
2014-10-23,1050.876393001013
2014-10-24,1049.2173546097258
2014-10-27,1025.1102768844662
2014-10-28,1021.3128131797195
2014-10-29,1022.5149593392938
2014-10-30,1032.036712724345
2014-10-31,1037.072268551859
2014-11-03,1046.5446640631558
2014-11-04,1038.1549724208144
2014-11-05,1033.275221168149
2014-11-06,1026.1889687383755
2014-11-07,1026.9231477566548
2014-11-10,1025.8475608516162
2014-11-11,1035.0875578181494
2014-11-12,1028.0229390402485
2014-11-13,1027.9395834302145
2014-11-14,1027.2454110500453
2014-11-17,1025.7710014213183
2014-11-18,1018.1895611369919
2014-11-19,1011.6144724663678
2014-11-20,1007.9444182036519
2014-11-21,1017.6028772499394
2014-11-24,1022.2710291062003
2014-11-25,1003.4081792858185
2014-11-26,1007.5487433350041
2014-11-27,1001.6791438704729
2014-11-28,1001.9149298186765
2014-12-01,979.9296175074334
2014-12-02,983.0352315430576
2014-12-03,993.5537142820414
2014-12-04,987.3346169743411
2014-12-05,996.3656839885858
2014-12-08,974.4776333172581
2014-12-09,948.9193782288621
2014-12-10,958.7851033797161
2014-12-11,932.24904063556
2014-12-12,927.6048724862123
2014-12-15,884.3082200353373
2014-12-16,849.4976569808637
2014-12-17,844.5629921088163
2014-12-18,874.016738860156
2014-12-19,874.9142634633698
2014-12-22,955.791343607177
2014-12-23,968.6182657610567
2014-12-24,974.9511738855012
2014-12-25,964.9449429357522
2014-12-26,965.9204883140453
2014-12-29,960.0192529555726
2014-12-30,954.8329634431147
2014-12-31,960.9715339685794
2015-01-01,961.0570822601373
2015-01-02,964.9207214286986
2015-01-05,967.0441487796837
2015-01-06,949.447996511972
2015-01-07,953.3581558045134
2015-01-08,964.7331384094762
2015-01-09,962.3640753133592
2015-01-12,987.0010548736263
2015-01-13,991.6438499244825
2015-01-14,1000.8085071441652
2015-01-15,1017.6106601283178
2015-01-16,1026.137989856209
2015-01-19,1015.2946720917223
2015-01-20,1015.1015399712824
2015-01-21,1024.7292417702067
2015-01-22,1042.512575436696
2015-01-23,1056.0770560919468
2015-01-26,1051.401474848098
2015-01-27,1029.6187007104431
2015-01-28,1038.4713138910818
2015-01-29,1035.5143541714535
2015-01-30,1039.5751941279348
2015-02-02,1045.9694130333805
2015-02-03,1032.946563366661
2015-02-04,1041.2655462243458
2015-02-05,1041.0828199124487
2015-02-06,1047.2692546224819
2015-02-09,1052.943719841528
2015-02-10,1058.5851015520232
2015-02-11,1057.4959877525346
2015-02-12,1053.5581387966042
2015-02-13,1051.215466091661
2015-02-16,1051.0577223475632
2015-02-17,1049.086803772078
2015-02-18,1056.8625972942334
2015-02-19,1055.5227176348606
2015-02-20,1057.5653353758084
2015-02-23,1070.9433633338826
2015-02-24,1073.8793328119125
2015-02-25,1071.8531471833394
2015-02-26,1083.0722162617078
2015-02-27,1083.6256305547165
2015-03-02,1080.0473853999424
2015-03-03,1081.2046169321761
2015-03-04,1092.1184477963939
2015-03-05,1090.7364541132551
2015-03-06,1104.3157372505834
2015-03-09,1103.2992149791307
2015-03-10,1110.1846971066934
2015-03-11,1125.5664229007457
2015-03-12,1117.4665129167713
2015-03-13,1125.742832561146
2015-03-16,1107.6742248652376
2015-03-17,1098.5737947811892
2015-03-18,1092.9818194672564
2015-03-19,1093.0065001824614
2015-03-20,1077.5740966635192
2015-03-23,1061.4979434759007
2015-03-24,1065.9061511936357
2015-03-25,1048.4228758592692
2015-03-26,1027.4292951577725
2015-03-27,1029.7954385194082
2015-03-30,1051.2243567971032
2015-03-31,1052.9975854792076
2015-04-01,1047.3334016059528
2015-04-02,1040.2830306703688
2015-04-03,1040.2830306703688
2015-04-06,1030.3736601301796
2015-04-07,1053.840858995122
2015-04-08,1062.4857698027092
2015-04-09,1063.945004091124
2015-04-10,1069.123838849905
2015-04-13,1083.6717933943412
