Date,FM ASIA INDEX
2009-05-29,1000.0
2009-06-01,1005.0740030333432
2009-06-02,994.3889055498661
2009-06-03,987.4086928981678
2009-06-04,982.7245980574686
2009-06-05,1014.2361098185504
2009-06-08,1041.2682893281956
2009-06-09,1055.8753979731985
2009-06-10,1034.518003594382
2009-06-11,1047.4874648858922
2009-06-12,1035.5279195628423
2009-06-15,1022.0775849154858
2009-06-16,997.109803090951
2009-06-17,1030.3925440032665
2009-06-18,1035.7631721087312
2009-06-19,1038.8501773020669
2009-06-22,1033.4291050284078
2009-06-23,1008.1379809358835
2009-06-24,1018.2445305940104
2009-06-25,1040.637078203172
2009-06-26,1039.6770441693109
2009-06-29,1040.8074925194012
2009-06-30,1024.9470252809963
2009-07-01,1012.0691454118061
2009-07-02,1048.530687619472
2009-07-03,1052.6640030389533
2009-07-06,1083.4101238909816
2009-07-07,1069.2925304062403
2009-07-08,1063.9790105899542
2009-07-09,1050.4353842910227
2009-07-10,1049.7486372367807
2009-07-13,1057.7031912352588
2009-07-14,1052.2280814869011
2009-07-15,1053.5852088788972
2009-07-16,1056.2682512208107
2009-07-17,1062.54832103468
2009-07-20,1045.2832564918908
2009-07-21,1059.3539592804646
2009-07-22,1067.1058545935725
2009-07-23,1075.860538888043
2009-07-24,1092.6862941715754
2009-07-27,1094.7042035193622
2009-07-28,1079.1315976916032
2009-07-29,1071.77956564069
2009-07-30,1059.9185939345361
2009-07-31,1079.11869765363
2009-08-03,1054.6135070842931
2009-08-04,1069.813091911041
2009-08-05,1077.526284515055
2009-08-06,1083.1807219623677
2009-08-07,1102.7177966501295
2009-08-10,1130.7259753718597
2009-08-11,1133.7461052138342
2009-08-12,1130.2222462612833
2009-08-13,1122.5650967551603
2009-08-14,1127.1628843427413
2009-08-17,1131.3156917883064
2009-08-18,1143.827021139419
2009-08-19,1132.8576580314539
2009-08-20,1139.9870841913487
2009-08-21,1147.0683820564452
2009-08-24,1174.0813259318552
2009-08-25,1175.669294355004
2009-08-26,1195.258865938219
2009-08-27,1196.764541715921
2009-08-28,1207.3436670021163
2009-08-31,1228.0614048893037
2009-09-01,1242.5227622346938
2009-09-02,1258.4865582332895
2009-09-03,1240.2182189230718
2009-09-04,1241.2559826518407
2009-09-07,1216.780198422812
2009-09-08,1207.7858869853553
2009-09-09,1225.1284765696341
2009-09-10,1226.1350117937843
2009-09-11,1230.9826311345978
2009-09-14,1236.9025400521734
2009-09-15,1233.621131037347
