Date,FRONTIER EMERGING MARKETS
2002-11-29,1000.0
2002-12-02,1003.713150922129
2002-12-03,998.4434762247198
2002-12-04,996.8394934451201
2002-12-05,997.673816679951
2002-12-06,992.0522428688129
2002-12-09,985.0915763471138
2002-12-10,985.9755424463175
2002-12-11,983.4103873223214
2002-12-12,984.7431222730877
2002-12-13,978.0866257207399
2002-12-16,975.4744367970594
2002-12-17,956.0076946262216
2002-12-18,958.3828971413044
2002-12-19,957.5169861208078
2002-12-20,959.9792245345913
2002-12-23,950.6743623455933
2002-12-24,946.311477152911
2002-12-25,950.6256686014294
2002-12-26,945.30802501807
2002-12-27,940.2092891037121
2002-12-30,935.2575625797814
2002-12-31,934.0358904940086
2003-01-01,933.7084782191984
2003-01-02,938.2751434170967
2003-01-03,943.2050971261141
2003-01-06,940.5723772835014
2003-01-07,936.197706811504
2003-01-08,942.5550740940098
2003-01-09,936.4565740495428
2003-01-10,940.0539272080716
2003-01-13,943.4912920290385
2003-01-14,948.3116946735452
2003-01-15,950.6971070542334
2003-01-16,949.0759607392495
2003-01-17,940.6701967875649
2003-01-20,943.3131350208988
2003-01-21,946.2620716022689
2003-01-22,942.4531414387124
2003-01-23,943.5750862379122
2003-01-24,937.6567375008096
2003-01-27,931.4125273112631
2003-01-28,929.4304071485714
2003-01-29,921.2676166402075
2003-01-30,934.388971828021
2003-01-31,933.4400129944984
2003-02-03,936.1754546339631
2003-02-04,918.7410548470978
2003-02-05,918.3752909948098
2003-02-06,923.8752920632238
2003-02-07,926.3479271241243
2003-02-10,922.8177382852299
2003-02-11,928.2415430562944
2003-02-12,927.0497983910556
2003-02-13,917.2348823552215
2003-02-14,917.7422058112147
2003-02-17,936.9329573100608
2003-02-18,947.0863248193817
2003-02-19,940.1758579925586
2003-02-20,929.650085733308
2003-02-21,928.1389975089483
2003-02-24,926.2515088455617
2003-02-25,919.9570797547639
2003-02-26,914.6799260776148
2003-02-27,922.5477135991754
2003-02-28,923.9010911002896
2003-03-03,907.7912345268861
2003-03-04,906.8130559976208
2003-03-05,902.9742028099374
2003-03-06,901.5648063530966
2003-03-07,896.0394249769568
2003-03-10,886.6913196027773
2003-03-11,882.6870730018771
2003-03-12,885.6231763783176
2003-03-13,894.8759338094668
2003-03-14,909.3079497469639
2003-03-17,890.520764965844
2003-03-18,919.2806659084499
2003-03-19,914.1930013991887
2003-03-20,915.9881840020332
2003-03-21,917.7626706507083
2003-03-24,904.1841627488582
2003-03-25,907.1146203258057
2003-03-26,918.1330787955915
2003-03-27,919.4388966623341
2003-03-28,917.7825090486288
2003-03-31,900.5294680860836
2003-04-01,904.0519898319803
2003-04-02,916.8424466189638
2003-04-03,930.3000510319151
2003-04-04,944.6445168825871
2003-04-07,973.6942894528253
2003-04-08,971.1555794735629
2003-04-09,978.5215918742164
2003-04-10,966.8585180941325
2003-04-11,980.6166387036599
2003-04-14,980.6262937285439
2003-04-15,985.0055361543734
2003-04-16,991.9876122216499
2003-04-17,986.0107865617417
2003-04-18,985.5154121133904
2003-04-21,1009.3277529501668
2003-04-22,991.875481335866
2003-04-23,988.0494837391179
2003-04-24,972.7542753457218
2003-04-25,968.0947978442152
2003-04-28,972.2968549148978
2003-04-29,983.5360868867946
2003-04-30,983.8256955640244
2003-05-01,976.7046944116191
2003-05-02,976.9863245105875
2003-05-05,979.3676651922667
2003-05-06,973.2964882325423
2003-05-07,976.2447660984532
2003-05-08,968.1769405087952
2003-05-09,966.8743305939621
2003-05-12,966.3856491143896
2003-05-13,966.8809819229799
2003-05-14,965.7394623392219
2003-05-15,967.2131676061477
2003-05-16,959.5656235427679
2003-05-19,945.9903809933165
2003-05-20,956.5318603848106
2003-05-21,958.1748378805253
2003-05-22,964.5490491756066
2003-05-23,969.7929376852784
2003-05-26,976.5226499856706
2003-05-27,980.1506797754472
2003-05-28,1001.5291229748678
2003-05-29,997.6092401641528
2003-05-30,1003.5385372867262
2003-06-02,1018.5190497529433
2003-06-03,1013.5456722496331
2003-06-04,1023.2166805214773
2003-06-05,1017.2966582399185
2003-06-06,1028.5581118970451
2003-06-09,1023.0280654404694
2003-06-10,1028.2100752533017
2003-06-11,1026.409472837908
2003-06-12,1028.8289496476677
2003-06-13,1028.8386804486115
2003-06-16,1033.909917949715
2003-06-17,1050.020037492432
2003-06-18,1057.254096902229
2003-06-19,1061.862790856044
2003-06-20,1064.5934686245073
2003-06-23,1064.8160013333018
2003-06-24,1049.7709690762226
2003-06-25,1052.053153550217
2003-06-26,1063.9470805038886
2003-06-27,1069.695847420965
2003-06-30,1060.7280323045054
2003-07-01,1048.4598680236427
2003-07-02,1070.1133020689335
2003-07-03,1079.7357399648608
2003-07-04,1084.4550244398465
2003-07-07,1097.436651364561
2003-07-08,1114.5335825437658
2003-07-09,1097.482396162501
2003-07-10,1093.1144110360067
2003-07-11,1103.613595108184
2003-07-14,1113.9108459199697
2003-07-15,1131.018898962227
2003-07-16,1126.5111388775972
