Date,USA BROAD ESG LEADERS
2010-08-31,100.0
2010-09-01,102.05973947623175
2010-09-02,102.99568497463729
2010-09-03,104.11162654803378
2010-09-06,103.97824337868504
2010-09-07,103.92809036432848
2010-09-08,104.32567086731785
2010-09-09,104.77691843600506
2010-09-10,105.30216257686473
2010-09-13,105.54227903282927
2010-09-14,104.6406026854517
2010-09-15,104.64750675420181
2010-09-16,103.94294661363982
2010-09-17,104.67418328053496
2010-09-20,105.93547197336827
2010-09-21,105.1917114808988
2010-09-22,102.39176634657078
2010-09-23,102.1617114510404
2010-09-24,103.3445504954794
2010-09-27,102.90354010038595
2010-09-28,103.00259126329145
2010-09-29,102.4020138359408
2010-09-30,101.73642800215926
2010-10-01,101.42304910078269
2010-10-04,101.02349039302287
2010-10-05,101.92970088509765
2010-10-06,101.39212569658461
2010-10-07,100.83545020056165
2010-10-08,101.60946361068072
2010-10-11,101.93055064649279
2010-10-12,102.67505025121191
2010-10-13,102.6401925990012
2010-10-14,101.47460037459749
2010-10-15,102.32266740109834
2010-10-18,103.33327216472314
2010-10-19,103.02093898700024
2010-10-20,102.76938477598189
2010-10-21,102.76833944020888
2010-10-22,103.71699184252265
2010-10-25,103.54662974854303
2010-10-26,104.28738519765784
2010-10-27,104.69703040134793
2010-10-28,103.83659157441588
2010-10-29,103.99649881951925
2010-11-01,104.14108316195578
2010-11-02,104.10128303511281
2010-11-03,104.4734462990249
2010-11-04,104.80460876382402
2010-11-05,106.6551376331977
2010-11-08,107.47115959965818
2010-11-09,106.47869560642361
2010-11-10,108.73583300971528
2010-11-11,108.33372632272321
2010-11-12,106.79177243117212
2010-11-15,107.6257747204934
2010-11-16,106.24547270261804
2010-11-17,106.5629627660495
2010-11-18,107.61222881721984
2010-11-19,107.52110955247308
2010-11-22,107.96002324069963
2010-11-23,107.89965937861544
2010-11-24,109.97408226618542
2010-11-25,110.14267218478379
2010-11-26,110.71053127931923
2010-11-29,111.56774357018477
2010-11-30,111.49178204036556
2010-12-01,113.34043574217145
2010-12-02,113.9089079314397
2010-12-03,112.49467426769509
2010-12-06,113.21440146763331
2010-12-07,112.7857637084171
2010-12-08,114.23627765402412
2010-12-09,114.93905900606023
2010-12-10,115.22032029179654
2010-12-13,113.66004102853985
2010-12-14,113.89528495586468
2010-12-15,113.87323970875467
2010-12-16,115.87936105209732
2010-12-17,116.49230246547532
2010-12-20,117.17117118414318
2010-12-21,117.602041909825
2010-12-22,118.14292962579319
2010-12-23,118.19030092516923
2010-12-24,117.72635027936366
2010-12-27,117.49329996749508
2010-12-28,117.59904696623913
2010-12-29,117.73424506020147
2010-12-30,116.28484920287544
2010-12-31,114.98646747173932
2011-01-03,116.65420184503787
2011-01-04,116.54740648490471
2011-01-05,118.75124850367452
2011-01-06,119.49937512264218
2011-01-07,119.73610187437373
2011-01-10,120.12283414553184
2011-01-11,120.563598247627
2011-01-12,120.3790784609654
2011-01-13,117.7464594024429
2011-01-14,118.23236555586521
2011-01-17,118.89079384086929
2011-01-18,118.36858191572476
2011-01-19,116.16457388805065
2011-01-20,116.58626231550313
2011-01-21,115.08165091048832
2011-01-24,115.07078272917043
2011-01-25,115.09176590252001
2011-01-26,115.51736296086119
2011-01-27,115.35223715273173
2011-01-28,114.05229700396764
2011-01-31,114.12596077795367
2011-02-01,115.12282482143897
2011-02-02,114.63022589537287
2011-02-03,116.36283115719972
2011-02-04,117.4951754661382
2011-02-07,118.381788995123
2011-02-08,117.83250093317828
2011-02-09,117.18950568889413
2011-02-10,118.11996682222218
2011-02-11,119.35582625364556
2011-02-14,120.31164300492411
2011-02-15,119.33650503665055
2011-02-16,120.05567080813124
2011-02-17,119.84149756234414
2011-02-18,119.57208362562243
2011-02-21,119.28343119258325
2011-02-22,116.51783586131275
2011-02-23,114.73011850308792
2011-02-24,114.52929837251496
2011-02-25,116.40015968798765
2011-02-28,116.41913908816626
2011-03-01,114.30594243137669
2011-03-02,114.1180155832032
2011-03-03,115.61656844628428
2011-03-04,114.41730417703693
2011-03-07,113.10754407105087
2011-03-08,115.12100779021182
2011-03-09,114.90784878195653
2011-03-10,113.80627490707717
2011-03-11,114.21049444804729
2011-03-14,112.37882101318012
2011-03-15,111.25671250834702
2011-03-16,109.75099486455083
2011-03-17,110.07612849499962
2011-03-18,109.79955102537082
2011-03-21,111.08854119320263
2011-03-22,110.41330609982299
2011-03-23,111.40776019685441
2011-03-24,111.86755651190315
2011-03-25,112.73389863914561
2011-03-28,112.59574354801885
2011-03-29,113.682484781434
