Date,UK IMI COUNTRY ESG LEADERS 5% ISS CAPP
2013-05-31,1000.0
2013-06-03,992.9593124327163
2013-06-04,992.7680681184718
2013-06-05,978.0770137546116
2013-06-06,967.7453158191604
2013-06-07,979.4856263738036
2013-06-10,980.687191066419
2013-06-11,966.4708257696155
2013-06-12,965.93080028842
2013-06-13,968.6663042923867
2013-06-14,971.3191994561397
2013-06-17,977.2550516928992
2013-06-18,974.7089720370332
2013-06-19,972.6417111456585
2013-06-20,949.9869279604878
2013-06-21,940.5160280657444
2013-06-24,927.029455479669
2013-06-25,941.491084223937
2013-06-26,954.2261729646182
2013-06-27,959.0363095132516
2013-06-28,954.7700325487277
2013-07-01,973.5060832209517
2013-07-02,970.1064167431166
2013-07-03,976.3199703828077
2013-07-04,995.618411360595
2013-07-05,984.5701562960539
2013-07-08,998.8599739392557
2013-07-09,1005.9255804767076
2013-07-10,1007.1902244779488
2013-07-11,1011.4681086009996
2013-07-12,1011.9898501804272
2013-07-15,1016.762695364052
2013-07-16,1004.8660353076245
2013-07-17,1011.7990286573246
2013-07-18,1023.8075007555499
2013-07-19,1025.0014252208548
2013-07-22,1028.9717150931153
2013-07-23,1019.6301060110256
2013-07-24,1020.3917225289164
2013-07-25,1012.9288808413527
2013-07-26,1009.4436895239536
2013-07-29,1010.5086734639422
2013-07-30,1014.2939322697689
2013-07-31,1010.3013970015959
2013-08-01,1025.296669715705
2013-08-02,1024.7365218128868
2013-08-05,1032.6792822234358
2013-08-06,1030.9998427439557
2013-08-07,1029.9801938369048
2013-08-08,1030.35206874859
2013-08-09,1033.1550291934884
2013-08-12,1031.4803768330144
2013-08-13,1038.3011625019064
2013-08-14,1040.2038744710512
2013-08-15,1021.2029275467398
2013-08-16,1024.4633824933949
2013-08-19,1025.454489084006
2013-08-20,1017.7141908030762
2013-08-21,1017.4253058147788
2013-08-22,1019.6609095163667
2013-08-23,1025.0113876111884
2013-08-26,1026.2457886423742
2013-08-27,1011.4943384777863
2013-08-28,1008.475633626363
2013-08-29,1026.299880113686
2013-08-30,1016.6167866371342
2013-09-02,1042.9692492805189
2013-09-03,1038.2069302939803
2013-09-04,1042.9201709291913
2013-09-05,1056.5927107224672
2013-09-06,1059.6609967697348
2013-09-09,1058.6780287594115
2013-09-10,1070.3399524287067
2013-09-11,1074.1132064184808
2013-09-12,1072.5890944017467
2013-09-13,1081.5670693059099
2013-09-16,1085.790258632424
2013-09-17,1076.262167518592
2013-09-18,1076.3877927704798
2013-09-19,1075.49731309772
2013-09-20,1070.3654220907536
2013-09-23,1065.7949947598759
2013-09-24,1068.6212243079715
2013-09-25,1068.7907349850836
2013-09-26,1066.9312558036013
2013-09-27,1064.5987615345437
2013-09-30,1063.784910158161
2013-10-01,1071.2567358396343
2013-10-02,1061.6467036406818
2013-10-03,1053.0568361229225
2013-10-04,1048.4661872275124
2013-10-07,1046.060720651435
2013-10-08,1033.8717266437748
2013-10-09,1023.6665059512607
2013-10-10,1044.2026481719945
2013-10-11,1048.3001859961985
2013-10-14,1057.724555145125
2013-10-15,1070.6865421873124
2013-10-16,1073.9294618078068
2013-10-17,1076.421178226113
2013-10-18,1088.2503085233436
2013-10-21,1093.0637663610325
2013-10-22,1091.5116827890022
2013-10-23,1087.104090495909
2013-10-24,1090.9997895191107
2013-10-25,1091.3899504520525
2013-10-28,1088.1527554274505
2013-10-29,1091.3267684242965
2013-10-30,1093.336393037451
2013-10-31,1104.849370570343
2013-11-01,1101.659393875899
2013-11-04,1103.1982527192954
2013-11-05,1106.920308878471
2013-11-06,1105.2417709046495
2013-11-07,1110.1637028103437
2013-11-08,1108.1002542703673
2013-11-11,1105.3136439205227
2013-11-12,1098.6518428049617
2013-11-13,1092.074008028119
2013-11-14,1101.174853690066
2013-11-15,1101.9840996558821
2013-11-18,1103.446567668033
2013-11-19,1098.2998043634636
2013-11-20,1103.5634363298414
2013-11-21,1104.8946005326784
2013-11-22,1104.793361193887
2013-11-25,1109.1066711012966
2013-11-26,1102.9357229727154
2013-11-27,1113.931417102319
2013-11-28,1116.6705014631814
2013-11-29,1117.3423018187043
2013-12-02,1110.4286515732106
2013-12-03,1098.005075196703
2013-12-04,1093.3668309107782
2013-12-05,1084.283071047686
2013-12-06,1091.7539839271165
2013-12-09,1093.946264581866
2013-12-10,1090.2745108747597
2013-12-11,1083.7407056823724
2013-12-12,1070.5959519610133
