Date,USA ESG LEADERS SELECT SUSTAINABILITY
2019-11-26,1000.0
2019-11-27,1005.7338260684494
2019-11-28,1005.0941915995016
2019-11-29,999.4892359516443
2019-12-02,985.4514575231623
2019-12-03,979.1517679383315
2019-12-04,984.9968246263052
2019-12-05,987.709350713945
2019-12-06,1000.4600004795565
2019-12-09,995.1194585650029
2019-12-10,992.8101295678497
2019-12-11,995.9654235342597
2019-12-12,1000.898408960872
2019-12-13,1001.8529459359673
2019-12-16,1008.8424236531607
2019-12-17,1006.842070974789
2019-12-18,1007.8623888658572
2019-12-19,1013.1265519081692
2019-12-20,1021.1965824826053
2019-12-23,1022.0650112070646
2019-12-24,1022.0433780099478
2019-12-25,1022.0433780099478
2019-12-26,1026.4713376608581
2019-12-27,1020.9632278147895
2019-12-30,1011.9714258108125
2019-12-31,1012.9386620656367
2020-01-01,1012.9386620656367
2020-01-02,1024.0730193042853
2020-01-03,1019.9403055073519
2020-01-06,1021.8906715226697
2020-01-07,1023.5184777929951
2020-01-08,1033.9557349336792
2020-01-09,1044.1854351593952
2020-01-10,1041.50625946848
2020-01-13,1049.8750009553034
2020-01-14,1048.1212562237504
2020-01-15,1047.5070238398619
2020-01-16,1058.6975422018884
2020-01-17,1069.3024847918532
2020-01-20,1070.5085557198838
2020-01-21,1066.2207383174773
2020-01-22,1070.1247696148462
2020-01-23,1074.590240320643
2020-01-24,1067.1098849551713
2020-01-27,1051.5312008595492
2020-01-28,1065.7853688002513
2020-01-29,1067.7628621676015
2020-01-30,1069.344683108333
2020-01-31,1041.5725204273597
2020-02-03,1055.693162078951
2020-02-04,1076.4168885415183
2020-02-05,1088.37449625937
2020-02-06,1096.4110262797597
2020-02-07,1091.164281269109
2020-02-10,1105.436439592978
2020-02-11,1106.841162311674
2020-02-12,1116.8208039037859
2020-02-13,1120.550218969276
2020-02-14,1126.261706788569
2020-02-17,1127.8215540349406
2020-02-18,1124.7257463959365
2020-02-19,1134.6623043412042
2020-02-20,1129.4102043292721
2020-02-21,1110.4888335296823
2020-02-24,1072.1787078675168
2020-02-25,1039.8445233970585
2020-02-26,1039.2711497985285
2020-02-27,979.7517947566535
2020-02-28,974.1543282798023
2020-03-02,1009.9967715303072
2020-03-03,978.9971007423694
2020-03-04,1023.221181103998
2020-03-05,984.1546900567142
2020-03-06,957.4134189231769
2020-03-09,879.4245033192797
2020-03-10,929.8236204337603
2020-03-11,890.8250728778993
2020-03-12,823.0643563999064
2020-03-13,901.9227124743787
2020-03-16,787.4358156291138
2020-03-17,846.4863778220182
2020-03-18,815.1780743420993
2020-03-19,828.4403437807974
2020-03-20,789.6392726058623
2020-03-23,765.1808751896039
2020-03-24,834.4758618779533
2020-03-25,837.889425574947
2020-03-26,873.3472116450665
2020-03-27,842.0192345782967
2020-03-30,873.7929622904975
2020-03-31,864.5318267680302
2020-04-01,828.6582499374344
2020-04-02,852.5626374123652
2020-04-03,845.7063533075719
2020-04-06,910.0894780194585
2020-04-07,897.9243551706275
2020-04-08,928.2211888931402
2020-04-09,934.8917792146168
2020-04-10,934.8917792146168
2020-04-13,929.1941746114481
2020-04-14,956.9885145918307
2020-04-15,942.819592186055
2020-04-16,956.3773053468469
2020-04-17,974.5061310809923
2020-04-20,958.6214995290015
2020-04-21,929.0791266542748
2020-04-22,954.2622530516193
2020-04-23,950.2805827182074
2020-04-24,967.5623728294747
2020-04-27,980.3154149270566
2020-04-28,972.9531069172438
2020-04-29,999.78219100202
2020-04-30,981.9527978681259
2020-05-01,953.8334832632466
2020-05-04,968.0576521603408
2020-05-05,987.083061403275
2020-05-06,987.3973833235756
2020-05-07,1003.1011716812392
2020-05-08,1011.4871862969898
2020-05-11,1020.403930134886
2020-05-12,994.5262792901143
2020-05-13,981.7887960030532
2020-05-14,994.2660050888525
2020-05-15,1000.0573471389118
2020-05-18,1023.1990873009855
2020-05-19,1004.683043727185
2020-05-20,1016.5228095920461
2020-05-21,1014.7906003822357
2020-05-22,1024.4658276327111
2020-05-25,1024.1836963174403
2020-05-26,1023.1553261904804
2020-05-27,1036.9262491997188
2020-05-28,1030.132827321105
2020-05-29,1031.3934465029688
2020-06-01,1033.618322233963
2020-06-02,1036.750328413137
2020-06-03,1044.217445963949
2020-06-04,1026.2799366022568
2020-06-05,1053.234825930835
2020-06-08,1063.3986747028755
2020-06-09,1055.2481362960991
2020-06-10,1060.167743552887
2020-06-11,1000.2191608359452
2020-06-12,1024.4858516494933
2020-06-15,1033.9192904222054
2020-06-16,1056.1219817664153
2020-06-17,1057.6477866129626
2020-06-18,1058.3518594810146
2020-06-19,1057.9297916257958
2020-06-22,1061.0880767473814
2020-06-23,1059.266761663673
2020-06-24,1038.7898738244683
2020-06-25,1057.5189849526205
2020-06-26,1034.796800404938
2020-06-29,1046.049161407093
2020-06-30,1065.8363598001138
2020-07-01,1066.5566336747613
2020-07-02,1076.160187441318
2020-07-03,1074.82007246474
2020-07-06,1086.725966222342
2020-07-07,1080.8821140680227
2020-07-08,1087.8334004460542
2020-07-09,1089.5917332778297
2020-07-10,1095.1864075993174
2020-07-13,1076.9880452694297
2020-07-14,1090.2202888740867
2020-07-15,1098.8980442630902
2020-07-16,1091.4886900065171
2020-07-17,1097.6469838747353
2020-07-20,1110.5572045516305
2020-07-21,1102.3108340273234
2020-07-22,1100.8905159834019
2020-07-23,1082.109599787928
2020-07-24,1073.1664555968732
2020-07-27,1073.5495245309846
2020-07-28,1067.0484257883963
2020-07-29,1078.474013383095
2020-07-30,1077.2708187101075
2020-07-31,1088.3363833770086
