Date,EAFE ex ISRAEL VALUE
2010-05-26,1000.0
2010-05-27,1024.212457461873
2010-05-28,1023.8215632369584
2010-05-31,1025.7407399354377
2010-06-01,1022.2106001193074
2010-06-02,1017.0631487703472
2010-06-03,1034.5806689093947
2010-06-04,1025.3889038005666
2010-06-07,1010.7944267411239
2010-06-08,1004.5357296344206
2010-06-09,1009.5468750919974
2010-06-10,1021.9871924249031
2010-06-11,1032.8441636287662
2010-06-14,1038.2343410262372
2010-06-15,1043.8821319734118
2010-06-16,1048.1906324136382
2010-06-17,1049.0721309485039
2010-06-18,1050.4963061969472
2010-06-21,1063.7798070330773
2010-06-22,1059.6950213679727
2010-06-23,1049.7185993961787
2010-06-24,1034.7533677808708
2010-06-25,1027.237082512616
2010-06-28,1032.7942620034244
2010-06-29,1012.5188534593444
2010-06-30,1007.0022996893545
2010-07-01,985.3004222789308
2010-07-02,981.0675985805739
2010-07-05,980.9712650953529
2010-07-06,1001.2392957661666
2010-07-07,1012.4256118567243
2010-07-08,1024.7882712252206
2010-07-09,1031.3989038025848
2010-07-12,1034.9694907675328
2010-07-13,1046.8675628324536
2010-07-14,1050.2598363792713
2010-07-15,1034.1735625607278
2010-07-16,1018.0868892962894
2010-07-19,1010.3814787185235
2010-07-20,1011.1320632454716
2010-07-21,1018.806183204055
2010-07-22,1031.544533523135
2010-07-23,1042.1520163781452
2010-07-26,1045.7824846234485
2010-07-27,1051.0556031203525
2010-07-28,1054.0081351190452
2010-07-29,1052.5314284057636
2010-07-30,1048.6810518278546
2010-08-02,1068.6573639487824
2010-08-03,1072.2322843572667
2010-08-04,1071.8373460037642
2010-08-05,1074.4827125557285
2010-08-06,1066.6293202479935
2010-08-09,1076.34844052759
2010-08-10,1071.3732273454066
2010-08-11,1054.6376045395955
2010-08-12,1049.88244430449
2010-08-13,1053.3402309100106
2010-08-16,1050.654067717263
2010-08-17,1058.659255370952
2010-08-18,1059.6544181615334
2010-08-19,1050.210840857141
2010-08-20,1042.0130194246049
2010-08-23,1049.9799315428386
2010-08-24,1036.6679848323733
