Date,WORLD ex ISRAEL VALUE
2010-05-26,1000.0
2010-05-27,1026.798832370771
2010-05-28,1016.6012533616903
2010-05-31,1020.7277395886158
2010-06-01,1008.5945266386022
2010-06-02,1024.202490589551
2010-06-03,1033.128877607142
2010-06-04,1017.2887503099429
2010-06-07,1009.06550707535
2010-06-08,1013.0783609445589
2010-06-09,1007.5800440669999
2010-06-10,1026.7962366260706
2010-06-11,1033.7593454323694
2010-06-14,1026.9050070992937
2010-06-15,1040.5694813646667
2010-06-16,1041.7627166176203
2010-06-17,1040.8666078920457
2010-06-18,1041.508201286422
2010-06-21,1046.0646293088923
2010-06-22,1039.6206437834887
2010-06-23,1033.6568368797741
2010-06-24,1014.2804402651753
2010-06-25,1014.7918979323964
2010-06-28,1014.3292158041966
2010-06-29,995.5297685381095
2010-06-30,984.8331304644944
2010-07-01,963.6148026546092
2010-07-02,952.911879915489
2010-07-05,955.234997441421
2010-07-06,963.775775699278
2010-07-07,985.0870543465562
2010-07-08,993.8781492894782
2010-07-09,1003.8037306600016
2010-07-12,1006.9713470286645
2010-07-13,1017.1464174450936
2010-07-14,1014.0711154005926
2010-07-15,1000.6991296255746
2010-07-16,975.2598138741673
2010-07-19,973.4362802963778
2010-07-20,982.0498813413493
2010-07-21,982.2298172189799
2010-07-22,995.4012805772632
2010-07-23,1007.8668660151111
2010-07-26,1011.8445243439853
2010-07-27,1012.8779434288178
2010-07-28,1009.1321806864535
2010-07-29,1004.3763993846762
2010-07-30,1004.874834489486
2010-08-02,1018.7227768347107
2010-08-03,1016.4953427395639
2010-08-04,1022.2714471179352
2010-08-05,1022.2403081919111
2010-08-06,1010.4439520515458
2010-08-09,1019.5173764776229
2010-08-10,1020.7401425731894
2010-08-11,1005.655322149666
2010-08-12,1003.9320964510867
2010-08-13,1007.9723770674412
2010-08-16,1002.6853614604552
2010-08-17,1011.2931727142364
2010-08-18,1013.032085188531
2010-08-19,998.5010241596634
2010-08-20,999.8018566372547
2010-08-23,1003.6727576114694
2010-08-24,989.1036758343155
2010-08-25,988.1360597173573
2010-08-26,982.4042244783992
2010-08-27,995.9338339597113
2010-08-30,992.1641661568126
2010-08-31,989.5718108022138
2010-09-01,1009.1086356462968
2010-09-02,1014.4688728060321
2010-09-03,1023.371201607236
2010-09-06,1026.7670378826624
2010-09-07,1026.0918987146893
2010-09-08,1029.5106637541905
2010-09-09,1039.15467632936
2010-09-10,1041.973871298065
2010-09-13,1044.7948079123435
2010-09-14,1037.9029538724224
2010-09-15,1033.330986761029
2010-09-16,1025.0992981999393
2010-09-17,1026.6190486766661
2010-09-20,1037.7264885527734
2010-09-21,1031.5639477393986
2010-09-22,1009.507296864324
2010-09-23,1006.7843464595717
2010-09-24,1013.1513024773345
2010-09-27,1010.5377604265652
2010-09-28,1008.5964821799594
2010-09-29,1003.426340594415
2010-09-30,996.061586825081
2010-10-01,994.8118909917122
2010-10-04,991.5336266040022
2010-10-05,1000.8742570606981
2010-10-06,1003.6442240597199
2010-10-07,1001.6382323004419
2010-10-08,1003.7626615425465
2010-10-11,1006.851591433099
2010-10-12,1008.3631635971524
2010-10-13,1009.8788909149787
2010-10-14,1003.1110472207633
2010-10-15,1002.3668483091899
2010-10-18,1011.8885672502184
2010-10-19,1010.3710908227938
2010-10-20,1008.3422396382872
2010-10-21,1007.0807977969276
2010-10-22,1010.1859598062407
2010-10-25,1010.1983216437696
2010-10-26,1013.1756386150595
2010-10-27,1011.251493842393
2010-10-28,1009.0673214860388
2010-10-29,1009.8625713286369
2010-11-01,1010.126465049045
2010-11-02,1008.6035467404512
2010-11-03,1009.2953218446661
2010-11-04,1018.1722493699467
2010-11-05,1032.5485796729165
2010-11-08,1038.5601352301815
2010-11-09,1035.2362737350747
2010-11-10,1044.571949999726
2010-11-11,1044.8177587333244
2010-11-12,1035.0018400937133
