Date,WORLD ex UK VALUE
1998-12-31,100.0
1999-01-29,104.71478279941087
1999-02-26,106.3438149304535
1999-03-31,113.04462508580637
1999-04-30,124.42544339633149
1999-05-31,121.74703846830286
1999-06-30,127.66443823912648
1999-07-30,123.0903642825009
1999-08-31,122.66595780249163
1999-09-30,118.87543550600132
1999-10-29,125.6482055859686
1999-11-30,130.76020056365357
1999-12-31,137.0088457044074
2000-01-31,134.04292234238545
2000-02-29,131.62398745739202
2000-03-31,143.14589714188773
2000-04-28,148.67366420610975
2000-05-31,147.07101049832232
2000-06-30,143.67378921922824
2000-07-31,147.23303319679937
2000-08-31,158.53600075300434
2000-09-29,157.25839157338953
2000-10-31,164.3431482024901
2000-11-30,153.14844054842072
2000-12-29,148.2739161236762
2001-01-01,148.2739161236762
2001-01-02,145.8899023861504
2001-01-03,148.0734884686347
2001-01-04,147.62796900477645
2001-01-05,145.09241290750577
2001-01-08,145.40609281495654
2001-01-09,145.8642351986561
2001-01-10,145.98102038423315
2001-01-11,144.6429578453481
2001-01-12,144.31048271263586
2001-01-15,145.24918119504557
2001-01-16,146.362014534588
2001-01-17,148.14513357329722
2001-01-18,146.8017214610112
2001-01-19,147.25014220547578
2001-01-22,147.59167725431723
2001-01-23,148.0564666261312
2001-01-24,150.5287019201734
2001-01-25,151.44149185222315
2001-01-26,150.62665463152715
2001-01-29,151.91610419669476
2001-01-30,152.0695263882113
2001-01-31,151.41934297804067
2001-02-01,150.3247148504315
2001-02-02,149.73456178855793
2001-02-05,149.47176402147
2001-02-06,150.41097258549345
2001-02-07,149.53103745758634
2001-02-08,151.15810409073376
2001-02-09,149.78830177738126
2001-02-12,150.04731776112644
2001-02-13,150.94802811353927
2001-02-14,150.2807785282409
2001-02-15,152.84080739560707
2001-02-16,150.11274726778223
2001-02-19,149.35258624039048
2001-02-20,149.64329752955072
2001-02-21,147.14490739491458
2001-02-22,147.65027173830185
2001-02-23,146.63015547960424
2001-02-26,148.78103975833585
2001-02-27,147.65190462074318
2001-02-28,146.29054502280127
2001-03-01,144.2341314163298
2001-03-02,143.22300184825156
2001-03-05,144.58980810090713
2001-03-06,145.90678148550774
2001-03-07,147.24520333875608
2001-03-08,147.29704943898423
2001-03-09,145.59075645967712
2001-03-12,141.3352235196509
2001-03-13,142.56100958025377
2001-03-14,139.63218362450084
2001-03-15,141.88740818467375
2001-03-16,140.46986528497374
2001-03-19,141.61294449844286
2001-03-20,139.5791675946176
2001-03-21,138.4754076918975
2001-03-22,136.42935243346932
2001-03-23,137.90513702182332
2001-03-26,141.03544069902128
2001-03-27,143.55004678054985
2001-03-28,142.69832952472174
2001-03-29,142.94720370598145
2001-03-30,143.87977371899518
2001-04-02,142.95581903173886
2001-04-03,139.1141743474696
2001-04-04,137.3311597742858
2001-04-05,141.9828640240379
2001-04-06,139.53961003779227
2001-04-09,140.17640503099662
2001-04-10,144.4452980832651
2001-04-11,145.19690328119802
2001-04-12,145.382754875824
2001-04-13,145.32843498232188
2001-04-16,146.6244687485687
2001-04-17,147.43356588418771
2001-04-18,152.85082864542812
2001-04-19,151.41515530696415
2001-04-20,148.60227380579332
2001-04-23,148.1725337402445
2001-04-24,148.42061437889615
2001-04-25,149.31085985604054
