Date,EUROPE & MIDDLE EAST VALUE
2010-05-26,1000.0
2010-05-27,1032.8715290898447
2010-05-28,1028.766675098332
2010-05-31,1030.6239350054045
2010-06-01,1027.2078640816255
2010-06-02,1026.4025701770804
2010-06-03,1040.638167531531
2010-06-04,1019.1347263578127
2010-06-07,1010.459108171527
2010-06-08,997.5544802301267
2010-06-09,1012.9697132250851
2010-06-10,1027.692942651262
2010-06-11,1038.88120163474
2010-06-14,1049.8074007719017
2010-06-15,1058.0816386295958
2010-06-16,1058.4721511279604
2010-06-17,1061.755487677929
2010-06-18,1065.5055264791918
2010-06-21,1075.0761603371343
2010-06-22,1066.8838686498711
2010-06-23,1055.733609951904
2010-06-24,1034.344805459142
2010-06-25,1027.7099962671136
2010-06-28,1040.469987197794
2010-06-29,1006.2242407055587
2010-06-30,1008.1511003604181
2010-07-01,985.5369267183554
2010-07-02,985.3370207585415
2010-07-05,982.3189179286758
2010-07-06,1008.2384344682159
2010-07-07,1026.936651966971
2010-07-08,1039.5659035998358
2010-07-09,1046.0207579538906
2010-07-12,1052.7358388274408
2010-07-13,1073.8872325442521
2010-07-14,1073.102724657908
2010-07-15,1059.5184570129863
2010-07-16,1038.855057056838
2010-07-19,1031.5797779012069
2010-07-20,1031.3729340263458
2010-07-21,1042.0285636321207
2010-07-22,1066.4508456145782
2010-07-23,1070.5212935943082
2010-07-26,1078.3917724316357
2010-07-27,1090.1546965048828
2010-07-28,1086.2079799710457
2010-07-29,1086.331619037554
2010-07-30,1080.3292012402958
2010-08-02,1113.6531932256999
2010-08-03,1113.2626269467644
2010-08-04,1115.8367373908757
2010-08-05,1114.670114790872
2010-08-06,1102.1408142266985
2010-08-09,1118.8013610562375
2010-08-10,1107.5816921217063
2010-08-11,1082.8215715074812
2010-08-12,1081.4274179658016
2010-08-13,1081.3835285974774
2010-08-16,1077.9374071393925
2010-08-17,1090.8856505932897
2010-08-18,1086.1941461872652
2010-08-19,1067.1052446064252
2010-08-20,1058.496893877758
2010-08-23,1067.102381285328
2010-08-24,1047.0444879032673
2010-08-25,1038.3521364902529
2010-08-26,1046.5501526618714
2010-08-27,1054.4252539878444
2010-08-30,1052.6658353487446
2010-08-31,1053.3102692785642
2010-09-01,1082.498642357291
2010-09-02,1082.6378118509188
2010-09-03,1093.7928489842454
2010-09-06,1097.7427879006832
2010-09-07,1090.8029528222985
2010-09-08,1101.3018168853562
2010-09-09,1112.1161088496121
2010-09-10,1111.1098932381585
2010-09-13,1120.6178803596847
2010-09-14,1119.4441162178334
2010-09-15,1115.5048826044117
2010-09-16,1108.596592268223
2010-09-17,1101.444682048066
2010-09-20,1116.7196481081562
2010-09-21,1111.9553106212559
2010-09-22,1093.7483237480571
2010-09-23,1091.243603756348
2010-09-24,1103.885444380119
2010-09-27,1098.3027092630443
2010-09-28,1094.974044797388
2010-09-29,1089.180220758766
2010-09-30,1085.625122696427
2010-10-01,1085.2023258559434
2010-10-04,1077.46059730018
2010-10-05,1094.4315752072068
2010-10-06,1099.837517452787
2010-10-07,1101.9098307893616
2010-10-08,1100.2531044109844
2010-10-11,1104.1735276712836
2010-10-12,1097.8390783283396
2010-10-13,1116.4946001922874
2010-10-14,1114.4503837955153
2010-10-15,1115.7361846219662
2010-10-18,1121.9545450590267
2010-10-19,1117.9147906753458
2010-10-20,1119.8310092972533
2010-10-21,1123.7842326753816
2010-10-22,1121.6861143535418
2010-10-25,1120.9879297292773
2010-10-26,1120.7399158161415
2010-10-27,1113.2098833153943
2010-10-28,1119.1993022734941
2010-10-29,1119.778524092278
2010-11-01,1119.552381476379
