Date,PACIFIC ex JAPAN VALUE
1998-12-31,100.0
1999-01-29,102.14454082309842
1999-02-26,105.1577886527617
1999-03-31,116.45860910410141
1999-04-30,140.6439198580052
1999-05-31,134.5086540471787
1999-06-30,148.37586041619033
1999-07-30,141.9482426997177
1999-08-31,138.87242081900092
1999-09-30,134.5639945838555
1999-10-29,138.6917445468168
1999-11-30,154.0295747563231
1999-12-31,168.72166466311748
2000-01-31,162.9660563406847
2000-02-29,163.66168321122052
2000-03-31,168.01511002554574
2000-04-28,175.10630218758206
2000-05-31,158.36129499765758
2000-06-30,171.89748288745864
2000-07-31,180.3362808195216
2000-08-31,196.22519705434996
2000-09-29,188.0320627726584
2000-10-31,186.44207329490087
2000-11-30,183.13886648024865
2000-12-29,183.93323224448082
2001-01-01,183.93323224448082
2001-01-02,183.05431113791107
2001-01-03,181.62054213286217
2001-01-04,187.95370677528751
2001-01-05,190.26428258052982
2001-01-08,188.3180196739368
2001-01-09,188.30369369668418
2001-01-10,187.51786902016087
2001-01-11,182.55220902491092
2001-01-12,183.70202470539414
2001-01-15,183.8010665618543
2001-01-16,183.90422262365527
2001-01-17,185.36134368219373
2001-01-18,184.02076288586795
2001-01-19,188.48561830267255
2001-01-22,188.81714559514666
2001-01-23,185.99860390522127
2001-01-24,187.53457533479568
2001-01-25,189.37572585710527
2001-01-26,188.39764656033577
2001-01-29,188.91350028150484
2001-01-30,188.6825265511105
2001-01-31,190.1253550433735
2001-02-01,190.26631664547014
2001-02-02,190.21443598553938
2001-02-05,186.00749510188012
2001-02-06,188.46878482514788
2001-02-07,187.50194514522818
2001-02-08,189.1517000758045
2001-02-09,187.30306355724264
2001-02-12,187.72181903537373
2001-02-13,190.60126133332554
2001-02-14,190.66821260307145
2001-02-15,192.31134877654918
2001-02-16,189.87861108331037
2001-02-19,188.40992179292562
2001-02-20,190.471729062899
2001-02-21,190.6446750697061
2001-02-22,190.07303696545105
2001-02-23,190.55819191674956
2001-02-26,193.1395072479292
2001-02-27,191.13904050912697
2001-02-28,191.7704121424703
2001-03-01,187.7199161012468
2001-03-02,186.0204550094024
2001-03-05,187.08159120875024
2001-03-06,186.6957642344872
2001-03-07,186.79995249786683
2001-03-08,185.4386491570451
2001-03-09,184.87244470036126
2001-03-12,180.8816667583215
2001-03-13,176.83422483730206
2001-03-14,177.00892429441294
2001-03-15,178.58527570962326
2001-03-16,179.48969565610224
2001-03-19,179.09985425571855
2001-03-20,177.63588473101254
2001-03-21,175.04248399964357
2001-03-22,172.95996051437487
2001-03-23,172.0881955244374
2001-03-26,175.05925617366972
2001-03-27,173.69124604810224
2001-03-28,175.24356171527137
2001-03-29,175.23441340483745
2001-03-30,174.6907634031267
2001-04-02,174.3647041798341
2001-04-03,172.65629791166972
2001-04-04,168.6096591192356
2001-04-05,171.49611076360506
2001-04-06,171.48735016669835
2001-04-09,166.98051439876167
2001-04-10,169.53943168101387
2001-04-11,174.5523185604442
2001-04-12,175.04010091850498
2001-04-13,175.04010091850498
2001-04-16,176.9966246895961
2001-04-17,174.43363690566161
2001-04-18,175.89140076427924
2001-04-19,180.6365999445218
2001-04-20,179.17262560048204
2001-04-23,178.97160540147837
2001-04-24,178.28307503557747
2001-04-25,177.1455778744643
2001-04-26,177.75868695692228
2001-04-27,179.95710613126815
2001-04-30,183.3038527959053
2001-05-01,183.4433809176813
2001-05-02,185.01835195229162
2001-05-03,185.67631587781983
2001-05-04,182.79212587291633
2001-05-07,184.64605979744087
2001-05-08,185.3984457290435
2001-05-09,185.46034911673797
2001-05-10,189.17740691869895
2001-05-11,191.17732949327092
2001-05-14,188.84519637579106
2001-05-15,188.05691442741124
2001-05-16,186.66632949320362
2001-05-17,190.30432402966855
2001-05-18,189.81789049824525
2001-05-21,193.50932363774348
2001-05-22,195.15611217492076
2001-05-23,195.71030605714765
2001-05-24,195.14358061949713
2001-05-25,195.6997529036043
2001-05-28,194.6746659330411
2001-05-29,195.17151642229354
2001-05-30,192.3513955396874
2001-05-31,190.83915088554366
2001-06-01,191.97183110298982
2001-06-04,193.774606914276
2001-06-05,195.01842170703955
2001-06-06,197.62685990004604
2001-06-07,199.5535237556812
2001-06-08,201.15008546412093
2001-06-11,201.29367372119492
2001-06-12,199.72142682518677
2001-06-13,199.8941543652575
2001-06-14,197.26573704825387
2001-06-15,196.2548222296086
2001-06-18,194.0820696044573
2001-06-19,194.62038010665276
2001-06-20,195.44999510747334
2001-06-21,195.72645452018776
2001-06-22,196.5557717894841
2001-06-25,194.08094695952735
2001-06-26,194.6686562883183
2001-06-27,193.64025513362657
2001-06-28,194.2047702123382
2001-06-29,197.49024423000375
2001-07-02,195.58140889260739
2001-07-03,197.03019914070717
2001-07-04,197.85174441423328
2001-07-05,196.34424241820898
2001-07-06,191.3364825261874
2001-07-09,188.20657519208964
2001-07-10,188.7826988816404
2001-07-11,187.10326284514616
