Date,PACIFIC VALUE
1998-12-31,100.0
1999-01-29,104.16065363834424
1999-02-26,104.96416209933078
1999-03-31,121.54014006664913
1999-04-30,132.85337416679045
1999-05-31,126.35884106956398
1999-06-30,139.38537652619763
1999-07-30,143.5889360445223
1999-08-31,144.55099399365378
1999-09-30,148.5727221128656
1999-10-29,154.76999256237576
1999-11-30,162.3159192528864
1999-12-31,169.80833823341473
2000-01-31,170.24017970461884
2000-02-29,163.791586051375
2000-03-31,183.7457500962702
2000-04-28,186.35414923498038
2000-05-31,178.7064201426082
2000-06-30,185.47546962814454
2000-07-31,175.87087095262612
2000-08-31,190.08297396500078
2000-09-29,188.4182887765641
2000-10-31,192.26865205519132
2000-11-30,179.91345515777843
2000-12-29,164.56565848504968
2001-01-01,164.56565848504968
2001-01-02,162.85041006608625
2001-01-03,162.98721999527478
2001-01-04,161.91864665469197
2001-01-05,161.9337028085624
2001-01-08,161.84848627467835
2001-01-09,160.840815559679
2001-01-10,158.99926968259243
2001-01-11,152.91607587163472
2001-01-12,152.29753688824047
2001-01-15,152.70139684998674
2001-01-16,155.96102333711323
2001-01-17,159.12805188940624
2001-01-18,158.43000250956015
2001-01-19,160.12503141504945
2001-01-22,160.68656420866515
2001-01-23,159.58667105196287
2001-01-24,160.79932177923888
2001-01-25,162.13766086253773
2001-01-26,161.17511273108818
2001-01-29,162.907324660241
2001-01-30,162.6097796290033
2001-01-31,162.5395402536898
2001-02-01,162.33774851450065
2001-02-02,161.59242147223353
2001-02-05,158.4830903612277
2001-02-06,159.45793395504225
2001-02-07,158.71733409467052
2001-02-08,159.41281920129785
2001-02-09,158.86542889979393
2001-02-12,158.18042045274194
2001-02-13,160.192307777603
2001-02-14,161.65481737496236
2001-02-15,165.465467109413
2001-02-16,162.1431191443601
2001-02-19,159.41714086683615
2001-02-20,162.8097660526897
2001-02-21,160.9071239509793
2001-02-22,163.28783298958325
2001-02-23,164.91018679499086
2001-02-26,166.2913757377394
2001-02-27,164.13520106909533
2001-02-28,162.48838506767194
2001-03-01,160.0195409198691
2001-03-02,154.11870946556223
2001-03-05,154.88677233031612
2001-03-06,156.88137531072272
2001-03-07,157.2977998118126
2001-03-08,157.01323406618556
2001-03-09,156.88577911824493
2001-03-12,152.8376479412204
2001-03-13,150.93385186479892
2001-03-14,148.5908912440219
2001-03-15,151.27894170322173
2001-03-16,151.87639566542887
2001-03-19,152.31466494108184
2001-03-20,150.99021347417178
2001-03-21,158.3488678301862
2001-03-22,156.60651744295035
2001-03-23,157.3722958368854
2001-03-26,161.417935769787
2001-03-27,160.81790794231563
2001-03-28,165.16332138761183
2001-03-29,161.05864139142335
2001-03-30,158.41971339146508
2001-04-02,156.44914890280768
2001-04-03,159.38711029271906
