Date,EAFE + CANADA VALUE
1998-12-31,100.0
1999-01-29,102.37763408793579
1999-02-26,104.21295838322246
1999-03-31,113.23557892906221
1999-04-30,123.84861142414482
1999-05-31,118.21002715698562
1999-06-30,124.15308882659436
1999-07-30,124.12505106086388
1999-08-31,126.07385183822329
1999-09-30,125.49548245609283
1999-10-29,129.9077250692713
1999-11-30,135.13966316715454
1999-12-31,144.71874303958043
2000-01-31,138.03340406749265
2000-02-29,139.4782950896215
2000-03-31,148.83530674997291
2000-04-28,150.61269811895167
2000-05-31,149.8835251755144
2000-06-30,151.08554190380735
2000-07-31,152.94904521238695
2000-08-31,161.02643789331404
2000-09-29,157.64104501611425
2000-10-31,164.07032407914468
2000-11-30,154.9966070023773
2000-12-29,151.53644903263805
2001-01-01,151.53644903263805
2001-01-02,149.92276220714874
2001-01-03,149.36282113392275
2001-01-04,150.8031966428448
2001-01-05,150.42740079355593
2001-01-08,150.21469483411957
2001-01-09,149.38918024117996
2001-01-10,148.1096516413693
2001-01-11,147.05769593809424
2001-01-12,146.87340869213014
2001-01-15,147.46267531837992
2001-01-16,147.33355213093145
2001-01-17,150.02252455678914
2001-01-18,148.83001290673886
2001-01-19,149.20869761315828
2001-01-22,149.751336699309
2001-01-23,149.5857922849152
2001-01-24,151.32086259814992
2001-01-25,152.38306123630787
2001-01-26,152.16211631932572
2001-01-29,153.25610578601453
2001-01-30,153.36214613414816
2001-01-31,153.11220752717392
2001-02-01,152.1054185248218
2001-02-02,151.8393233498151
2001-02-05,151.00180416094415
2001-02-06,151.91322344289105
2001-02-07,150.7907375626921
2001-02-08,151.3015221532339
2001-02-09,150.1619716283738
2001-02-12,150.50741739484312
2001-02-13,151.34805795111313
2001-02-14,151.4525061493603
2001-02-15,153.25162053276864
2001-02-16,150.479093942752
2001-02-19,149.51536061324364
2001-02-20,149.91960032553823
2001-02-21,148.12791203308464
2001-02-22,148.68301835364835
2001-02-23,147.9187899725254
2001-02-26,148.69656036049304
2001-02-27,148.0322379895235
2001-02-28,147.39728870342913
2001-03-01,145.93545117943452
2001-03-02,144.19830587927726
2001-03-05,145.582922654911
2001-03-06,147.40126608086035
2001-03-07,147.8931936300196
2001-03-08,147.72602997999232
2001-03-09,146.7497967742202
2001-03-12,144.05781469070615
2001-03-13,142.6955434235163
2001-03-14,140.57303538046725
2001-03-15,142.54104930660287
2001-03-16,140.55997531447113
2001-03-19,140.0404137661947
2001-03-20,140.76239298558534
2001-03-21,140.75596497371552
2001-03-22,136.56825994100788
2001-03-23,137.77148555475543
2001-03-26,141.8803039772316
2001-03-27,144.10574764880872
2001-03-28,144.10227043154563
2001-03-29,143.75513440806668
2001-03-30,143.64698795275015
2001-04-02,143.0735733956649
2001-04-03,140.97634863411673
2001-04-04,141.06635133044406
2001-04-05,143.60444592105375
2001-04-06,143.2211856353035
2001-04-09,143.6966652423888
2001-04-10,146.59385345636161
2001-04-11,147.77433711959117
2001-04-12,147.78893335329025
2001-04-13,147.68846381096046
2001-04-16,148.08283361800147
2001-04-17,147.83678751595204
