Date,EAFE SMALL CAP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1002.1516919032881
2001-06-04,1001.2078505828011
2001-06-05,1003.4054706454658
2001-06-06,1005.0859279589429
2001-06-07,1004.8529265352564
2001-06-08,1007.0033379846454
2001-06-11,1008.4802743617014
2001-06-12,997.4650940534721
2001-06-13,999.3369495039
2001-06-14,994.0892668166971
2001-06-15,984.2065132856873
2001-06-18,981.6304711439526
2001-06-19,983.2771284157172
2001-06-20,980.8665510062459
2001-06-21,982.173617835807
2001-06-22,984.5136078318285
2001-06-25,982.8000163438957
2001-06-26,984.3254480805944
2001-06-27,982.1188503358239
2001-06-28,983.6549074573647
2001-06-29,989.7652087495939
2001-07-02,986.8657738816535
2001-07-03,988.2822998706823
2001-07-04,987.370614104088
2001-07-05,988.4346712555574
2001-07-06,975.1975602401974
2001-07-09,967.2981944908536
2001-07-10,966.9283776658833
2001-07-11,960.1418666190966
2001-07-12,970.9149363163604
2001-07-13,970.3204267089828
2001-07-16,966.6732622105515
2001-07-17,964.1656346440341
2001-07-18,950.5674342817166
2001-07-19,954.4334776146483
2001-07-20,953.6058664025867
2001-07-23,947.2071707823326
2001-07-24,943.1055150823732
2001-07-25,939.5697347001093
2001-07-26,941.7504810344244
2001-07-27,945.1906636710559
2001-07-30,938.4898815236877
2001-07-31,943.2012000725764
2001-08-01,947.8702574671306
2001-08-02,953.6717560424592
2001-08-03,949.5181454191542
2001-08-06,951.7996049992291
2001-08-07,954.353846074737
2001-08-08,955.5428882011792
2001-08-09,941.4447997407287
2001-08-10,941.836833787144
2001-08-13,937.4837272330499
2001-08-14,945.2182750653078
2001-08-15,942.8740488536741
2001-08-16,938.8846117416367
2001-08-17,937.6615054281854
2001-08-20,934.2893162309664
2001-08-21,940.2904259421366
2001-08-22,939.34587576666
2001-08-23,941.0904158671275
2001-08-24,941.5790812721284
2001-08-27,947.3275567786018
2001-08-28,945.1243258708503
2001-08-29,944.9420229659645
2001-08-30,940.0737935090099
2001-08-31,935.6995514700113
2001-09-03,927.5409110445989
2001-09-04,936.7991259537847
2001-09-05,928.7820767550253
2001-09-06,921.3169850550113
2001-09-07,910.6549661438282
2001-09-10,894.3385740066688
2001-09-11,881.5848293697547
2001-09-12,851.1989993821111
2001-09-13,854.6169117252471
2001-09-14,850.5161144230838
2001-09-17,829.3271168835164
2001-09-18,829.2885053496503
2001-09-19,828.4586816780424
2001-09-20,816.8708671123675
2001-09-21,801.8211220058882
2001-09-24,809.3487416694354
2001-09-25,815.3324150121243
2001-09-26,820.2485114977557
2001-09-27,816.904591128084
2001-09-28,833.9933567387428
2001-10-01,834.5360437199787
2001-10-02,833.6424382654161
2001-10-03,834.0406964044063
2001-10-04,847.6325625845818
2001-10-05,846.554082589082
2001-10-08,843.6155321523024
2001-10-09,841.8186050423925
2001-10-10,845.0765211097553
2001-10-11,859.4188665872699
2001-10-12,863.5904607336615
2001-10-15,864.2962561033761
2001-10-16,867.0614012315734
2001-10-17,871.9681805326338
2001-10-18,865.8176124570509
2001-10-19,865.8181147353758
2001-10-22,867.0929641443846
2001-10-23,873.451500618431
2001-10-24,874.573320520415
2001-10-25,877.0150778734477
2001-10-26,877.6570317455235
2001-10-29,871.7949404281317
2001-10-30,863.8331322715675
2001-10-31,869.3109798607121
2001-11-01,865.1001338403792
2001-11-02,868.1242736938722
2001-11-05,875.6232695768002
2001-11-06,881.1707078620838
2001-11-07,880.6153419261979
2001-11-08,886.829280905145
2001-11-09,884.3311147599055
2001-11-12,881.5203061968932
2001-11-13,889.3659271362359
2001-11-14,890.2040857801303
2001-11-15,894.4612158220946
2001-11-16,891.9003544313989
2001-11-19,896.9011724499114
2001-11-20,892.7541471167353
2001-11-21,896.6117490354129
2001-11-22,893.8619393913542
2001-11-23,896.6255338061062
2001-11-26,901.1528414800383
2001-11-27,899.3425880860934
2001-11-28,894.7899767843667
2001-11-29,891.2076745239729
2001-11-30,889.1396619831003
2001-12-03,883.1799107611536
2001-12-04,880.2314683785717
2001-12-05,886.6793163057339
2001-12-06,888.9788607258648
2001-12-07,887.6528021782767
2001-12-10,887.1329670669942
2001-12-11,884.1070369294517
2001-12-12,883.6825713398268
2001-12-13,876.7822746878353
2001-12-14,867.013049930495
2001-12-17,860.9009952142322
2001-12-18,859.945939121119
2001-12-19,857.6166416907138
2001-12-20,860.0325599371897
2001-12-21,867.541344396415
2001-12-24,874.1365217000167
2001-12-25,874.280127224349
2001-12-26,871.5445713774731
2001-12-27,871.5464072489475
2001-12-28,881.050822583774
2001-12-31,877.9807253071924
2002-01-01,877.9807253071926
2002-01-02,868.7834856499582
2002-01-03,875.936678778076
2002-01-04,885.5264413630451
2002-01-07,888.048119958075
2002-01-08,884.8707259499803
2002-01-09,883.1309499685661
2002-01-10,876.7602606913941
2002-01-11,878.6557830549326
2002-01-14,875.2864583795613
2002-01-15,873.3085062810866
2002-01-16,877.3929855007043
2002-01-17,876.6787820663993
2002-01-18,878.6300074890182
2002-01-21,884.6058419862778
2002-01-22,881.7546366858138
2002-01-23,878.5111829079638
2002-01-24,882.2094589225884
2002-01-25,886.9542494220908
2002-01-28,892.9460547976062
2002-01-29,891.5647707198772
2002-01-30,887.8464858201579
2002-01-31,890.4389148439169
2002-02-01,891.7211393555484
2002-02-04,888.9568514267797
2002-02-05,882.0553322252753
2002-02-06,880.8715753910982
2002-02-07,880.0344141640575
2002-02-08,880.4413552812977
2002-02-11,882.5034418344588
2002-02-12,891.1110911511521
2002-02-13,895.1414681975635
2002-02-14,902.6138781731441
2002-02-15,900.8111940860651
2002-02-18,902.625707159817
2002-02-19,894.0744497953808
2002-02-20,893.8954250894601
2002-02-21,899.9799136600201
2002-02-22,896.2019651968443
2002-02-25,902.3761865141327
2002-02-26,906.1076385355079
2002-02-27,915.0554153853113
2002-02-28,915.7668286993277
2002-03-01,920.4316232696146
2002-03-04,932.8527384124618
2002-03-05,933.2156799619814
2002-03-06,932.2582369515818
2002-03-07,943.9108196732905
2002-03-08,947.3367862896199
2002-03-11,950.909180802146
2002-03-12,947.1463514315751
2002-03-13,940.6182108991104
2002-03-14,940.2714772804727
2002-03-15,943.8134512252301
2002-03-18,944.3673142270259
2002-03-19,946.6597516438943
2002-03-20,947.1694132007622
2002-03-21,949.6939024848622
2002-03-22,954.4238167085445
2002-03-25,954.1089557558636
2002-03-26,952.4017254754582
2002-03-27,958.7367494837804
2002-03-28,961.2073976649914
2002-03-29,956.7868914472332
2002-04-01,950.6658314458357
2002-04-02,949.3489436580153
2002-04-03,953.0779152523216
2002-04-04,957.354395314043
2002-04-05,964.5697851636538
2002-04-08,967.5862275909435
2002-04-09,966.373043185144
2002-04-10,969.8784884849122
2002-04-11,964.5178563016673
2002-04-12,965.511168117761
2002-04-15,967.1546904478848
2002-04-16,971.7656795269651
2002-04-17,975.5282928278198
2002-04-18,977.9923372653927
2002-04-19,981.641239940304
2002-04-22,985.9011199738704
2002-04-23,986.5352272128766
2002-04-24,987.0071581744421
2002-04-25,984.3689752010932
2002-04-26,984.5239783181007
2002-04-29,981.0235592206212
2002-04-30,980.0919442553943
2002-05-01,982.7979973066592
2002-05-02,988.0681194096504
2002-05-03,984.7273540491884
