Date,WORLD IMI VALUE WEIGHTED
1998-12-31,582.2829935045205
1999-01-01,582.2994041849455
1999-01-04,583.3239597117368
1999-01-05,587.8308373555433
1999-01-06,601.0827074305794
1999-01-07,603.4647220459282
1999-01-08,609.4613686848928
1999-01-11,608.480917660573
1999-01-12,598.7785598383026
1999-01-13,581.4565851629335
1999-01-14,578.4906678833545
1999-01-15,589.7098943654104
1999-01-18,593.6470888865555
1999-01-19,594.3241730783633
1999-01-20,598.2425129577235
1999-01-21,593.2637626534827
1999-01-22,585.3275143335478
1999-01-25,587.4076787638888
1999-01-26,589.7145279709449
1999-01-27,590.2644027660269
1999-01-28,596.4271508960235
1999-01-29,603.6672069308194
1999-02-01,608.7177731686556
1999-02-02,605.7452033900505
1999-02-03,605.6475620049255
1999-02-04,604.5318139533572
1999-02-05,601.7594365579389
1999-02-08,602.5104365811783
1999-02-09,591.4639139181915
1999-02-10,588.6255194456514
1999-02-11,596.5936206291632
1999-02-12,595.3680133146203
1999-02-15,597.2584930916705
1999-02-16,599.8713936037037
1999-02-17,592.474548596805
1999-02-18,594.4216417348898
1999-02-19,599.6402546836587
1999-02-22,611.0569104550805
1999-02-23,614.17479750285
1999-02-24,613.2594792459006
1999-02-25,607.0833463273012
1999-02-26,609.8152961424378
1999-03-01,608.4719361817899
1999-03-02,606.3092610073247
1999-03-03,605.3676419037641
1999-03-04,612.8142582799965
1999-03-05,625.7421051040344
1999-03-08,624.865208066662
1999-03-09,626.1957837699936
1999-03-10,629.5137195583696
1999-03-11,639.9785777438163
1999-03-12,636.4334761506595
1999-03-15,639.9858284652491
1999-03-16,644.501615184147
1999-03-17,639.6414280077131
1999-03-18,641.3251761305233
1999-03-19,647.2690613191022
1999-03-22,646.2277471743229
1999-03-23,637.0460079050011
1999-03-24,633.0280544190798
1999-03-25,643.523783687484
1999-03-26,647.7353759634761
1999-03-29,655.0394329578477
1999-03-30,649.465439028187
1999-03-31,649.4579060293962
1999-04-01,651.1526908385276
1999-04-02,651.7921514745983
1999-04-05,658.4755087888576
