Date,WORLD ex USA SMALL CAP MOMENTUM
1999-05-31,1000.0
1999-06-01,1007.9597580679414
1999-06-02,1019.8875038120968
1999-06-03,1021.0129442358602
1999-06-04,1027.950881621674
1999-06-07,1039.5695270862416
1999-06-08,1035.5196126994297
1999-06-09,1042.2209439507665
1999-06-10,1044.9838564122704
1999-06-11,1052.7422844093091
1999-06-14,1052.114950470446
1999-06-15,1047.1730021553963
1999-06-16,1063.1825188702037
1999-06-17,1077.7382754167193
1999-06-18,1074.0395250181423
1999-06-21,1087.5395997685218
1999-06-22,1093.6181624439187
1999-06-23,1098.330176509696
1999-06-24,1089.6340257464283
1999-06-25,1078.3251224039902
1999-06-28,1089.334491648231
1999-06-29,1098.7016276714207
1999-06-30,1100.3501541828787
1999-07-01,1123.8615400649821
1999-07-02,1137.7684587799263
1999-07-05,1139.121683548236
1999-07-06,1137.8399374322812
1999-07-07,1132.6135837115573
1999-07-08,1133.4910878536286
1999-07-09,1133.081056603256
1999-07-12,1146.207026175139
1999-07-13,1143.307502853254
1999-07-14,1146.4300913778047
1999-07-15,1150.9922273228487
1999-07-16,1145.8021829131076
1999-07-19,1155.163857436016
1999-07-20,1134.3029422857421
1999-07-21,1118.8578876146082
1999-07-22,1111.2364113874007
1999-07-23,1103.3570615294984
1999-07-26,1085.9680562377062
1999-07-27,1083.4516023985573
1999-07-28,1098.8077093435245
1999-07-29,1103.830065886234
1999-07-30,1107.4768575522287
1999-08-02,1104.5190913716274
1999-08-03,1104.206628677786
1999-08-04,1101.9781659495804
1999-08-05,1082.43747471129
1999-08-06,1079.7177744631695
1999-08-09,1083.473971676762
1999-08-10,1080.5453628001108
1999-08-11,1085.5326366062047
1999-08-12,1096.7918140749434
1999-08-13,1106.756217635022
1999-08-16,1125.242355294206
1999-08-17,1131.4541984985087
1999-08-18,1148.1382551054767
1999-08-19,1143.4658474746586
1999-08-20,1145.5476453883
1999-08-23,1154.514456963223
1999-08-24,1160.0473160204633
1999-08-25,1170.9476263383217
1999-08-26,1165.1392071154833
1999-08-27,1162.5700553575
1999-08-30,1170.333929330263
1999-08-31,1166.6272319565858
1999-09-01,1172.4930565167224
1999-09-02,1167.6286718786057
1999-09-03,1172.421187057983
1999-09-06,1186.0030859278163
1999-09-07,1181.824655656268
1999-09-08,1177.5551928360014
1999-09-09,1195.4877141900192
1999-09-10,1210.1375957525408
1999-09-13,1232.5146294606413
1999-09-14,1223.5880122431622
1999-09-15,1225.632472549031
1999-09-16,1207.298565273667
1999-09-17,1202.2941907462643
1999-09-20,1203.9577780655582
1999-09-21,1198.7853509803344
1999-09-22,1179.5401577530447
1999-09-23,1187.9426189080148
1999-09-24,1162.2885159962614
1999-09-27,1158.2358906473235
1999-09-28,1163.549879212226
1999-09-29,1147.744708310741
1999-09-30,1160.1009207729987
1999-10-01,1171.0239781886946
1999-10-04,1168.0256035682057
1999-10-05,1170.3416089299676
1999-10-06,1166.7135233611298
1999-10-07,1177.0246389242584
1999-10-08,1182.6496272753573
1999-10-11,1186.7326680853396
1999-10-12,1177.9426434343436
1999-10-13,1156.6858223764277
1999-10-14,1157.7091805246832
1999-10-15,1137.4339049376752
1999-10-18,1107.5008944557999
1999-10-19,1108.4851704144903
1999-10-20,1131.2523531201566
1999-10-21,1123.639223778355
1999-10-22,1137.4276357398874
1999-10-25,1144.9268612749606
1999-10-26,1148.9474976329257
1999-10-27,1153.4735882813122
1999-10-28,1153.366171042022
1999-10-29,1171.4438571330847
1999-11-01,1172.9044248172604
1999-11-02,1178.7538036175836
1999-11-03,1178.5524960612058
1999-11-04,1192.0802381363205
1999-11-05,1189.7840343979829
1999-11-08,1187.7456506851947
1999-11-09,1189.708899166252
1999-11-10,1194.948825777213
1999-11-11,1189.8091912425962
1999-11-12,1193.0891419482662
1999-11-15,1195.9602502877797
1999-11-16,1193.3655354986608
1999-11-17,1200.673183962204
1999-11-18,1212.3102977746225
1999-11-19,1219.3829286952632
1999-11-22,1223.2718595615406
1999-11-23,1228.551215042883
1999-11-24,1230.2079661643245
1999-11-25,1224.7666354812118
1999-11-26,1243.3144667349663
1999-11-29,1252.031997265299
1999-11-30,1245.3743802138224
1999-12-01,1234.6884679447157
1999-12-02,1237.5533130154934
1999-12-03,1258.8180362765643
1999-12-06,1248.3521772320275
1999-12-07,1265.8375795743234
1999-12-08,1265.0723608889696
1999-12-09,1275.6503919491133
1999-12-10,1275.7404303276935
1999-12-13,1279.1671911608555
1999-12-14,1272.1683906342016
1999-12-15,1262.0100666861294
1999-12-16,1268.6030309148036
1999-12-17,1273.1200947693599
1999-12-20,1262.372540457174
1999-12-21,1254.3139699398375
1999-12-22,1270.2525741866355
1999-12-23,1270.1585089433497
1999-12-24,1278.0576676672224
1999-12-27,1275.1435908375888
1999-12-28,1274.1040505162675
1999-12-29,1280.614729698567
1999-12-30,1294.275743379193
1999-12-31,1295.2457193818086
2000-01-03,1292.852055723433
2000-01-04,1266.121831109491
2000-01-05,1222.978872198078
2000-01-06,1219.6390297074922
2000-01-07,1228.89678539584
2000-01-10,1249.3894098137646
2000-01-11,1266.1166274975315
2000-01-12,1259.7537038038872
2000-01-13,1262.6454163670091
2000-01-14,1280.6655976718498
2000-01-17,1312.6902955153628
2000-01-18,1304.5303125292012
2000-01-19,1285.1284392878079
2000-01-20,1289.5977947936806
2000-01-21,1289.7836268206852
2000-01-24,1291.4049884517106
2000-01-25,1269.969197500795
2000-01-26,1285.3753917859328
2000-01-27,1315.572265506992
2000-01-28,1325.3621743396682
2000-01-31,1315.698864095323
2000-02-01,1322.4231527170566
2000-02-02,1329.3177937153187
2000-02-03,1325.712301127678
2000-02-04,1343.4047874094333
2000-02-07,1356.0590833057522
2000-02-08,1347.9632991918834
2000-02-09,1358.6806020850706
2000-02-10,1362.3084552443447
2000-02-11,1365.8375771525127
2000-02-14,1363.1177452531874
2000-02-15,1351.854358979795
2000-02-16,1347.795764052755
2000-02-17,1348.784089760369
2000-02-18,1358.0125845156094
2000-02-21,1345.2902652900314
2000-02-22,1313.078712133277
2000-02-23,1326.6479602834522
2000-02-24,1346.143476375692
2000-02-25,1379.4738464980821
2000-02-28,1408.2393231994488
2000-02-29,1414.740824941878
2000-03-01,1441.722065900046
2000-03-02,1442.2084348696392
2000-03-03,1446.710079515831
2000-03-06,1435.6934070078687
2000-03-07,1435.8674358262358
2000-03-08,1431.4917405695765
2000-03-09,1429.3402642877452
2000-03-10,1433.2546355955744
2000-03-13,1379.4236394022075
