Date,BRAZIL MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1003.7146685302057
2001-06-04,1020.2988465122695
2001-06-05,1014.870500756158
2001-06-06,1011.4772804760175
2001-06-07,1011.8747883695436
2001-06-08,1017.6163531708273
2001-06-11,1014.8839353409658
2001-06-12,996.2389706617006
2001-06-13,993.273309829048
2001-06-14,978.9379348908061
2001-06-15,962.610228533565
2001-06-18,914.8084757871184
2001-06-19,919.6566802360142
2001-06-20,933.9594193131564
2001-06-21,958.8243229362073
2001-06-22,990.3787682775405
2001-06-25,989.165613356997
2001-06-26,980.4826770072456
2001-06-27,965.652740014748
2001-06-28,1001.4365144107812
2001-06-29,1010.6445579333688
2001-07-02,1001.9414434591126
2001-07-03,976.2709867145321
2001-07-04,943.7451648688984
2001-07-05,940.9573502347099
2001-07-06,901.0630301158474
2001-07-09,915.1189568048449
2001-07-10,873.9474270152878
2001-07-11,860.3863474535636
2001-07-12,883.0716733084724
2001-07-13,887.1644765701501
2001-07-16,856.043594669714
2001-07-17,893.7429375897932
2001-07-18,886.1653555068543
2001-07-19,873.9745194261465
2001-07-20,891.2603517955928
2001-07-23,922.2997756266153
2001-07-24,901.052771696843
2001-07-25,879.8954172081335
2001-07-26,879.068365568941
2001-07-27,887.5957628417544
2001-07-30,895.9965089633072
2001-07-31,907.6437571404413
2001-08-01,873.4346986222521
2001-08-02,876.1741408827962
2001-08-03,875.3428742492553
2001-08-06,900.5587648997408
2001-08-07,913.5402350169761
2001-08-08,906.2569037995607
2001-08-09,893.7662748382365
2001-08-10,888.2726268096
2001-08-13,872.952550520393
2001-08-14,869.3300591175964
2001-08-15,855.0080130069855
2001-08-16,851.146025536802
2001-08-17,811.9065383627577
2001-08-20,813.2880697078815
2001-08-21,802.8256755347516
2001-08-22,801.736217576574
2001-08-23,800.7386618160543
2001-08-24,803.0553384111017
2001-08-27,805.4158284323785
2001-08-28,806.013291092512
2001-08-29,814.0775547863877
2001-08-30,805.1335722853418
2001-08-31,803.0277175702838
2001-09-03,792.6371784268539
2001-09-04,811.8580896599311
2001-09-05,821.4531484746358
2001-09-06,798.9776827335963
2001-09-07,791.2592927825016
2001-09-10,776.5270874498759
2001-09-11,702.7102830518749
2001-09-12,713.757873930582
2001-09-13,645.9577101326673
2001-09-14,631.9496987300232
2001-09-17,679.3541214875969
2001-09-18,678.6348330950223
2001-09-19,669.2399218876001
2001-09-20,642.0242514943936
2001-09-21,629.1440843247625
2001-09-24,641.2086530394694
