Date,CHINA ALL SHARES MINIMUM VOLATILITY(CNY)
2008-11-25,1000.0
2008-11-26,1018.6934779511319
2008-11-27,1031.8840935906683
2008-11-28,1044.8415899901688
2008-12-01,1060.2828751506822
2008-12-02,1028.345579259853
2008-12-03,1064.9629746889646
2008-12-04,1065.569361157269
2008-12-05,1078.8736311325692
2008-12-08,1107.0984305657664
2008-12-09,1088.31637244918
2008-12-10,1120.1405322738185
2008-12-11,1084.618302856327
2008-12-12,1029.8923190553062
2008-12-15,1019.9953967204041
2008-12-16,1020.4073277155491
2008-12-17,1003.7795399648863
2008-12-18,1005.1278707073618
2008-12-19,1037.4740418086924
2008-12-22,1020.4193778024886
2008-12-23,984.458103894767
2008-12-24,977.6680128496499
2008-12-25,973.206832907661
2008-12-26,965.7593727799217
2008-12-29,958.5654462135747
2008-12-30,961.9540635036045
2008-12-31,983.5756597466656
2009-01-01,983.5756597466656
2009-01-02,998.1326301545796
2009-01-05,1046.9567322407433
2009-01-06,1070.3073509816206
2009-01-07,1023.0674285860953
2009-01-08,982.5630109352234
2009-01-09,1003.9905193359735
2009-01-12,999.5004526919533
2009-01-13,995.3919507225809
2009-01-14,1020.3925048262065
2009-01-15,1013.9579360627512
2009-01-16,1014.8270281677064
2009-01-19,1034.8359017332689
2009-01-20,1043.78863281806
2009-01-21,1034.6118441727838
2009-01-22,1034.2167131996316
2009-01-23,1042.3738327661606
2009-01-26,1015.2466708451759
2009-01-27,1012.0427422161974
2009-01-28,1008.0895199294299
2009-01-29,1032.7259672354007
2009-01-30,1061.757394782088
2009-02-02,1053.7017023121812
2009-02-03,1055.7998606543692
2009-02-04,1085.5974376688775
2009-02-05,1087.534356470386
2009-02-06,1119.979549835149
2009-02-09,1115.6886931641086
2009-02-10,1127.9179879698675
2009-02-11,1132.2385391279404
2009-02-12,1131.760045822846
2009-02-13,1146.801326223438
2009-02-16,1172.4998663073138
2009-02-17,1159.5615831760238
2009-02-18,1141.648847478599
2009-02-19,1135.6052572667647
2009-02-20,1140.6082756174474
2009-02-23,1155.4023955521618
2009-02-24,1115.1211974729504
2009-02-25,1129.4641400107887
2009-02-26,1092.3680673206077
2009-02-27,1088.3243052997798
2009-03-02,1082.1571597435177
2009-03-03,1077.9192244791493
2009-03-04,1126.4221779794577
2009-03-05,1131.4185685672892
2009-03-06,1112.8690400107914
2009-03-09,1095.2997842853586
2009-03-10,1100.9430651668713
2009-03-11,1100.8504229315647
2009-03-12,1095.7714393957688
2009-03-13,1098.1495115421767
2009-03-16,1111.0886665714888
2009-03-17,1122.24205039404
2009-03-18,1116.0952933999433
2009-03-19,1081.567037796726
2009-03-20,1081.3003961796653
2009-03-23,1112.1357758588572
2009-03-24,1124.2444668957667
2009-03-25,1105.1856175268738
2009-03-26,1137.1478153626947
