Date,CHINA A MINIMUM VOLATILITY (USD)
2008-11-25,1000.0
2008-11-26,1011.8284509418615
2008-11-27,1024.9412258041802
2008-11-28,1020.05898283601
2008-12-01,1031.7689116518707
2008-12-02,1017.974689622275
2008-12-03,1060.2024970667792
2008-12-04,1072.7862626426218
2008-12-05,1083.0137835377625
2008-12-08,1101.6863996062996
2008-12-09,1079.462132737946
2008-12-10,1099.6444645273737
2008-12-11,1057.738608704948
2008-12-12,1012.8009299021878
2008-12-15,999.695832790049
2008-12-16,997.0898144842112
2008-12-17,963.2770735059592
2008-12-18,972.0840644829291
2008-12-19,1011.9393229919717
2008-12-22,997.9270343206152
2008-12-23,960.7186127905039
2008-12-24,948.2017170268584
2008-12-25,939.2882872781208
2008-12-26,929.1979307759696
2008-12-29,914.7861346732966
2008-12-30,918.3867605425768
2008-12-31,934.3227579582318
2009-01-01,934.3227579582318
2009-01-02,932.0764674177121
2009-01-05,971.1988491305807
2009-01-06,1005.1919939406774
2009-01-07,975.8526786211631
2009-01-08,947.3982633398645
2009-01-09,973.3023532128551
2009-01-12,982.2420546304227
2009-01-13,977.6217169470968
2009-01-14,1007.797313830763
2009-01-15,1010.2762360360862
2009-01-16,1010.9067729665652
2009-01-19,1034.301452354274
2009-01-20,1054.7945466326694
2009-01-21,1049.6737560269862
2009-01-22,1049.6353628325442
2009-01-23,1058.9947063797206
2009-01-26,1031.4160892404198
2009-01-27,1028.3621297460286
2009-01-28,1024.279476100258
2009-01-29,1035.5955343820337
2009-01-30,1056.9700969137582
2009-02-02,1065.5412245889884
2009-02-03,1078.6268686089052
2009-02-04,1111.1022661530174
2009-02-05,1102.6468142195956
2009-02-06,1140.0696124926108
2009-02-09,1144.5100260815577
2009-02-10,1158.2759870816888
2009-02-11,1179.5694944330614
2009-02-12,1182.5555418551216
2009-02-13,1201.6306880737775
2009-02-16,1242.3254192559646
2009-02-17,1235.695080905959
2009-02-18,1185.0985976865077
2009-02-19,1177.7717949397304
2009-02-20,1200.47473541374
2009-02-23,1215.527410585774
2009-02-24,1160.84107113275
2009-02-25,1167.6786053578674
2009-02-26,1119.8825045574115
2009-02-27,1117.73623617394
2009-03-02,1130.2543873596383
2009-03-03,1117.0926247955852
2009-03-04,1183.5582038939926
2009-03-05,1193.3331358087116
2009-03-06,1170.1775132249709
2009-03-09,1136.700142514788
2009-03-10,1143.120315309088
2009-03-11,1130.950105295049
2009-03-12,1123.8337281956233
2009-03-13,1113.75214338791
2009-03-16,1117.7071965363234
2009-03-17,1150.4641121147024
2009-03-18,1139.0286692702985
2009-03-19,1106.3885869522387
2009-03-20,1114.7870953522465
2009-03-23,1133.4567172236195
2009-03-24,1145.4785098120594
2009-03-25,1121.831288936796
2009-03-26,1148.5632865418181
2009-03-27,1180.2305853225098
2009-03-30,1189.8115816106497
2009-03-31,1188.8766621292964
2009-04-01,1206.0087012030976
2009-04-02,1198.4397277977878
2009-04-03,1200.7854271265305
2009-04-06,1202.442485936156
2009-04-07,1218.4533865567594
2009-04-08,1183.436121754411
2009-04-09,1200.2797290660146
2009-04-10,1228.0898760985785
2009-04-13,1239.7239181273214
2009-04-14,1249.861191305453
2009-04-15,1261.6565890412217
2009-04-16,1259.7518527180616
2009-04-17,1256.4371865510311
2009-04-20,1296.9851459872068
2009-04-21,1283.992709245888
2009-04-22,1244.9642247759828
2009-04-23,1243.6697053207622
2009-04-24,1220.0999343615379
2009-04-27,1214.1238373737906
2009-04-28,1219.1851395513734
2009-04-29,1237.468960821206
2009-04-30,1240.337671630306
2009-05-01,1240.1504932296978
2009-05-04,1263.945603100189
2009-05-05,1266.1393604640516
2009-05-06,1276.7822597769107
