Date,CHINA MINIMUM VOLATILITY (USD)
2007-05-31,1000.0
2007-06-01,1012.8317867029234
2007-06-04,1011.2042618865137
2007-06-05,1016.3967638810934
2007-06-06,1021.5731035287779
2007-06-07,1022.3714647735396
2007-06-08,1017.6830760202531
2007-06-11,1025.1355102098307
2007-06-12,1028.8960640888524
2007-06-13,1027.4323854237552
2007-06-14,1045.5780639638936
2007-06-15,1057.0564636337515
2007-06-18,1089.461628993599
2007-06-19,1088.7140991568472
2007-06-20,1094.2550307601516
2007-06-21,1114.0707912134296
2007-06-22,1111.0457566021214
2007-06-25,1100.4798154189207
2007-06-26,1092.2210142452552
2007-06-27,1086.842619843694
2007-06-28,1097.4189543014716
2007-06-29,1094.322104674683
2007-07-02,1084.2619521264323
2007-07-03,1116.1791257197845
2007-07-04,1118.7813690189805
2007-07-05,1125.5703260443897
2007-07-06,1128.9936635257307
2007-07-09,1154.9860108842242
2007-07-10,1157.5352395014206
2007-07-11,1134.643864830824
2007-07-12,1140.737023929044
2007-07-13,1153.1457701950521
2007-07-16,1142.6003526450427
2007-07-17,1144.732350449002
2007-07-18,1124.1864478957118
2007-07-19,1130.5247055636628
2007-07-20,1151.5234388940748
2007-07-23,1165.190297567608
2007-07-24,1174.5021886819773
2007-07-25,1181.8865400795992
2007-07-26,1173.7060675113644
2007-07-27,1139.1418597351283
2007-07-30,1146.896459661424
2007-07-31,1173.9271595751957
2007-08-01,1130.4062671022216
2007-08-02,1122.557259197021
2007-08-03,1120.8434934799106
2007-08-06,1077.7623478091334
2007-08-07,1070.9965815598591
2007-08-08,1105.164845961249
2007-08-09,1119.6461624114384
2007-08-10,1085.054433434878
2007-08-13,1095.1297079316914
2007-08-14,1104.8209677392836
2007-08-15,1077.3626220011283
2007-08-16,1023.5029706742238
2007-08-17,983.607153453388
2007-08-20,1065.9610577657343
2007-08-21,1090.0394616267795
2007-08-22,1118.5975824545667
2007-08-23,1150.3418684556593
2007-08-24,1151.3489024749338
2007-08-27,1223.8659276373148
2007-08-28,1210.9579586429704
2007-08-29,1185.6198263251829
2007-08-30,1212.1496334556011
2007-08-31,1244.1179772449
2007-09-03,1249.0286614103
2007-09-04,1251.210265490203
2007-09-05,1243.960187124951
2007-09-06,1246.5379713109148
2007-09-07,1245.69038592571
