Date,CHINA A INTERNATIONAL MIN VOL (USD)
2008-11-25,1000.0
2008-11-26,1013.7228779365142
2008-11-27,1030.0997075575624
2008-11-28,1027.811052570651
2008-12-01,1044.086025401726
2008-12-02,1032.8267062005903
2008-12-03,1076.8030890499783
2008-12-04,1085.6532973425549
2008-12-05,1101.2533133192971
2008-12-08,1121.4895089477739
2008-12-09,1096.6890486599648
2008-12-10,1118.1329644719908
2008-12-11,1076.0043072233452
2008-12-12,1027.797558737871
2008-12-15,1009.8167903079385
2008-12-16,1011.5310641324315
2008-12-17,976.3936824842593
2008-12-18,985.4909883311936
2008-12-19,1025.8559913127733
2008-12-22,1009.3887738231758
2008-12-23,961.5449397346665
2008-12-24,944.4835570631142
2008-12-25,935.8756279073243
2008-12-26,925.5226870907185
2008-12-29,911.8227547291324
2008-12-30,913.6473197317887
2008-12-31,926.5571853552598
2009-01-01,926.5571853552599
2009-01-02,924.3295647359547
2009-01-05,970.1688056015506
2009-01-06,1013.3769883652458
2009-01-07,987.3308653315605
2009-01-08,961.8804274359603
2009-01-09,991.4335610251549
2009-01-12,1002.4684951838871
2009-01-13,993.1524579399056
2009-01-14,1030.1276466525933
2009-01-15,1035.304333660707
2009-01-16,1037.6461792721493
2009-01-19,1058.6896628849595
2009-01-20,1079.9387985869341
2009-01-21,1074.5261664027882
2009-01-22,1076.9983406481772
2009-01-23,1086.043076981775
2009-01-26,1057.7600591003531
2009-01-27,1054.6280967342664
2009-01-28,1050.4411657694636
2009-01-29,1062.0462537662286
2009-01-30,1083.9667558435729
2009-02-02,1100.371451899068
2009-02-03,1116.8021347032216
2009-02-04,1151.5934352655274
2009-02-05,1144.1126711406962
2009-02-06,1185.786680787088
2009-02-09,1198.8973980635292
2009-02-10,1218.54299124115
2009-02-11,1238.7978050159916
2009-02-12,1248.1652818863647
2009-02-13,1276.6752619323443
2009-02-16,1315.110210034889
2009-02-17,1296.105595919973
2009-02-18,1242.281123683063
2009-02-19,1242.4787217747867
2009-02-20,1271.3251871335551
2009-02-23,1291.0633535659852
2009-02-24,1231.6144451096502
2009-02-25,1233.4813375520687
2009-02-26,1170.729380400192
2009-02-27,1157.8831503376387
2009-03-02,1178.3130987140926
2009-03-03,1167.6991308734753
2009-03-04,1241.2406234065384
2009-03-05,1249.38691153172
2009-03-06,1229.460450172247
2009-03-09,1191.1393997253358
2009-03-10,1200.7246057718655
2009-03-11,1184.8777935267067
2009-03-12,1179.6034980362504
2009-03-13,1167.4957066706613
2009-03-16,1173.8970119169019
2009-03-17,1215.4943052625865
2009-03-18,1207.4303246036607
2009-03-19,1177.3540022504344
2009-03-20,1184.0046088312024
2009-03-23,1211.0359512945652
2009-03-24,1226.431905316809
2009-03-25,1199.0460566244283
2009-03-26,1235.244421335452
2009-03-27,1270.2496388486425
2009-03-30,1278.142946148271
2009-03-31,1281.5660286582881
