Date,AC ASIA PACIFIC QUALITY
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,983.9502815733608
1999-01-05,982.3030070633231
1999-01-06,999.4572300377608
1999-01-07,1028.0542677052383
1999-01-08,1038.4000177420962
1999-01-11,1047.4836844843571
1999-01-12,1032.2201413794514
1999-01-13,1001.8735811638704
1999-01-14,1005.5377915408203
1999-01-15,1018.5310898601565
1999-01-18,1021.3825679184563
1999-01-19,1021.5451967726742
1999-01-20,1034.8498761080564
1999-01-21,1040.3184689544087
1999-01-22,1022.0556773181097
1999-01-25,1014.6147192634475
1999-01-26,1021.1099386834594
1999-01-27,1029.167352877401
1999-01-28,1019.8568422532654
1999-01-29,1036.040095837648
1999-02-01,1042.9904145657995
1999-02-02,1046.3845421639003
1999-02-03,1042.1632294229296
1999-02-04,1042.1715934087347
1999-02-05,1030.1751665641364
1999-02-08,1036.0621566527816
1999-02-09,1023.0367915043552
1999-02-10,1015.4470282222865
1999-02-11,1022.7472078427976
1999-02-12,1034.0933298955658
1999-02-15,1031.0194487790477
1999-02-16,1026.8762558714297
1999-02-17,1021.491409863715
1999-02-18,1017.77908851602
1999-02-19,1027.7116178275994
1999-02-22,1049.5448796862447
1999-02-23,1052.5821743979297
1999-02-24,1053.9594289423565
1999-02-25,1049.4760628432955
1999-02-26,1062.1247887357626
1999-03-01,1069.659707509372
1999-03-02,1054.8440889836377
1999-03-03,1063.4529753263475
1999-03-04,1065.5678374206354
1999-03-05,1095.766210712709
1999-03-08,1103.4483021698297
1999-03-09,1120.615727940908
1999-03-10,1138.1321588162566
1999-03-11,1144.714927887837
1999-03-12,1143.2809411550884
1999-03-15,1162.930054353516
1999-03-16,1179.9392836903282
1999-03-17,1173.7711819814117
1999-03-18,1161.0699895266714
1999-03-19,1194.5496245478175
1999-03-22,1197.6924081475242
1999-03-23,1187.8081078496477
1999-03-24,1166.6177736969496
1999-03-25,1185.348726560393
1999-03-26,1196.4735970633305
1999-03-29,1197.3704268630731
1999-03-30,1195.1140721967054
1999-03-31,1197.4466345076096
1999-04-01,1215.231903926298
1999-04-02,1221.0090931489983
1999-04-05,1216.6109492015285
1999-04-06,1226.2926527014456
1999-04-07,1229.029283165217
1999-04-08,1235.2599791632313
1999-04-09,1237.0047891663896
1999-04-12,1217.4373451171555
1999-04-13,1241.0001021527971
1999-04-14,1256.2458662422757
1999-04-15,1260.0358559848412
1999-04-16,1284.8760815669186
1999-04-19,1304.5120363971291
1999-04-20,1288.7502731680443
1999-04-21,1280.1302022518628
1999-04-22,1303.9437025989503
1999-04-23,1312.845150037867
1999-04-26,1324.2742158160688
1999-04-27,1317.0146256836547
1999-04-28,1315.520841881961
1999-04-29,1314.8631745999153
1999-04-30,1309.3074265195298
1999-05-03,1307.701897801572
1999-05-04,1310.7360963341762
1999-05-05,1302.0386427254894
1999-05-06,1313.9342475668152
1999-05-07,1283.9385649986327
1999-05-10,1293.3920653226464
1999-05-11,1290.8474534024351
1999-05-12,1306.1130179405766
1999-05-13,1311.8717209030124
1999-05-14,1299.0239414998537
1999-05-17,1279.9395826118568
1999-05-18,1294.4051088278652
1999-05-19,1272.3971160611832
1999-05-20,1281.458139933089
1999-05-21,1297.2630464564513
1999-05-24,1303.0892799552084
1999-05-25,1290.7598724336603
1999-05-26,1306.7056401426496
1999-05-27,1304.5643817113048
1999-05-28,1298.0407699890568
1999-05-31,1298.555260722334
1999-06-01,1312.2348906080604
1999-06-02,1332.5072984878045
1999-06-03,1329.7177023063957
1999-06-04,1338.4601984499225
1999-06-07,1362.801657702497
1999-06-08,1366.7867651008116
1999-06-09,1374.1073319567713
1999-06-10,1380.0526897350617
1999-06-11,1388.442813691291
1999-06-14,1380.1948419710689
1999-06-15,1387.278339231739
1999-06-16,1412.3814117777124
1999-06-17,1436.1610480022327
1999-06-18,1422.2832351760758
1999-06-21,1455.110902872571
1999-06-22,1475.933287538996
1999-06-23,1458.2759476144854
1999-06-24,1450.4774059452284
1999-06-25,1421.1937359632982
1999-06-28,1445.2250102346932
1999-06-29,1467.2664865956951
1999-06-30,1459.6629221080373
1999-07-01,1496.034768217758
1999-07-02,1522.448190027243
1999-07-05,1528.9355889289177
1999-07-06,1515.5075424590407
1999-07-07,1505.2378461910587
1999-07-08,1510.533096558779
1999-07-09,1504.4645813910115
1999-07-12,1528.3237463295602
1999-07-13,1517.296585225425
1999-07-14,1512.8645347722825
1999-07-15,1522.6001069781332
1999-07-16,1494.8942186727745
1999-07-19,1525.202682272491
1999-07-20,1501.3543490987076
1999-07-21,1474.4423012070736
1999-07-22,1456.289524421463
1999-07-23,1446.5791168868782
1999-07-26,1414.064011491699
1999-07-27,1410.8407456123855
1999-07-28,1435.201976798215
1999-07-29,1435.5815562597372
1999-07-30,1443.5826124324149
1999-08-02,1439.2243482474416
