Date,ACWI QUALITY
1998-12-31,619.9356279148792
1999-01-01,619.9356377346851
1999-01-04,620.534221505095
1999-01-05,628.0909441392602
1999-01-06,644.1913867537086
1999-01-07,644.1770708032882
1999-01-08,651.0981030946681
1999-01-11,645.4727233800198
1999-01-12,633.6005065212365
1999-01-13,620.4437165760395
1999-01-14,613.6467568623718
1999-01-15,631.0118189494862
1999-01-18,633.8888089776211
1999-01-19,637.6105018496934
1999-01-20,642.0057005706435
1999-01-21,629.5049727336309
1999-01-22,621.0015162774456
1999-01-25,626.8317986820024
1999-01-26,638.4772403951829
1999-01-27,642.0880785205313
1999-01-28,656.1541355150994
1999-01-29,664.8258672797471
1999-02-01,667.875509850946
1999-02-02,659.3577371130901
1999-02-03,661.5771633746479
1999-02-04,654.5653303603025
1999-02-05,647.9443879845212
1999-02-08,651.5469984910856
1999-02-09,635.06940768392
1999-02-10,635.4980669122868
1999-02-11,651.0477162308716
1999-02-12,644.7012083516596
1999-02-15,647.1145288991688
1999-02-16,654.5175915458135
1999-02-17,643.430188290768
1999-02-18,647.3941315534149
1999-02-19,655.6508517531041
1999-02-22,672.9569601949703
1999-02-23,678.6290296691632
1999-02-24,674.4671948637406
1999-02-25,664.8962693684086
1999-02-26,664.219634276307
1999-03-01,663.5857066407833
1999-03-02,660.5124956573719
1999-03-03,661.4509063692025
1999-03-04,672.5412185932777
1999-03-05,685.6128349695208
1999-03-08,688.0679194635222
1999-03-09,688.2033352065504
1999-03-10,685.1621162888254
1999-03-11,696.719469892433
1999-03-12,688.603193675095
1999-03-15,693.8024142015212
1999-03-16,697.2004759845541
1999-03-17,685.7874226709163
1999-03-18,693.1972607358695
1999-03-19,690.6402652602887
1999-03-22,691.3431313165353
1999-03-23,676.5009922943581
1999-03-24,677.1312048381307
1999-03-25,691.855245830739
1999-03-26,695.8210068110757
1999-03-29,711.5385786740584
1999-03-30,707.127879631438
1999-03-31,699.8169657162454
1999-04-01,703.2998657337911
1999-04-02,704.7498064793875
1999-04-05,718.8829287301319
1999-04-06,717.7357807391008
1999-04-07,718.2427006931968
1999-04-08,725.4514126126301
1999-04-09,731.4661206595074
1999-04-12,728.2818359637507
1999-04-13,729.336177945315
1999-04-14,715.4330982325937
1999-04-15,713.2217179162146
