Date,AC EUROPE QUALITY
1998-12-31,1000.0
1999-01-01,999.9999168571953
1999-01-04,1017.7470224537052
1999-01-05,1024.7838045738795
1999-01-06,1048.272600511944
1999-01-07,1046.9055949732171
1999-01-08,1056.8433010044841
1999-01-11,1044.0129910930646
1999-01-12,1027.9816465603078
1999-01-13,988.6781726315021
1999-01-14,987.6019944331948
1999-01-15,1002.3230422050311
1999-01-18,1022.2686004677005
1999-01-19,1022.5671699450246
1999-01-20,1027.7439993328658
1999-01-21,1017.2831023239463
1999-01-22,995.4868709397117
1999-01-25,1002.9970536891973
1999-01-26,1008.4531421318368
1999-01-27,1020.6168295018798
1999-01-28,1029.5717137112927
1999-01-29,1032.1572597721797
1999-02-01,1045.7202760232
1999-02-02,1031.8014566222032
1999-02-03,1015.5334002290783
1999-02-04,1021.7459350294705
1999-02-05,1008.4628032316737
1999-02-08,1002.0217303156253
1999-02-09,985.1993345865749
1999-02-10,977.6396570508562
1999-02-11,989.5134574583543
1999-02-12,996.0546093809696
1999-02-15,1002.7524759350412
1999-02-16,1019.5775973750257
1999-02-17,1009.9402713200209
1999-02-18,1005.3893314148288
1999-02-19,1009.9493575727902
1999-02-22,1032.1298859477154
1999-02-23,1043.6197549843182
1999-02-24,1057.5059017368574
1999-02-25,1038.0204097344665
1999-02-26,1031.9223588331156
1999-03-01,1019.0758547624193
1999-03-02,1024.0720218701176
1999-03-03,1017.9242745708927
1999-03-04,1022.9396249477904
1999-03-05,1039.8616520014423
1999-03-08,1037.386867348282
1999-03-09,1048.3277622218513
1999-03-10,1042.00173585569
1999-03-11,1051.946852931346
1999-03-12,1042.4446968058787
1999-03-15,1034.427080051219
1999-03-16,1035.771093964301
1999-03-17,1024.9187416912175
1999-03-18,1020.3364108656884
1999-03-19,1036.1366822245304
1999-03-22,1030.0659563041254
1999-03-23,1014.8137702806056
1999-03-24,1005.2035751678802
1999-03-25,1022.5828877491676
1999-03-26,1030.699664130477
1999-03-29,1047.8797796810998
1999-03-30,1049.298230067739
1999-03-31,1061.3097546099968
1999-04-01,1061.0050585240765
1999-04-02,1062.8561837349455
1999-04-05,1064.8356726629534
1999-04-06,1073.3175475856576
1999-04-07,1071.5481037222519
1999-04-08,1073.3141576308894
1999-04-09,1080.0542839940215
1999-04-12,1070.0279704145428
1999-04-13,1082.1231595671745
1999-04-14,1078.1596028941294
1999-04-15,1059.5584465236554
1999-04-16,1052.3987033854291
1999-04-19,1062.6035997902538
1999-04-20,1036.783661028001
1999-04-21,1051.5845654818054
1999-04-22,1071.217840470212
1999-04-23,1064.29959932908
1999-04-26,1070.4459814034108
1999-04-27,1084.1545410130266
1999-04-28,1080.4266157357968
1999-04-29,1065.427091594369
1999-04-30,1071.2185087129735
1999-05-03,1076.1710544433452
1999-05-04,1073.6426513606648
1999-05-05,1056.3281841245994
1999-05-06,1057.6846891291061
1999-05-07,1055.715295756109
1999-05-10,1058.1681171938703
1999-05-11,1067.1617679642604
1999-05-12,1068.6656243356276
1999-05-13,1079.5104452528092
1999-05-14,1061.1735369301252
1999-05-17,1043.1992276983908
1999-05-18,1051.649110482451
1999-05-19,1057.388818228897
1999-05-20,1069.553872757618
1999-05-21,1069.2093130797743
1999-05-24,1054.0229006293869
1999-05-25,1042.4258332585437
1999-05-26,1043.5502293311881
1999-05-27,1036.1161393718287
1999-05-28,1045.575786554707
1999-05-31,1049.2826983988305
1999-06-01,1046.0830457400568
1999-06-02,1061.0128229911631
1999-06-03,1069.7349685731579
1999-06-04,1079.0504707046023
1999-06-07,1086.7967876164223
1999-06-08,1086.0823349571992
1999-06-09,1091.5259621502817
1999-06-10,1080.284415217755
1999-06-11,1093.757170899491
1999-06-14,1090.787308798048
1999-06-15,1087.1542332897382
1999-06-16,1104.2626098183277
1999-06-17,1107.1940542583407
1999-06-18,1111.267102316092
1999-06-21,1128.6438605800618
1999-06-22,1119.8841107503772
1999-06-23,1102.7153305729798
1999-06-24,1094.053553770669
1999-06-25,1092.9188117975104
1999-06-28,1094.7441553609735
1999-06-29,1095.633778810405
1999-06-30,1091.4863692038768
1999-07-01,1116.7435003853413
1999-07-02,1126.3130218871956
1999-07-05,1142.2511626679664
1999-07-06,1133.1971794749159
1999-07-07,1121.085732079468
1999-07-08,1115.191228968046
1999-07-09,1116.4164143117548
1999-07-12,1121.5192260023039
1999-07-13,1106.667162986147
