Date,AC ASIA ex JAPAN QUALITY
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.5905374429717
1999-01-05,997.8840299302756
1999-01-06,1020.5463664057039
1999-01-07,1051.3613268392187
1999-01-08,1077.0265097174504
1999-01-11,1081.3182674492655
1999-01-12,1078.3925576106096
1999-01-13,1053.3099722437498
1999-01-14,1046.355199509471
1999-01-15,1053.7290578912086
1999-01-18,1068.0850614123674
1999-01-19,1058.1831242148062
1999-01-20,1062.4673044794747
1999-01-21,1073.8348434765935
1999-01-22,1060.922566566442
1999-01-25,1052.856901068053
1999-01-26,1059.9485904034502
1999-01-27,1082.0308070897183
1999-01-28,1063.9399851464148
1999-01-29,1071.880071897596
1999-02-01,1064.1272268736363
1999-02-02,1048.9440725771497
1999-02-03,1061.1875514870082
1999-02-04,1057.9664633650627
1999-02-05,1053.1769343274286
1999-02-08,1060.9991841598371
1999-02-09,1058.7040430970264
1999-02-10,1051.9630756724864
1999-02-11,1060.9485612079222
1999-02-12,1071.80858494316
1999-02-15,1069.5430620337581
1999-02-16,1076.3758119733923
1999-02-17,1070.064550074819
1999-02-18,1069.7081448858657
1999-02-19,1075.5676880337364
1999-02-22,1094.4031899102351
1999-02-23,1094.5743047897731
1999-02-24,1105.1695962278447
1999-02-25,1100.207140831983
1999-02-26,1107.8006285499475
1999-03-01,1148.672163272813
1999-03-02,1145.1780187306133
1999-03-03,1180.3209260026342
1999-03-04,1177.8193904785842
1999-03-05,1189.798083252616
1999-03-08,1208.6724220334324
1999-03-09,1216.8432155424107
1999-03-10,1212.3686199454883
1999-03-11,1206.456857900519
1999-03-12,1210.1656772137997
1999-03-15,1232.1881724943112
1999-03-16,1238.2634007369516
1999-03-17,1217.0525411812516
1999-03-18,1217.3144289889105
1999-03-19,1225.720119437824
1999-03-22,1239.3925216003265
1999-03-23,1238.5540054575902
1999-03-24,1217.1068813567517
1999-03-25,1230.7555414685892
1999-03-26,1244.9246350355872
1999-03-29,1245.0923158774149
1999-03-30,1251.0707429786398
1999-03-31,1257.6054253160153
1999-04-01,1255.595564834114
1999-04-02,1262.2426142065556
1999-04-05,1244.3454207813165
1999-04-06,1242.4034252278927
1999-04-07,1251.1482184217732
1999-04-08,1252.3933936568058
1999-04-09,1253.7276531807468
1999-04-12,1248.237267406539
1999-04-13,1258.327448704009
1999-04-14,1265.0545431954804
1999-04-15,1262.538447586565
1999-04-16,1323.0918722844578
1999-04-19,1348.117990829748
1999-04-20,1324.930911829672
1999-04-21,1338.2660285478316
1999-04-22,1352.8520252369851
1999-04-23,1350.6074127316322
1999-04-26,1348.6370177212277
1999-04-27,1347.0385214776277
1999-04-28,1334.307515410939
1999-04-29,1340.7370026153737
1999-04-30,1358.736640952725
1999-05-03,1371.9055477395405
1999-05-04,1394.686903199291
1999-05-05,1400.4580720819893
1999-05-06,1401.5010089577852
1999-05-07,1380.2624939475002
1999-05-10,1400.6899676879302
1999-05-11,1419.943298502122
1999-05-12,1418.678751024687
1999-05-13,1442.1220782523983
1999-05-14,1438.1005699830966
1999-05-17,1425.6733016429143
1999-05-18,1433.6473092407052
1999-05-19,1430.6815790748333
1999-05-20,1440.1071976290732
1999-05-21,1452.3348985181237
1999-05-24,1460.1399124533689
1999-05-25,1451.2975915526797
1999-05-26,1451.3529653506873
1999-05-27,1434.3983258446829
1999-05-28,1416.262689903905
1999-05-31,1441.0745096710584
1999-06-01,1431.0937869331285
1999-06-02,1452.1839130708142
1999-06-03,1459.552997807665
1999-06-04,1471.2493559606312
1999-06-07,1487.8349067853087
1999-06-08,1487.9065120764085
1999-06-09,1492.779217014864
1999-06-10,1481.0453308967026
1999-06-11,1478.5398810796648
1999-06-14,1481.3486124307005
1999-06-15,1472.7518195494256
1999-06-16,1513.040752460212
1999-06-17,1545.3526475026115
1999-06-18,1538.2092554492954
1999-06-21,1581.5265676744575
1999-06-22,1601.504436703321
1999-06-23,1586.6301824454536
1999-06-24,1572.4338240943487
1999-06-25,1545.6499182843042
1999-06-28,1578.186526831521
1999-06-29,1595.2803456950949
1999-06-30,1586.3518020809327
1999-07-01,1603.0147649181056
1999-07-02,1628.0134273795695
1999-07-05,1647.0803122955242
1999-07-06,1632.2012651926466
1999-07-07,1614.0248741214418
1999-07-08,1626.809479545867
1999-07-09,1635.358118154997
1999-07-12,1672.264193462862
1999-07-13,1645.2230294479525
1999-07-14,1624.0766659582605
1999-07-15,1626.0823106299088
1999-07-16,1605.4318755752881
1999-07-19,1646.957772975473
1999-07-20,1611.4820096646458
1999-07-21,1599.8867806834708
1999-07-22,1592.2705880459735
1999-07-23,1572.4923318378585
1999-07-26,1534.712731195903
1999-07-27,1528.5942015359226
1999-07-28,1556.3771967890248
1999-07-29,1545.4542530016581
1999-07-30,1544.5258229071283
1999-08-02,1544.1595804655587
1999-08-03,1552.749926089131
