Date,USA IMI ESG LEADERS
2010-08-31,100.0
2010-09-01,102.05100505812851
2010-09-02,102.98032973572083
2010-09-03,104.1121932744167
2010-09-06,103.9788093790034
2010-09-07,103.9438652933938
2010-09-08,104.32244504910142
2010-09-09,104.77689612540132
2010-09-10,105.33604214553543
2010-09-13,105.48837119343862
2010-09-14,104.59473770482988
2010-09-15,104.6097055596692
2010-09-16,103.8893238675309
2010-09-17,104.64567100409492
2010-09-20,105.9381356470321
2010-09-21,105.20133135082386
2010-09-22,102.46650300722602
2010-09-23,102.23958212709701
2010-09-24,103.41135060890613
2010-09-27,103.00374122510074
2010-09-28,103.02893892848108
2010-09-29,102.46424734297443
2010-09-30,101.77328216017
2010-10-01,101.50792051053736
2010-10-04,101.14956230044002
2010-10-05,102.08351536204671
2010-10-06,101.5874868091643
2010-10-07,100.98655814664933
2010-10-08,101.80311250979435
2010-10-11,102.12749832099705
2010-10-12,102.87606826181897
2010-10-13,102.81355227122579
2010-10-14,101.65222767954383
2010-10-15,102.43968569084
2010-10-18,103.49963657062908
2010-10-19,103.2342156108022
2010-10-20,103.00269875120468
2010-10-21,102.97915457855855
2010-10-22,103.87522039826509
2010-10-25,103.73756534046403
2010-10-26,104.39305738439414
2010-10-27,104.7583094231882
2010-10-28,103.87420322988723
2010-10-29,104.02668086097523
2010-11-01,104.10109099128694
2010-11-02,103.98703321972594
2010-11-03,104.39558138249907
2010-11-04,104.8125700938666
2010-11-05,106.75425366545113
2010-11-08,107.56351287125494
2010-11-09,106.52446642880498
2010-11-10,108.75888121485498
2010-11-11,108.34045096641127
2010-11-12,106.70930342102913
2010-11-15,107.5678916098704
2010-11-16,106.11362858406946
2010-11-17,106.4466309171653
2010-11-18,107.48673483111457
2010-11-19,107.41799473060254
2010-11-22,107.82598309570574
2010-11-23,107.8010969948718
2010-11-24,109.85870913579174
2010-11-25,110.02712218774789
2010-11-26,110.57733569617805
2010-11-29,111.44262330404916
2010-11-30,111.3569518464294
2010-12-01,113.17573264881229
2010-12-02,113.67967755891341
2010-12-03,112.24323607268074
2010-12-06,113.00625018539353
2010-12-07,112.57062890688124
2010-12-08,114.02949855077054
2010-12-09,114.77301967562353
2010-12-10,115.03618810806138
2010-12-13,113.50392533791971
2010-12-14,113.6890555769271
2010-12-15,113.65925649862464
2010-12-16,115.6360139409374
2010-12-17,116.27908173509631
2010-12-20,116.97495617225731
2010-12-21,117.37946330195759
2010-12-22,117.88357068649832
2010-12-23,117.9304909039511
2010-12-24,117.46756013055627
2010-12-27,117.26420079957273
2010-12-28,117.39505266298559
2010-12-29,117.52456223975526
2010-12-30,116.08561375897047
2010-12-31,114.79248413106183
2011-01-03,116.45264323452065
2011-01-04,116.27670744183008
2011-01-05,118.4596070166801
2011-01-06,119.06157609464032
2011-01-07,119.2713475647606
2011-01-10,119.64023749511567
2011-01-11,120.10922713831998
2011-01-12,119.94679303461825
2011-01-13,117.33810906543498
2011-01-14,117.84446532884574
2011-01-17,118.50073342294075
2011-01-18,117.9246108886616
2011-01-19,115.7638587626584
2011-01-20,116.21856889827133
2011-01-21,114.76835158619188
2011-01-24,114.74322952395785
2011-01-25,114.76600995063195
2011-01-26,115.14925336808798
2011-01-27,114.93119791672294
2011-01-28,113.73054509672731
2011-01-31,113.8872399573199
2011-02-01,114.85022659452869
2011-02-02,114.33827525459108
2011-02-03,116.10766156356668
2011-02-04,117.23504466542292
2011-02-07,118.11952729830962
2011-02-08,117.56733528525457
