Date,EUROPE IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1029.4126946419228
2010-05-28,1027.8004404360904
2010-05-31,1030.3208003924144
2010-06-01,1030.9893644479637
2010-06-02,1034.486047540494
2010-06-03,1049.0265441332788
2010-06-04,1034.4686545711124
2010-06-07,1026.7267143214947
2010-06-08,1013.1065203609865
2010-06-09,1022.3954564113104
2010-06-10,1033.2640519509155
2010-06-11,1043.1552679764386
2010-06-14,1049.693822139653
2010-06-15,1056.656311171937
2010-06-16,1057.1948297794006
2010-06-17,1057.2623582372578
2010-06-18,1054.4746400090214
2010-06-21,1060.028726418683
2010-06-22,1055.330977340167
2010-06-23,1046.3771083372008
2010-06-24,1031.9117768478168
2010-06-25,1023.1493951982901
2010-06-28,1033.1613516334726
2010-06-29,1009.4158563668857
2010-06-30,1012.2300066160177
2010-07-01,991.941363787083
2010-07-02,992.0455842814912
2010-07-05,990.8544148830915
2010-07-06,1012.8037953787044
2010-07-07,1024.5730770401512
2010-07-08,1033.8146651731129
2010-07-09,1038.218395539632
2010-07-12,1044.767064212768
2010-07-13,1062.4131435238498
2010-07-14,1063.2400022816785
2010-07-15,1055.3396136810766
2010-07-16,1037.9400761900924
2010-07-19,1030.4701175174348
2010-07-20,1029.8368014740015
2010-07-21,1037.744484749574
2010-07-22,1055.4110144560102
2010-07-23,1059.4080850112134
2010-07-26,1063.4287658175347
2010-07-27,1064.0769270875992
2010-07-28,1061.070669616664
2010-07-29,1064.1489041855048
2010-07-30,1060.2118619653527
2010-08-02,1084.7912523590044
2010-08-03,1087.0592985280305
2010-08-04,1091.6619982816462
2010-08-05,1088.4220033181095
2010-08-06,1079.2436974977777
2010-08-09,1096.6449688486218
2010-08-10,1088.985405242183
2010-08-11,1071.4942395211733
2010-08-12,1074.9560638560963
2010-08-13,1079.7594523580265
2010-08-16,1075.48308535593
2010-08-17,1082.2555630693244
2010-08-18,1079.1824338994863
2010-08-19,1063.6960111829799
2010-08-20,1059.4405383114154
2010-08-23,1068.0956834297422
2010-08-24,1050.9830561510682
2010-08-25,1046.6597182422931
2010-08-26,1051.9855758469675
2010-08-27,1062.2230291420292
2010-08-30,1063.1831797762582
2010-08-31,1060.7860576895412
2010-09-01,1085.647085230993
2010-09-02,1085.2922913023565
2010-09-03,1094.4334459674005
2010-09-06,1096.6831001972423
2010-09-07,1094.6959677699779
2010-09-08,1107.7902625694835
2010-09-09,1115.1229842245432
2010-09-10,1114.2691990696449
2010-09-13,1117.8090260679812
2010-09-14,1114.9739417557385
2010-09-15,1113.454107329595
2010-09-16,1108.0037418809147
2010-09-17,1101.97978478999
2010-09-20,1115.3824871251234
