Date,EAFE IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1024.8310107341463
2010-05-28,1024.4117427361418
2010-05-31,1027.9010628577428
2010-06-01,1025.636421931816
2010-06-02,1028.8159044676684
2010-06-03,1045.075193664785
2010-06-04,1034.9862977551597
2010-06-07,1026.4529907846356
2010-06-08,1014.9237845732403
2010-06-09,1022.8638594769774
2010-06-10,1032.6335937952583
2010-06-11,1043.2756731957631
2010-06-14,1047.3108967761034
2010-06-15,1052.0401588694822
2010-06-16,1054.0891316713507
2010-06-17,1054.106528530619
2010-06-18,1052.1024224343143
2010-06-21,1059.687680479312
2010-06-22,1055.221709484078
2010-06-23,1046.7342068383875
2010-06-24,1034.3128779673023
2010-06-25,1027.2352638253246
2010-06-28,1036.1813148303108
2010-06-29,1016.0484345713295
2010-06-30,1015.6141643437749
2010-07-01,993.9840191827318
2010-07-02,992.2788007708922
2010-07-05,991.5240935110699
2010-07-06,1010.2285766711086
2010-07-07,1020.6947533279799
2010-07-08,1030.732249879851
2010-07-09,1035.639614000676
2010-07-12,1042.2003558324125
2010-07-13,1056.6149448456215
2010-07-14,1058.6552791041613
2010-07-15,1049.6615186622905
2010-07-16,1033.0965539272217
2010-07-19,1024.0109323938545
2010-07-20,1025.5705222007907
2010-07-21,1032.9619124176475
2010-07-22,1045.7872549261344
2010-07-23,1052.225398457021
2010-07-26,1054.2422395891297
2010-07-27,1052.8781839243384
2010-07-28,1050.5757012243332
2010-07-29,1052.2489815963354
2010-07-30,1049.8379341374557
2010-08-02,1070.0993541946889
2010-08-03,1071.8765076774328
2010-08-04,1076.106475312661
2010-08-05,1074.8241752760764
2010-08-06,1066.5209406798733
2010-08-09,1081.7313840356226
2010-08-10,1077.1657161497712
2010-08-11,1063.740696428955
2010-08-12,1065.3444599702436
2010-08-13,1071.9563667513678
2010-08-16,1068.2934088773413
2010-08-17,1074.1074675831253
2010-08-18,1072.6041437944934
2010-08-19,1059.7786356941008
2010-08-20,1057.161237903045
2010-08-23,1065.283756028366
2010-08-24,1050.7610521259141
2010-08-25,1046.2041827808537
2010-08-26,1050.9527626333484
2010-08-27,1060.6533381955749
2010-08-30,1064.4580835321037
2010-08-31,1061.2579254606449
2010-09-01,1082.2609096753888
2010-09-02,1083.1516463337719
2010-09-03,1090.764715661946
2010-09-06,1094.6937747206907
2010-09-07,1096.110262736431
2010-09-08,1106.4014831793897
2010-09-09,1113.1988132015979
2010-09-10,1112.686038345455
2010-09-13,1115.345085511484
2010-09-14,1112.236948502023
2010-09-15,1109.6264427453739
2010-09-16,1102.5337246139834
2010-09-17,1099.3941351311448
2010-09-20,1111.3220093342372
2010-09-21,1106.0667719470246
2010-09-22,1088.9405813195585
2010-09-23,1091.3668610648226
2010-09-24,1096.1345753091546
2010-09-27,1095.086130663775
2010-09-28,1091.4019474667537
2010-09-29,1087.191201169667
2010-09-30,1081.261518458218
2010-10-01,1081.0830036463467
2010-10-04,1077.454665831084
2010-10-05,1086.3080460641304
2010-10-06,1089.737885993063
2010-10-07,1093.6219734811789
2010-10-08,1093.5733495374222
2010-10-11,1098.8342175668301
2010-10-12,1093.8514770494626
2010-10-13,1105.7666819249296
2010-10-14,1104.887252825387
2010-10-15,1107.1966484986096
2010-10-18,1112.9482083532637
2010-10-19,1108.766067838889
2010-10-20,1107.7999315889576
2010-10-21,1107.6592672043485
2010-10-22,1105.8144479181735
2010-10-25,1107.971781922282
2010-10-26,1111.0299878179962
2010-10-27,1103.2479618103303
2010-10-28,1110.7860143203125
2010-10-29,1114.170133911382
2010-11-01,1117.0653684347858
2010-11-02,1120.8846676694905
2010-11-03,1117.1341562658472
2010-11-04,1124.8111824220487
2010-11-05,1133.6448674464004
2010-11-08,1134.1872733152668
2010-11-09,1136.2861625042076
2010-11-10,1133.4526518312914
2010-11-11,1131.5193856550602
2010-11-12,1125.7542911872426
2010-11-15,1132.6229022901762
2010-11-16,1112.7127542847682
2010-11-17,1117.0860820991093
2010-11-18,1128.5789550654947
2010-11-19,1123.1886388137543
2010-11-22,1117.9925102674995
2010-11-23,1103.7599709888937
2010-11-24,1108.2865464553256
2010-11-25,1110.3873218557464
2010-11-26,1109.2488946955248
2010-11-29,1094.01844930201
2010-11-30,1092.5271774049813
2010-12-01,1106.7297010423622
2010-12-02,1115.6664002197658
2010-12-03,1111.0143071891525
2010-12-06,1113.7451045383605
2010-12-07,1122.0979438909162
2010-12-08,1129.1276066452256
2010-12-09,1135.470532911964
2010-12-10,1135.539345028144
2010-12-13,1136.0413064038169
