Date,WORLD IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1021.3778726255878
2010-05-28,1014.9795936075136
2010-05-31,1019.6040650861406
2010-06-01,1012.4521294896612
2010-06-02,1026.0401004255634
2010-06-03,1035.7078891868077
2010-06-04,1024.205231250213
2010-06-07,1021.8488548193096
2010-06-08,1021.7735647655886
2010-06-09,1020.3768347415935
2010-06-10,1034.3547068152088
2010-06-11,1039.9194293666583
2010-06-14,1035.999727399226
2010-06-15,1045.0268171087805
2010-06-16,1046.8941777529483
2010-06-17,1046.6629257639736
2010-06-18,1044.5412870269026
2010-06-21,1048.1678904435482
2010-06-22,1044.4357304494092
2010-06-23,1039.629350621307
2010-06-24,1025.4819252851732
2010-06-25,1020.5400427335345
2010-06-28,1025.1174859698356
2010-06-29,1012.119705331276
2010-06-30,1004.3546014120525
2010-07-01,983.9981948379008
2010-07-02,977.2591876486717
2010-07-05,979.5463537446291
2010-07-06,988.4542260316277
2010-07-07,1003.8109340916094
2010-07-08,1012.8385571241248
2010-07-09,1020.1039068968537
2010-07-12,1025.2459935369066
2010-07-13,1033.6574116032134
2010-07-14,1031.6428469687376
2010-07-15,1021.4392645323729
2010-07-16,1002.728808932476
2010-07-19,998.80602983721
2010-07-20,1005.1738284847869
2010-07-21,1008.2932541033925
2010-07-22,1018.2093104458539
2010-07-23,1027.5785859527089
2010-07-26,1029.6732688063566
2010-07-27,1029.987526427263
2010-07-28,1025.0521661573566
2010-07-29,1020.7932046497708
2010-07-30,1021.1250412320398
2010-08-02,1034.034072390063
2010-08-03,1033.9969639460376
2010-08-04,1040.74164675245
2010-08-05,1038.54933939776
2010-08-06,1029.5019977605396
2010-08-09,1042.0536282726066
2010-08-10,1045.515860454859
2010-08-11,1035.2497001951378
2010-08-12,1036.9186898548128
2010-08-13,1042.791108475409
2010-08-16,1037.687567563975
2010-08-17,1045.7125277681569
2010-08-18,1045.4238785504729
2010-08-19,1032.4505775085738
2010-08-20,1035.6994387146578
2010-08-23,1042.252615669155
2010-08-24,1029.2497348426273
2010-08-25,1030.0794829997083
2010-08-26,1025.6027869930012
2010-08-27,1037.9522147641012
2010-08-30,1036.7445739195007
2010-08-31,1034.824439015089
2010-09-01,1052.0152910745612
2010-09-02,1053.923635900091
2010-09-03,1059.9301512516818
2010-09-06,1062.1377399334049
2010-09-07,1065.3008377749072
2010-09-08,1071.0861641951938
2010-09-09,1078.3131179711804
2010-09-10,1081.3245862175795
2010-09-13,1079.685975620189
2010-09-14,1074.416656233736
2010-09-15,1072.8062600556632
2010-09-16,1065.972542576165
2010-09-17,1067.4635154312043
2010-09-20,1077.9360896388177
2010-09-21,1072.6704128810338
2010-09-22,1053.231310494505
2010-09-23,1053.772076098786
2010-09-24,1058.5159693699843
2010-09-27,1056.859476000274
2010-09-28,1054.371846406523
2010-09-29,1049.1795219071562
2010-09-30,1042.0318937487068
2010-10-01,1040.3049479240267
2010-10-04,1039.3244263267065
2010-10-05,1045.8519324973486
2010-10-06,1047.2362217542009
2010-10-07,1045.137068429312
2010-10-08,1046.80612637047
2010-10-11,1051.1133831098346
2010-10-12,1051.2335540040044
2010-10-13,1055.37808597948
2010-10-14,1051.2970462802366
2010-10-15,1054.8501059177142
2010-10-18,1061.7679419747597
2010-10-19,1060.4236881172549
2010-10-20,1058.3309143000129
2010-10-21,1057.6751861213827
2010-10-22,1058.7087453179515
2010-10-25,1059.975606619687
2010-10-26,1063.711628123887
2010-10-27,1059.4486392466508
2010-10-28,1059.4367117185643
2010-10-29,1060.8687602981877
2010-11-01,1062.4069288522744
2010-11-02,1061.695922937731
2010-11-03,1061.228181189896
2010-11-04,1064.2996755648746
2010-11-05,1075.1200167866784
2010-11-08,1078.8416031802078
2010-11-09,1076.7308007285949
2010-11-10,1082.7979144972362
2010-11-11,1083.046690837391
2010-11-12,1074.8918056997475
2010-11-15,1083.629862232358
2010-11-16,1067.527300643017
2010-11-17,1070.0088111698399
2010-11-18,1081.2227437980744
2010-11-19,1076.6001931939663
2010-11-22,1075.3853736738413
2010-11-23,1069.4291493969718
2010-11-24,1078.8790593671656
2010-11-25,1081.467356998761
2010-11-26,1083.4402684502136
2010-11-29,1079.0484244869056
2010-11-30,1078.9767442939672
2010-12-01,1093.3903134360007
2010-12-02,1097.2409985639601
2010-12-03,1085.486059221659
2010-12-06,1089.3205668885817
2010-12-07,1093.1388063343852
2010-12-08,1101.141736378914
2010-12-09,1105.9589880188842
2010-12-10,1106.6029723582687
2010-12-13,1102.2287122545779
2010-12-14,1107.1635889515776
2010-12-15,1107.1887684459798
2010-12-16,1118.5882884089804
2010-12-17,1118.3399439655273
2010-12-20,1123.5444283122724
2010-12-21,1127.249688870805
2010-12-22,1131.8332571204141
2010-12-23,1135.6710140388218
2010-12-24,1133.1477689324288
2010-12-27,1126.6561846586008
2010-12-28,1130.7290618710697
2010-12-29,1133.0103149955219
2010-12-30,1118.5122562300025
2010-12-31,1111.0265354963162
2011-01-03,1118.4435284483545
2011-01-04,1124.922752554634
2011-01-05,1133.6487624579356
2011-01-06,1139.9151357132143
2011-01-07,1141.7382305741723
2011-01-10,1138.422636562208
2011-01-11,1141.7989012108515
2011-01-12,1143.1906314826033
2011-01-13,1126.5753444037905
2011-01-14,1126.4975748192892
2011-01-17,1132.251368645985
2011-01-18,1131.5690663105195
2011-01-19,1120.8483539556605
2011-01-20,1118.288252172357
2011-01-21,1114.767208887055
2011-01-24,1116.185984883112
2011-01-25,1111.677161178446
2011-01-26,1114.3440928132738
2011-01-27,1110.5612311346845
2011-01-28,1105.4407563539512
2011-01-31,1102.6327374675766
2011-02-01,1114.322916251528
2011-02-02,1114.4351873491441
2011-02-03,1125.6204452963557
2011-02-04,1131.9133072921375
2011-02-07,1138.2838163635304
2011-02-08,1131.7048278305476
2011-02-09,1126.7415010787595
2011-02-10,1131.1510618266782
2011-02-11,1133.7116568430622
2011-02-14,1140.4412134604197
2011-02-15,1138.4682589457436
2011-02-16,1142.144869886178
2011-02-17,1144.7900189004204
2011-02-18,1146.242584578499
2011-02-21,1139.239247531962
2011-02-22,1128.8360611889045
2011-02-23,1120.3967318832263
2011-02-24,1115.1639524225152
2011-02-25,1125.1408396238319
2011-02-28,1131.8047932583177
2011-03-01,1125.656655325965
2011-03-02,1120.3082971213178
2011-03-03,1126.3777432917148
2011-03-04,1121.0893413600018
2011-03-07,1115.6690513631327
2011-03-08,1125.5150303335313
