Date,CHINA IMI
1994-05-31,1082.8272291605672
1994-06-30,959.0314838873838
1994-07-29,1077.4357485279393
1994-08-31,1133.2574362433268
1994-09-30,1135.1615041511936
1994-10-31,1113.558393491173
1994-11-30,979.3382037723658
1994-12-30,859.9883728467792
1995-01-31,740.3722595445795
1995-02-28,828.0726236016046
1995-03-31,828.2865347230979
1995-04-28,740.7582452357067
1995-05-31,864.9987886991632
1995-06-30,842.8891239664106
1995-07-31,883.6499413038831
1995-08-31,814.8837009749219
1995-09-29,793.2622987184913
1995-10-31,743.87787153024
1995-11-30,677.8030985428735
1995-12-29,647.2208384557085
1996-01-31,751.245934107322
1996-02-29,785.5018233831704
1996-03-29,739.6359392485513
1996-04-30,715.7444978773442
1996-05-31,744.8093573872372
1996-06-28,736.768809251187
1996-07-31,706.9329884352201
1996-08-30,727.1622683274696
1996-09-30,709.4382438918741
1996-10-31,687.7405369816609
1996-11-29,744.1976798037325
1996-12-31,866.3993461302435
1997-01-01,866.3993461302435
1997-01-02,891.6517809991506
1997-01-03,898.7693633962925
1997-01-06,899.0909784523749
1997-01-07,882.0381254979937
1997-01-08,865.8903222772533
1997-01-09,866.3647431375351
1997-01-10,860.6035708209196
1997-01-13,851.5684032135744
1997-01-14,853.1864712334421
1997-01-15,867.2394381128928
1997-01-16,884.4078742910006
1997-01-17,887.8671922423197
1997-01-20,883.3089844648717
1997-01-21,865.5521503639533
1997-01-22,853.1302164534089
1997-01-23,845.13214538405
1997-01-24,844.6318594874288
1997-01-27,847.9783656982072
1997-01-28,844.0210024888539
1997-01-29,841.7069860443373
1997-01-30,849.2332713636913
1997-01-31,849.1726823562178
1997-02-03,857.1717051220227
1997-02-04,860.948896193209
1997-02-05,863.9388604908726
1997-02-06,862.7132980759346
1997-02-07,862.0422841315689
1997-02-10,853.5727301888672
1997-02-11,847.9476007094264
1997-02-12,850.0082217559096
1997-02-13,848.365168870282
1997-02-14,841.6083302010113
1997-02-17,843.4193310573214
1997-02-18,823.8322750590919
1997-02-19,826.5776591171162
1997-02-20,827.61296141214
1997-02-21,837.0142900253393
1997-02-24,846.3129393722533
1997-02-25,853.5497179723334
1997-02-26,865.7211679347216
1997-02-27,882.8468027489321
1997-02-28,882.1219067480243
1997-03-03,897.4682777480083
1997-03-04,884.215249781913
1997-03-05,871.422190232228
1997-03-06,878.5436871150108
1997-03-07,866.4398892974431
1997-03-10,869.5585358601829
1997-03-11,867.7575204385892
1997-03-12,872.9028823538698
1997-03-13,874.7808519344959
1997-03-14,874.6685173916138
1997-03-17,878.0230869094016
1997-03-18,873.8687968938319
1997-03-19,867.7302947482984
1997-03-20,862.600951761828
1997-03-21,853.6351464720876
1997-03-24,861.3542088208806
1997-03-25,849.8779086068394
1997-03-26,855.7897464479681
1997-03-27,845.7955719841781
1997-03-28,846.0549321384476
1997-03-31,846.8149389756966
1997-04-01,834.6107332686694
1997-04-02,835.4849720291895
1997-04-03,828.6547732333174
1997-04-04,830.2449240587415
1997-04-07,836.0668978665843
