Date,CZECH REPUBLIC IMI
1995-05-31,124.00487880320821
1995-06-30,118.65166167675679
1995-07-31,123.51011707816359
1995-08-31,125.56360132984304
1995-09-29,135.5591526428131
1995-10-31,133.0575390853159
1995-11-30,123.90282915735823
1995-12-29,126.3981593987789
1996-01-31,128.9101697772527
1996-02-29,135.78810183510285
1996-03-29,144.99517662536402
1996-04-30,151.8738067881623
1996-05-31,158.38813773105161
1996-06-28,159.39334609538128
1996-07-31,167.5887536086699
1996-08-30,177.6598371493896
1996-09-30,167.02513551995602
1996-10-31,150.32214299248855
1996-11-29,151.69303890145005
1996-12-31,158.1098163971209
1997-01-01,158.1098163971209
1997-01-02,158.5406967982915
1997-01-03,157.9937639775693
1997-01-06,158.90534899612126
1997-01-07,160.44288835822496
1997-01-08,160.94110027390096
1997-01-09,162.28674784412155
1997-01-10,161.7893983098811
1997-01-13,161.99543193784623
1997-01-14,162.0359918723419
1997-01-15,162.65567314632673
1997-01-16,163.0816078761454
1997-01-17,162.12297262148738
1997-01-20,161.64354065526217
1997-01-21,162.13031928483034
1997-01-22,161.17725764433666
1997-01-23,161.05288767393185
1997-01-24,160.63784112787997
1997-01-27,159.9002702741901
1997-01-28,159.393372572931
1997-01-29,160.87155815615262
1997-01-30,161.64340368630695
1997-01-31,162.7980963061131
1997-02-03,163.94684426974575
1997-02-04,164.98111232665912
1997-02-05,167.29250441195606
1997-02-06,170.54478764673462
1997-02-07,171.79330863986638
1997-02-10,170.99376667823523
1997-02-11,171.47756632158422
1997-02-12,169.64123946397987
1997-02-13,167.53273992687963
1997-02-14,169.69518564304292
1997-02-17,169.46808517536584
1997-02-18,170.30656042953711
1997-02-19,169.12571628444726
1997-02-20,170.7576836858179
1997-02-21,174.17658270668434
1997-02-24,175.88568491856952
1997-02-25,175.5286856953312
1997-02-26,173.73319496877954
1997-02-27,168.5376032579969
1997-02-28,165.9820372999445
1997-03-03,165.08265258857975
1997-03-04,163.0569989752156
1997-03-05,158.72543948574602
1997-03-06,156.91984851682884
1997-03-07,158.25022289063384
1997-03-10,160.191547942334
1997-03-11,158.8075112252841
1997-03-12,158.64678134198226
1997-03-13,157.68125286469066
1997-03-14,155.36156557336983
1997-03-17,154.31990222877607
1997-03-18,153.277743380875
1997-03-19,153.507166752993
1997-03-20,151.96334580166118
1997-03-21,152.54169370840836
1997-03-24,151.84898549488696
1997-03-25,150.90350555055136
1997-03-26,151.97176080817098
1997-03-27,153.70195947945
1997-03-28,153.60785375704805
1997-03-31,154.06309793042684
1997-04-01,154.41439475878414
1997-04-02,153.72088406711478
1997-04-03,152.3203891663963
1997-04-04,151.38428937686
1997-04-07,147.69884700169573
1997-04-08,146.6296748646427
1997-04-09,148.40933002065213
1997-04-10,148.89637934712903
1997-04-11,147.51779122787923
1997-04-14,144.92878152149765
1997-04-15,142.288736555092
1997-04-16,145.60323431085897
1997-04-17,146.0556126059958
1997-04-18,143.8448533385038
1997-04-21,141.92867961087182
1997-04-22,141.38368502951326
1997-04-23,141.7001742265759
1997-04-24,141.07209494083267
1997-04-25,139.7889105531929
1997-04-28,137.77683575362255
1997-04-29,137.7755410140652
1997-04-30,137.1595658101751
1997-05-01,137.82307593340863
