Date,KUWAIT IMI
2002-05-31,259.2249995690505
2002-06-03,267.4890121339582
2002-06-04,265.1888738727687
2002-06-05,266.2637068067626
2002-06-06,266.43879390642184
2002-06-07,266.482601666025
2002-06-10,268.9116449862947
2002-06-11,268.11437728836125
2002-06-12,266.6834595316673
2002-06-13,266.8150251259109
2002-06-14,266.94672059734523
2002-06-17,266.33277935133486
2002-06-18,266.83653580283436
2002-06-19,266.55485976200055
2002-06-20,266.68668709125967
2002-06-21,267.08295259956765
2002-06-24,269.6619909496282
2002-06-25,267.92993811026145
2002-06-26,268.62313538632185
2002-06-27,268.48969120580205
2002-06-28,268.48969120580205
2002-07-01,267.582998433331
2002-07-02,268.839470817613
2002-07-03,269.9984143345239
2002-07-04,269.95371261029635
2002-07-05,269.7750536343795
2002-07-08,272.65870854918774
2002-07-09,274.79402492197374
2002-07-10,275.33975743311765
2002-07-11,275.52255561232636
2002-07-12,275.52255561232636
2002-07-15,275.5493018263658
2002-07-16,274.4802530879814
2002-07-17,273.4806661936662
2002-07-18,273.4351619230849
2002-07-19,273.7540101878628
2002-07-22,274.1066849489123
2002-07-23,271.13790464751077
2002-07-24,266.95641925466487
2002-07-25,267.1340645178521
2002-07-26,266.646107907142
2002-07-29,259.7759272999066
2002-07-30,260.3827751701049
2002-07-31,261.2728927003259
2002-08-01,261.35953600747234
2002-08-02,261.5329951320833
2002-08-05,262.6232349361375
2002-08-06,257.82705066895585
2002-08-07,259.7247926184458
2002-08-08,259.7247926184458
2002-08-09,259.85368829716464
2002-08-12,256.12572810435034
2002-08-13,257.53349427191466
2002-08-14,257.99499609037
2002-08-15,257.65299775255346
2002-08-16,257.7384123050987
2002-08-19,257.33562742815104
2002-08-20,255.16184611016303
2002-08-21,256.3818211730207
2002-08-22,256.12726368054376
2002-08-23,256.04252347750634
2002-08-26,259.5846322633049
2002-08-27,263.8218720268188
2002-08-28,264.29795655911147
2002-08-29,264.29795655911147
2002-08-30,264.2103971897031
2002-09-02,262.85436498238863
2002-09-03,262.72208778659325
2002-09-04,261.7423588551817
2002-09-05,261.7423588551817
2002-09-06,261.56870328453635
2002-09-09,255.54625495744452
2002-09-10,253.0030938191762
2002-09-11,255.02795768860545
2002-09-12,255.19682241807982
2002-09-13,255.19682241807982
2002-09-16,255.12328829512526
2002-09-17,257.76378188101955
2002-09-18,257.71604533843913
2002-09-19,257.8866899637253
2002-09-20,257.71604533843913
2002-09-23,256.57534153675954
2002-09-24,256.0389832861095
2002-09-25,255.66853883694804
2002-09-26,255.54169815288807
2002-09-27,255.4572075930756
2002-09-30,251.06320975684397
2002-10-01,243.2341595250095
2002-10-02,244.43246127260278
2002-10-03,244.59436387983752
2002-10-04,244.71593165512573
2002-10-07,247.43536573964963
2002-10-08,249.46248065661442
2002-10-09,252.20900109531263
2002-10-10,252.50124791002332
2002-10-11,252.3759163839263
2002-10-14,252.95327441171509
2002-10-15,252.21296641206166
2002-10-16,253.75474723843044
2002-10-17,253.37751025046452
2002-10-18,253.25201371245038
2002-10-21,258.2347579629684
2002-10-22,256.8997412521685
2002-10-23,257.53373696983664
2002-10-24,257.4486721516797
2002-10-25,258.81648844071407
2002-10-28,255.35026649165087
2002-10-29,255.83194718808846
2002-10-30,256.25343231276537
2002-10-31,256.50811520060313
2002-11-01,256.593122032484
2002-11-04,260.3347234931269
2002-11-05,260.7578265622527
2002-11-06,260.1173864537579
2002-11-07,260.7224111107362
2002-11-08,260.9825698445902
2002-11-11,265.70807593278835
2002-11-12,266.1811563506044
2002-11-13,265.732790419693
2002-11-14,265.46816025495974
2002-11-15,265.51222867465674
2002-11-18,268.9858807134388
2002-11-19,270.44944931172154
2002-11-20,271.8505168670826
2002-11-21,271.7603658085958
2002-11-22,271.6252512747168
2002-11-25,275.3346807256456
2002-11-26,276.4927803378468
2002-11-27,275.23582124665757
2002-11-28,275.418247640193
2002-11-29,275.418247640193
2002-12-02,278.8641609862988
2002-12-03,278.82490452250056
2002-12-04,279.74512325961024
2002-12-05,279.7914540186794
2002-12-06,279.74512325961024
2002-12-09,280.75932375434184
2002-12-10,278.9770183679796
2002-12-11,282.0364863892135
2002-12-12,282.17691949446953
2002-12-13,282.8341274254166
2002-12-16,289.04233891178427
2002-12-17,289.4553182341613
2002-12-18,292.31952411422185
2002-12-19,292.3681872612361
2002-12-20,292.4655621778926
2002-12-23,285.2396175742742
2002-12-24,287.57763127583854
2002-12-25,287.1628469224931
2002-12-26,287.21067551125435
2002-12-27,287.45005763786816
2002-12-30,286.0952718373213
2002-12-31,288.5165569788249
2003-01-01,288.5165569788249
2003-01-02,287.89154194121045
2003-01-03,288.0835656476911
2003-01-06,293.4983948811425
2003-01-07,295.62334134220396
2003-01-08,295.61824686236815
2003-01-09,295.7169013749202
2003-01-10,295.91440807144716
2003-01-13,296.3449281093644
2003-01-14,297.153418691607
2003-01-15,297.4372658218846
2003-01-16,297.4372658218846
2003-01-17,297.58645689318803
2003-01-20,298.80396272104423
2003-01-21,299.7980666441783
2003-01-22,300.51087943995503
2003-01-23,300.91350664402796
2003-01-24,301.0143320776497
2003-01-27,300.31017346430707
2003-01-28,297.121829793842
2003-01-29,295.79803896478006
2003-01-30,295.4516132875584
2003-01-31,295.35278351224895
2003-02-03,292.12042305144746
2003-02-04,289.07141064893835
2003-02-05,288.5341202050713
2003-02-06,288.3411530623159
2003-02-07,288.4376043595436
2003-02-10,284.5582721228068
2003-02-11,284.7485166637547
2003-02-12,284.6533626063901
2003-02-13,284.6533626063901
2003-02-14,284.55827212280684
