Date,CHINA IMI WITH PARTIAL A SHARES
2008-11-27,1056.6205692650562
2008-11-28,1073.37215904414
2008-12-30,1177.7283035330915
2008-12-31,1192.9221372811044
2009-01-29,1086.7319539766142
2009-01-30,1102.0251514305778
2009-02-26,1085.6848203925097
2009-02-27,1072.033400028611
2009-03-30,1206.3452760426785
2009-03-31,1224.236002169801
2009-04-29,1330.197208869393
2009-04-30,1365.732822821346
2009-05-28,1580.0752132840014
2009-05-29,1612.606624669518
2009-06-29,1702.9335298274843
2009-06-30,1683.546349986959
2009-07-30,1847.9598483829504
2009-07-31,1877.2841312034222
2009-08-28,1765.0251827391555
2009-08-31,1733.0145672115555
2009-09-29,1826.1874919000966
2009-09-30,1814.1685919986853
2009-10-29,1898.0309849737057
2009-10-30,1937.648642351166
2009-11-27,1934.085033412864
2009-11-30,2002.8978376939742
2009-12-30,1984.3639657101946
2009-12-31,2022.8492595434752
2010-01-28,1872.5423571187464
2010-01-29,1854.6973616192267
2010-02-25,1881.187511392144
2010-02-26,1902.6519706378197
2010-03-30,2018.3461268410501
2010-03-31,2009.6794273618398
2010-04-29,1959.1332010974743
2010-04-30,1997.6568944739704
2010-05-28,1866.616799498112
2010-05-31,1871.3996297767835
2010-06-29,1885.4740658175317
2010-06-30,1885.9813692848845
2010-07-29,1979.6861705162787
2010-07-30,1979.5630479358997
2010-08-30,1944.1193322404074
2010-08-31,1932.2797354333802
2010-09-29,2115.344036574208
2010-09-30,2114.3230359611657
2010-10-28,2206.1083763283987
2010-10-29,2205.3131766728443
2010-11-29,2178.621925276036
2010-11-30,2165.303184875379
2010-12-30,2134.3417735462845
2010-12-31,2152.4822916135295
2011-01-28,2140.6555471670863
2011-01-31,2135.2829379731206
2011-02-25,2063.2585437343137
2011-02-28,2096.7720096918492
2011-03-30,2182.503356512775
2011-03-31,2197.1277188559934
2011-04-28,2242.3410230233458
2011-04-29,2234.6838187217522
2011-05-30,2187.4896010706148
2011-05-31,2228.767085046902
2011-06-29,2115.0219942884905
2011-06-30,2145.736102437892
2011-07-28,2146.9943871802047
2011-07-29,2127.3205825867217
2011-08-30,1885.1555047848317
2011-08-31,1921.7535272168298
2011-09-29,1639.428108566304
2011-09-30,1594.6417500009961
2011-10-28,1850.4107255701415
2011-10-31,1830.36470598431
2011-11-29,1708.1855156377756
2011-11-30,1678.8134437037793
2011-12-29,1700.630373605501
2011-12-30,1705.7315985291268
2012-01-30,1852.7888728884857
2012-01-31,1877.290906978933
2012-02-28,2003.6055804252048
2012-02-29,2013.0552011243703
2012-03-29,1857.748014063907
2012-03-30,1872.2923879746043
2012-04-27,1906.2870013777635
2012-04-30,1934.294189514337
2012-05-30,1745.7528998599857
2012-05-31,1740.7628318765476
2012-06-28,1728.5370278714656
2012-06-29,1765.9769804655195
2012-07-30,1754.4162425933932
2012-07-31,1776.856447369254
2012-08-30,1735.2788336527615
2012-08-31,1727.519851450333
2012-09-27,1821.081604444319
2012-09-28,1835.894526096635
2012-10-30,1914.482143337588
2012-10-31,1937.5657297133264
2012-11-29,1955.6059421925488
2012-11-30,1971.5088797419492
2012-12-28,2076.96314797208
2012-12-31,2084.607897215907
2013-01-30,2192.2868418449166
2013-01-31,2180.9828445379026
2013-02-27,2060.741363609614
2013-02-28,2109.7045291812274
2013-03-28,2016.0329210940438
2013-03-29,2015.7611639475626
2013-04-29,2018.097091926229
2013-04-30,2039.127432619297
2013-05-30,2054.8011188305495
2013-05-31,2043.7886234518855
2013-06-27,1845.3520656947117
2013-06-28,1887.1761696688916
2013-07-30,1962.433714928482
2013-07-31,1956.7825021412802
2013-08-29,2004.9258898429562
2013-08-30,2010.2164347794808
2013-09-27,2137.3375683145478
2013-09-30,2111.025199200059
2013-10-30,2166.068276012505
2013-10-31,2163.699213211057
2013-11-28,2248.819790578226
2013-11-29,2266.0787104994615
2013-12-30,2186.9124950867977
2013-12-31,2198.3263803803925
2014-01-01,2198.3263803803925
2014-01-02,2197.593136148148
2014-01-03,2154.0761111670113
2014-01-06,2129.4303462835414
2014-01-07,2120.602213329477
2014-01-08,2144.9898496696783
2014-01-09,2120.3930395014268
2014-01-10,2122.731315843131
2014-01-13,2129.07356495613
2014-01-14,2121.337277274985
2014-01-15,2134.3334888239183
2014-01-16,2135.7197911270123
2014-01-17,2137.8055455417375
2014-01-20,2114.14068944895
2014-01-21,2129.400514588398
2014-01-22,2147.9429575429417
2014-01-23,2120.4718582554387
2014-01-24,2092.1663296223633
2014-01-27,2042.301347785326
2014-01-28,2045.8597478182649
2014-01-29,2078.60617338504
2014-01-30,2069.9620547018167
2014-01-31,2070.012770009795
2014-02-03,2070.126889005535
2014-02-04,2004.7786409965154
2014-02-05,1999.070448995545
2014-02-06,2010.7500199124722
2014-02-07,2040.7919877980014
2014-02-10,2046.1435013518199
2014-02-11,2078.8518502481697
2014-02-12,2103.377079338613
2014-02-13,2089.858972407524
2014-02-14,2103.0020818601092
2014-02-17,2132.676970470042
2014-02-18,2125.372480614875
2014-02-19,2127.5504845954415
2014-02-20,2103.826339219361
2014-02-21,2106.357679503357
2014-02-24,2081.1568713268703
2014-02-25,2066.6580255106933
