Date,PHILIPPINES IMI
1994-05-31,1723.8672168926084
1994-06-30,1587.704428517092
1994-07-29,1679.0663827317787
1994-08-31,1862.5649032243784
1994-09-30,1822.847705732272
1994-10-31,2008.6294662133112
1994-11-30,1840.2431871805427
1994-12-30,1848.6694130442215
1995-01-31,1610.9134267480215
1995-02-28,1603.4704389988858
1995-03-31,1541.8436637905697
1995-04-28,1568.0186401267192
1995-05-31,1771.5365953535263
1995-06-30,1778.9905309719252
1995-07-31,1870.0481547352576
1995-08-31,1804.9791687697013
1995-09-29,1748.0357098279221
1995-10-31,1695.3365270447598
1995-11-30,1594.899566598347
1995-12-29,1689.173986275268
1996-01-31,1857.3368454152303
1996-02-29,1863.9111009618523
1996-03-29,1856.149064189529
1996-04-30,2006.6162889737855
1996-05-31,2194.3911188880943
1996-06-28,2206.5102640335317
1996-07-31,2037.6538741610414
1996-08-30,2117.5590759226143
1996-09-30,2073.3192001954053
1996-10-31,1936.7553002106908
1996-11-29,2045.8259119427694
1996-12-31,2055.585189097475
1997-01-01,2056.081546441245
1997-01-02,2055.7942390617236
1997-01-03,2064.0712333440315
1997-01-06,2084.13759666893
1997-01-07,2092.2640777248475
1997-01-08,2099.095581756854
1997-01-09,2102.2157033756052
1997-01-10,2118.8099481059853
1997-01-13,2120.7993998992424
1997-01-14,2121.9752793381263
1997-01-15,2122.5386985003865
1997-01-16,2148.6781396379934
1997-01-17,2157.9177430731843
1997-01-20,2158.50574559831
1997-01-21,2161.400223508878
1997-01-22,2156.433174957374
1997-01-23,2178.620437859438
1997-01-24,2177.6669620554985
1997-01-27,2186.2224775960676
1997-01-28,2202.981368045981
1997-01-29,2237.448411581103
1997-01-30,2244.807716490266
1997-01-31,2260.4845499393537
1997-02-03,2283.8761557922703
1997-02-04,2262.9493369711095
1997-02-05,2254.1386411843223
1997-02-06,2246.5178763263316
1997-02-07,2252.532826408023
1997-02-10,2257.479924787746
1997-02-11,2247.06965707854
1997-02-12,2241.8280405593127
1997-02-13,2267.2385335165122
1997-02-14,2274.6717859556265
1997-02-17,2285.200385151618
1997-02-18,2280.2401949087703
1997-02-19,2291.527083324493
1997-02-20,2291.3639826588023
1997-02-21,2304.881142042532
1997-02-24,2309.1906515468895
1997-02-25,2327.4431009233786
1997-02-26,2323.086740988424
1997-02-27,2309.909071525607
1997-02-28,2310.607309418617
1997-03-03,2321.91686238679
1997-03-04,2298.954470287648
1997-03-05,2293.9362430093624
1997-03-06,2285.2070064762765
1997-03-07,2281.1190011942754
1997-03-10,2283.7039939591095
1997-03-11,2275.1310188557327
1997-03-12,2277.0937755362324
1997-03-13,2268.1478247714035
1997-03-14,2252.5499078817
1997-03-17,2246.832125974727
1997-03-18,2234.228506398828
1997-03-19,2216.910807868785
1997-03-20,2225.6517648251747
1997-03-21,2224.7180472477116
1997-03-24,2232.0026263846626
1997-03-25,2221.352714097768
1997-03-26,2229.651792993218
1997-03-27,2229.651792993218
1997-03-28,2224.894649247442
1997-03-31,2224.017015585558
1997-04-01,2191.858009508542
1997-04-02,2188.3870756169713
1997-04-03,2131.242189238989
1997-04-04,2111.294847322044
1997-04-07,2051.08800147189
1997-04-08,1991.0647799303372
1997-04-09,1991.0647799303372
1997-04-10,2018.962096761562
1997-04-11,2036.4294071179868
1997-04-14,2002.0297585944468
1997-04-15,2008.09296065171
1997-04-16,2012.7095708577042
1997-04-17,1979.4134063744682
1997-04-18,1980.0935229516208
1997-04-21,1980.9556192500222
1997-04-22,1917.0245202273782
1997-04-23,1945.617999322384
1997-04-24,1950.8742430799564
1997-04-25,1928.7718447299712
1997-04-28,1902.2513595211099
1997-04-29,1828.3204014432786
1997-04-30,1790.0911280540308
1997-05-01,1789.412549157877
1997-05-02,1757.5360793924888
1997-05-05,1825.3982025527619
1997-05-06,1838.715693491578
1997-05-07,1795.6238844652414
1997-05-08,1776.6055959545927
1997-05-09,1766.176790635346
1997-05-12,1766.0093646432483
1997-05-13,1759.123371074148
1997-05-14,1774.6307314744608
1997-05-15,1735.1502494410634
1997-05-16,1703.6249330280687
1997-05-19,1653.1137937293954
1997-05-20,1630.9875893663857
1997-05-21,1649.0379793908912
1997-05-22,1682.9113481290442
1997-05-23,1715.284584971663
1997-05-26,1718.0360619937112
1997-05-27,1772.3385667954497
1997-05-28,1774.2873649066405
1997-05-29,1779.8299728705022
1997-05-30,1789.8516792410067
1997-06-02,1803.791946071154
1997-06-03,1782.3121199290931
1997-06-04,1765.9276826998062
1997-06-05,1755.6180251708045
1997-06-06,1739.1804357553308
1997-06-09,1742.8987620279547
1997-06-10,1757.0131804515122
1997-06-11,1765.1902525737235
1997-06-12,1765.1902525737235
1997-06-13,1772.5138500625415
1997-06-16,1775.0862092939442
1997-06-17,1775.8218165352591
1997-06-18,1789.732361762149
1997-06-19,1823.9464202765619
1997-06-20,1812.6515999714554
1997-06-23,1784.433436300497
1997-06-24,1785.9037841154059
1997-06-25,1779.1377650697966
1997-06-26,1782.938683956666
1997-06-27,1779.4401578490772
1997-06-30,1779.0671700864307
1997-07-01,1779.0654305209325
1997-07-02,1762.9212486277513
1997-07-03,1743.57584096078
1997-07-04,1749.6658738351807
1997-07-07,1742.9801937089292
1997-07-08,1723.2198213685626
1997-07-09,1655.8389209202219
1997-07-10,1608.2103235021077
1997-07-11,1500.299002849643
1997-07-14,1507.318577593557
1997-07-15,1501.9964323181268
1997-07-16,1456.3573372329365
1997-07-17,1519.4950143152291
1997-07-18,1578.0068229945994
1997-07-21,1548.4720673158097
1997-07-22,1543.4328100417724
1997-07-23,1536.0008748002674
1997-07-24,1477.7521448492932
1997-07-25,1489.3438531616216
1997-07-28,1508.0790646041744
1997-07-29,1506.8508834767342
1997-07-30,1489.035109486552
1997-07-31,1496.8418405121713
1997-08-01,1499.426886542411
1997-08-04,1502.8570410751188
1997-08-05,1543.6985405543885
1997-08-06,1568.8541623328974
1997-08-07,1559.6490846699978
1997-08-08,1539.461287167829
1997-08-11,1499.180435859025
1997-08-12,1469.1349274948752
1997-08-13,1471.0731866625658
1997-08-14,1415.6970156525006
1997-08-15,1388.008505785575
1997-08-18,1332.0233798260824
1997-08-19,1324.3174594469233
1997-08-20,1352.1111596801577
1997-08-21,1378.3571207087768
1997-08-22,1367.5732479279745
1997-08-25,1332.9915625106646
1997-08-26,1291.5466039987928
1997-08-27,1279.6087358685384
1997-08-28,1173.3332490908074
1997-08-29,1123.0198946588623
1997-09-01,1081.06828638675
1997-09-02,1063.3139960383978
1997-09-03,1042.7806053184986
1997-09-04,1061.8696997349011
1997-09-05,1085.312617541594
1997-09-08,1087.9375123605878
1997-09-09,1154.2013706471923
1997-09-10,1122.9363912901558
1997-09-11,1080.071601567893
1997-09-12,1081.4072010121151
1997-09-15,1069.0692820185006
1997-09-16,1052.4725009196359
1997-09-17,1005.2717801915201
1997-09-18,948.2147561615586
1997-09-19,991.4385664089775
1997-09-22,999.6973223699375
1997-09-23,971.6995796966735
1997-09-24,984.3335545970735
1997-09-25,962.4075632296233
1997-09-26,967.4892533265061
1997-09-29,945.2008652893168
1997-09-30,929.8682868257099
1997-10-01,927.7610770281511
1997-10-02,920.132111700548
1997-10-03,898.9509800929104
1997-10-06,868.5610067938418
1997-10-07,843.5735670312444
1997-10-08,854.2546786147199
1997-10-09,911.4563802742014
1997-10-10,950.5683267174954
1997-10-13,973.5951026185927
1997-10-14,941.0368879595732
1997-10-15,941.0489288058081
1997-10-16,937.4215976420629
1997-10-17,938.5950202253819
1997-10-20,925.983491293932
1997-10-21,915.6293644552454
1997-10-22,879.4379498275541
1997-10-23,848.895877137584
1997-10-24,833.3045629833956
1997-10-27,839.2970413243432
1997-10-28,783.2752386417225
1997-10-29,831.5046146416732
1997-10-30,820.8481252488122
1997-10-31,817.4100057149947
1997-11-03,823.4728302342248
1997-11-04,859.1917081442888
1997-11-05,857.289720305643
1997-11-06,843.57846041948
1997-11-07,839.3347165295545
1997-11-10,832.4300530685024
1997-11-11,855.3028413729883
1997-11-12,857.3907815722519
1997-11-13,827.4006481283698
1997-11-14,840.7484526791986
1997-11-17,855.0578923310857
1997-11-18,830.1900356468306
1997-11-19,829.7665847625657
1997-11-20,829.9062284172674
1997-11-21,833.7255563025036
1997-11-24,820.4581863633429
1997-11-25,795.2268062189373
1997-11-26,789.2278017147077
1997-11-27,775.4289864117368
1997-11-28,770.9730863272696
1997-12-01,765.9814031418125
1997-12-02,763.629357197743
1997-12-03,768.6262241887747
1997-12-04,771.3828202931317
1997-12-05,798.8032050029421
1997-12-08,827.4014832514642
1997-12-09,838.3879057432501
1997-12-10,828.2717077508586
1997-12-11,770.2302887364472
1997-12-12,726.0189942157033
1997-12-15,679.5177167912128
1997-12-16,667.8990173762542
1997-12-17,674.2043289762638
1997-12-18,690.0070725965589
1997-12-19,697.3764071719929
1997-12-22,689.7265462599927
1997-12-23,679.3989726736551
1997-12-24,679.9729301454938
1997-12-25,679.9729301454938
1997-12-26,679.9729301454938
1997-12-29,687.8044737582053
1997-12-30,687.8044737582053
1997-12-31,692.1140255987956
1998-01-01,691.6036891894845
1998-01-02,674.0163648805159
1998-01-05,642.7636211599529
1998-01-06,597.6869137702681
1998-01-07,567.1689262386069
1998-01-08,542.8444496113625
1998-01-09,504.70521482694636
1998-01-12,519.4479865372012
1998-01-13,539.4532875070652
1998-01-14,577.0350554070409
1998-01-15,587.6266760787894
1998-01-16,580.7519960640756
1998-01-19,615.6669486139765
1998-01-20,615.0564271931615
1998-01-21,605.5687114104678
1998-01-22,580.0808886995703
1998-01-23,566.0919373877406
1998-01-26,583.6316630820517
1998-01-27,595.4213066183212
1998-01-28,607.2007923660183
1998-01-29,603.4157956674451
1998-01-30,650.171178936157
1998-02-02,743.5222375587423
1998-02-03,750.3119850612047
1998-02-04,740.7231707145636
1998-02-05,738.271379991116
1998-02-06,729.3898378418187
1998-02-09,743.04409030605
1998-02-10,774.4633030595235
1998-02-11,832.3401892866132
1998-02-12,789.888677395893
1998-02-13,767.4662044523056
1998-02-16,734.2009709365802
1998-02-17,747.5304318411177
1998-02-18,769.5390458414723
1998-02-19,781.0602110552891
1998-02-20,784.7788976064165
1998-02-23,771.4789648944991
1998-02-24,774.2032465039501
1998-02-25,797.6175440355839
1998-02-26,817.9590134246531
1998-02-27,849.308622619759
1998-03-02,859.8048575781681
1998-03-03,852.2253980331546
1998-03-04,840.8133791489237
1998-03-05,829.7147034756116
1998-03-06,827.2115023317994
1998-03-09,823.7390753723425
1998-03-10,815.0857935671285
1998-03-11,824.6694538646356
1998-03-12,823.6706747435861
