Date,INDIA DOMESTIC IMI
2008-05-30,1000.0
2008-06-02,977.9912521585411
2008-06-03,967.2094251883634
2008-06-04,932.7164175317635
2008-06-05,944.3971376222969
2008-06-06,941.4568944818508
2008-06-09,907.7730252851914
2008-06-10,894.7850858319528
2008-06-11,913.7185534379396
2008-06-12,918.2852512154368
2008-06-13,911.6999702565691
2008-06-16,923.9145386756934
2008-06-17,945.0653818495645
2008-06-18,929.0420179763967
2008-06-19,909.0480354749233
2008-06-20,876.4740856167136
2008-06-23,853.5290880490484
2008-06-24,840.7513169437741
2008-06-25,853.7020157070018
2008-06-26,864.0431569944637
2008-06-27,824.0686143310138
2008-06-30,797.9707012694313
2008-07-01,760.3403863382802
2008-07-02,802.9591910787001
2008-07-03,766.3403980603013
2008-07-04,790.6902054136439
2008-07-07,793.4775218360069
2008-07-08,785.9347379229401
2008-07-09,823.3942844387097
2008-07-10,825.4616999203735
2008-07-11,803.0786624179545
2008-07-14,794.3288285679065
2008-07-15,753.6353017100051
2008-07-16,747.7092333986908
2008-07-17,778.2708682876305
2008-07-18,806.2881418789462
2008-07-21,816.770540453462
2008-07-22,832.3264367667817
2008-07-23,897.3307346029178
2008-07-24,887.3345771465617
2008-07-25,859.7349494979385
2008-07-28,858.2896852080023
2008-07-29,823.5708360512563
2008-07-30,858.5003673659146
2008-07-31,856.0835051636992
2008-08-01,879.955400478589
2008-08-04,880.0784853883329
2008-08-05,908.1101681330719
2008-08-06,914.2384698757119
2008-08-07,916.9962572948575
2008-08-08,918.9549520023471
2008-08-11,936.4683650626671
2008-08-12,915.6916735026731
2008-08-13,904.3606805686954
2008-08-14,876.2901374348722
2008-08-15,876.2901374348722
2008-08-18,856.9693335655369
2008-08-19,852.1852383932569
2008-08-20,859.7762650320335
2008-08-21,838.6345823882998
2008-08-22,848.9556072787069
2008-08-25,845.2484762858428
2008-08-26,844.3939137682517
2008-08-27,837.1268972532001
2008-08-28,821.9487467896926
2008-08-29,848.5177569455207
2008-09-01,841.763843952824
2008-09-02,864.7386942060083
2008-09-03,864.7386942060083
2008-09-04,858.265860661823
2008-09-05,831.369946501294
2008-09-08,854.9585099831912
2008-09-09,846.9968370435605
2008-09-10,829.2678921521039
2008-09-11,803.6988229773706
2008-09-12,783.5994440855353
2008-09-15,749.0287386742372
2008-09-16,732.6474198554156
2008-09-17,727.0666830319619
2008-09-18,728.9017571311573
2008-09-19,775.1212577940059
2008-09-22,779.1336220199502
2008-09-23,752.6016366764454
2008-09-24,754.7255384153059
2008-09-25,741.8222348805905
2008-09-26,712.9478481107341
2008-09-29,677.5276652125482
2008-09-30,691.0902850487909
2008-10-01,703.9171279263415
2008-10-02,703.9171279263417
2008-10-03,669.6871581637024
2008-10-06,617.5668649983962
2008-10-07,609.1693525381119
2008-10-08,585.1538002158205
2008-10-09,585.1538002158204
2008-10-10,534.8492032336052
2008-10-13,574.5969923221688
2008-10-14,587.8554511946015
2008-10-15,549.8749743834492
2008-10-16,536.5705591362101
2008-10-17,508.0510745999282
2008-10-20,515.7598975953316
2008-10-21,537.0017448807549
2008-10-22,508.23275283520746
2008-10-23,482.5260902270359
2008-10-24,428.2977103622202
2008-10-27,418.60009441599317
2008-10-28,442.0134230316888
2008-10-29,446.2244207789929
2008-10-30,446.2244207789929
2008-10-31,482.8639470608711
2008-11-03,516.2893443571846
2008-11-04,542.5057030565622
2008-11-05,522.4925838690895
2008-11-06,500.1509931435413
2008-11-07,512.2751014105902
2008-11-10,543.7795187066174
2008-11-11,502.28139143245585
2008-11-12,475.0399409646973
2008-11-13,475.0399409646973
2008-11-14,469.19704252517903
2008-11-17,458.5889438180533
2008-11-18,438.9982367640193
2008-11-19,427.91005984227337
2008-11-20,410.39043530479853
2008-11-21,429.40097349407205
2008-11-24,429.22769916530814
