Date,KOREA IMI
1994-05-31,567.7390228288765
1994-06-30,561.0190025289777
1994-07-29,561.0161998805008
1994-08-31,569.640775067781
1994-09-30,632.1191756906026
1994-10-31,661.7968829899327
1994-11-30,645.8770266212395
1994-12-30,617.9154031988377
1995-01-31,557.1075200107917
1995-02-28,534.1961528490257
1995-03-31,578.5037252059363
1995-04-28,565.1849220532733
1995-05-31,557.8140109210785
1995-06-30,563.1851260301146
1995-07-31,587.4741740735733
1995-08-31,567.4048105034137
1995-09-29,620.0437296095539
1995-10-31,626.7407327393005
1995-11-30,583.357097151439
1995-12-29,550.0266668094829
1996-01-31,544.0754131872018
1996-02-29,530.5406131406626
1996-03-29,538.972842740992
1996-04-30,612.5809902583951
1996-05-31,551.8787484934086
1996-06-28,488.3541001687369
1996-07-31,483.1497648688291
1996-08-30,456.3468479643034
1996-09-30,453.47338647835056
1996-10-31,433.7303666660461
1996-11-29,418.1380794152961
1996-12-31,363.26136184800424
1997-01-01,363.28312249504796
1997-01-02,363.9926387768981
1997-01-03,368.2173870252531
1997-01-06,353.77178616634194
1997-01-07,345.4082716792134
1997-01-08,351.94721668657957
1997-01-09,361.70602753750023
1997-01-10,366.5147412343861
1997-01-13,371.81324822595974
1997-01-14,387.2443242564311
1997-01-15,393.7112230291661
1997-01-16,400.0973332795052
1997-01-17,394.2588294270011
1997-01-20,403.28349115864194
1997-01-21,387.01055326889536
1997-01-22,379.12199419634294
1997-01-23,377.7892470609784
1997-01-24,378.66549062484904
1997-01-27,370.3747063907887
1997-01-28,368.24455058557237
1997-01-29,368.20891325646477
1997-01-30,373.07339497887534
1997-01-31,377.9887275922583
1997-02-03,377.6304159376393
1997-02-04,381.9981785291349
1997-02-05,383.142200565733
1997-02-06,384.5803574005304
1997-02-07,385.2462974133452
1997-02-10,389.52796088819775
1997-02-11,390.54129878635547
1997-02-12,390.1405645778636
1997-02-13,394.19375275678624
1997-02-14,392.6467045107038
1997-02-17,385.62620730420383
1997-02-18,386.2875803641699
1997-02-19,394.82707753269005
1997-02-20,395.11658334855497
1997-02-21,380.5866609812284
1997-02-24,371.5858454630748
1997-02-25,376.0060854398251
1997-02-26,374.1663836003858
1997-02-27,367.32280123202014
1997-02-28,370.6620269830801
1997-03-03,373.0416400247358
1997-03-04,371.7888918783647
1997-03-05,366.91130701530994
1997-03-06,368.1000879268174
1997-03-07,369.2000394672809
1997-03-10,359.1411958671508
1997-03-11,351.5736618926121
1997-03-12,356.3827207505061
1997-03-13,352.5284933420768
1997-03-14,343.42229474796244
1997-03-17,352.07433833589107
1997-03-18,350.17667490102997
1997-03-19,342.886139254303
1997-03-20,341.1467878131156
1997-03-21,332.62354662667417
1997-03-24,327.77296892065095
1997-03-25,339.1320648255413
1997-03-26,348.55178454355354
