Date,POLAND IMI
1994-05-31,379.9959979458717
1994-06-30,247.90502254097828
1994-07-29,318.9158595824998
1994-08-31,337.4928300414955
1994-09-30,275.90811663022316
1994-10-31,225.745123136549
1994-11-30,227.3732566421252
1994-12-30,207.0929590578212
1995-01-31,167.03920278523373
1995-02-28,172.39011035661468
1995-03-31,165.70609869673316
1995-04-28,230.084261942858
1995-05-31,205.19849050675273
1995-06-30,221.86252230067248
1995-07-31,212.6110661795774
1995-08-31,202.84308142283695
1995-09-29,218.6005100238533
1995-10-31,195.16179233824647
1995-11-30,191.34106549587713
1995-12-29,187.40080335823893
1996-01-31,249.8781852835
1996-02-29,257.7137103445003
1996-03-29,268.77395337613274
1996-04-30,286.71250545644665
1996-05-31,276.8983560851003
1996-06-28,320.4667899943064
1996-07-31,305.1275451860926
1996-08-30,327.14152475322265
1996-09-30,340.3207404276932
1996-10-31,307.4241389764893
1996-11-29,311.94502459824673
1996-12-31,320.026452146276
1997-01-01,320.026452146276
1997-01-02,322.07320366552096
1997-01-03,323.13586634751243
1997-01-06,321.2640484396664
1997-01-07,329.5223699170906
1997-01-08,334.05807034867485
1997-01-09,337.4982077309383
1997-01-10,340.64431164244843
1997-01-13,339.29735520718697
1997-01-14,341.1443443049962
1997-01-15,340.14580400969754
1997-01-16,345.2829207297883
1997-01-17,347.3533608310725
1997-01-20,342.66255566935394
1997-01-21,346.09584221378225
1997-01-22,345.40379566090314
1997-01-23,349.70448856455425
1997-01-24,353.51544819582165
1997-01-27,357.10364073171576
1997-01-28,350.0833987918051
1997-01-29,343.37295300482924
1997-01-30,340.4807733049779
1997-01-31,339.23291201995914
1997-02-03,346.3888949515234
1997-02-04,348.14764626585156
1997-02-05,349.4089637672851
1997-02-06,357.13146596282724
1997-02-07,366.3126364907459
1997-02-10,370.14310285899813
1997-02-11,370.05525113210274
1997-02-12,371.2032963887816
1997-02-13,372.0800286450181
1997-02-14,381.8147018980383
1997-02-17,378.4887618632688
1997-02-18,384.1185921172167
1997-02-19,382.0851893414788
1997-02-20,378.50214412331644
1997-02-21,376.5636562587338
1997-02-24,377.1136638689743
1997-02-25,376.695802566977
1997-02-26,377.11319388461936
1997-02-27,369.16638669980927
1997-02-28,362.7663366051342
1997-03-03,359.9910438190828
1997-03-04,355.48871392145855
1997-03-05,356.8510522131188
1997-03-06,353.6527420980808
1997-03-07,354.7484566483878
1997-03-10,353.1934269400749
1997-03-11,352.93960465678646
1997-03-12,355.0019040145195
1997-03-13,348.2056163216486
1997-03-14,335.3077588438552
1997-03-17,335.76099897251504
1997-03-18,339.34287812634796
1997-03-19,332.1659794518571
1997-03-20,323.44319245679395
1997-03-21,319.7333567423459
1997-03-24,323.79863579449676
1997-03-25,323.0343398782735
1997-03-26,323.4817419932524
1997-03-27,330.7645895068263
1997-03-28,330.6839020967987
1997-03-31,330.6839020967987
1997-04-01,318.69210000400005
1997-04-02,308.45229285936347
1997-04-03,310.36210654585284
1997-04-04,310.28129397696665
1997-04-07,312.18850547315907
1997-04-08,318.0912056080107
1997-04-09,320.38364884687013
1997-04-10,318.66712554559695
